Format Version,1.25,Take Name,Take 2025-11-27 05.13.15 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 05.13.15.968 PM,Capture Start Frame,63580,Total Frames in Take,1042,Total Exported Frames,1042,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.005313,0.931070,0.027211,0.363785,-215.538864,92.194328,84.260765
1,0.008333,-0.005466,0.931079,0.027176,0.363764,-215.539337,92.195412,84.260567
2,0.016667,-0.005298,0.931069,0.027173,0.363792,-215.538162,92.194054,84.261009
3,0.025000,-0.005257,0.931089,0.027153,0.363743,-215.538666,92.194427,84.261429
4,0.033333,-0.005332,0.931074,0.027169,0.363779,-215.537979,92.194977,84.261635
5,0.041667,-0.005254,0.931068,0.027141,0.363798,-215.538147,92.195633,84.261543
6,0.050000,-0.005236,0.931068,0.027198,0.363793,-215.537018,92.195358,84.261703
7,0.058333,-0.005199,0.931072,0.027279,0.363777,-215.535263,92.195168,84.261238
8,0.066667,-0.005215,0.931089,0.027214,0.363738,-215.534241,92.194786,84.261093
9,0.075000,-0.005244,0.931091,0.027256,0.363729,-215.531845,92.194420,84.260269
10,0.083333,-0.005108,0.931113,0.027115,0.363686,-215.530640,92.194717,84.259125
11,0.091667,-0.005255,0.931113,0.027078,0.363688,-215.530441,92.194595,84.259399
12,0.100000,-0.005227,0.931105,0.027143,0.363703,-215.530426,92.192856,84.260406
13,0.108333,-0.005329,0.931071,0.027147,0.363788,-215.530304,92.193207,84.259262
14,0.116667,-0.005402,0.931076,0.027208,0.363769,-215.530136,92.192963,84.259361
15,0.125000,-0.005239,0.931080,0.027062,0.363772,-215.531738,92.195282,84.257103
16,0.133333,-0.005234,0.931098,0.027195,0.363717,-215.532608,92.194618,84.258690
17,0.141667,-0.005287,0.931099,0.027212,0.363713,-215.532089,92.194298,84.259201
18,0.150000,-0.005250,0.931068,0.027155,0.363795,-215.533142,92.194603,84.260727
19,0.158333,-0.005393,0.931060,0.027000,0.363826,-215.534424,92.196152,84.260811
20,0.166667,-0.005602,0.931062,0.027132,0.363809,-215.534241,92.194695,84.262344
21,0.175000,-0.005490,0.931042,0.027070,0.363865,-215.534302,92.195702,84.262253
22,0.183333,-0.005373,0.931054,0.027171,0.363830,-215.533783,92.195496,84.261948
23,0.191667,-0.005360,0.931059,0.027210,0.363812,-215.534286,92.195129,84.262016
24,0.200000,-0.005393,0.931073,0.027265,0.363773,-215.533859,92.195427,84.261024
25,0.208333,-0.005423,0.931098,0.027301,0.363707,-215.532349,92.194656,84.261169
26,0.216667,-0.005399,0.931083,0.027236,0.363750,-215.531326,92.194855,84.261490
27,0.225000,-0.005315,0.931088,0.027111,0.363748,-215.529388,92.195053,84.260803
28,0.233333,-0.005328,0.931091,0.027052,0.363745,-215.528961,92.194672,84.259727
29,0.241667,-0.005409,0.931106,0.027162,0.363697,-215.528488,92.193054,84.260338
30,0.250000,-0.005231,0.931077,0.027198,0.363769,-215.529968,92.193527,84.259895
31,0.258333,-0.005201,0.931086,0.027249,0.363743,-215.530853,92.194519,84.259323
32,0.266667,-0.005209,0.931102,0.027257,0.363702,-215.532135,92.194817,84.259560
33,0.275000,-0.005297,0.931074,0.027157,0.363781,-215.533356,92.196037,84.258591
34,0.283333,-0.005309,0.931094,0.027336,0.363714,-215.534332,92.194435,84.259460
35,0.291667,-0.005371,0.931112,0.027244,0.363675,-215.537354,92.195839,84.259377
36,0.300000,-0.005511,0.931121,0.027250,0.363649,-215.537170,92.195198,84.260277
37,0.308333,-0.005526,0.931110,0.027131,0.363687,-215.537979,92.194756,84.259972
38,0.316667,-0.005542,0.931103,0.027220,0.363697,-215.538956,92.194496,84.259880
39,0.325000,-0.005485,0.931117,0.027174,0.363665,-215.539139,92.194977,84.260330
40,0.333333,-0.005632,0.931130,0.027253,0.363624,-215.537994,92.194046,84.260956
41,0.341667,-0.005663,0.931098,0.027208,0.363708,-215.537338,92.194519,84.260452
42,0.350000,-0.005409,0.931083,0.027172,0.363754,-215.536377,92.194664,84.261391
43,0.358333,-0.005422,0.931079,0.027125,0.363768,-215.536636,92.193863,84.261017
44,0.366667,-0.005547,0.931082,0.027073,0.363762,-215.535385,92.193565,84.260674
45,0.375000,-0.005413,0.931092,0.027070,0.363739,-215.535217,92.193413,84.260918
46,0.383333,-0.005379,0.931067,0.027182,0.363794,-215.535385,92.193687,84.259377
47,0.391667,-0.005278,0.931107,0.027170,0.363695,-215.535385,92.193512,84.259766
48,0.400000,-0.005361,0.931078,0.027226,0.363764,-215.535309,92.193474,84.259949
49,0.408333,-0.005404,0.931080,0.027142,0.363763,-215.536377,92.195587,84.258934
50,0.416667,-0.005415,0.931081,0.027150,0.363760,-215.537476,92.195694,84.258812
51,0.425000,-0.005349,0.931078,0.027117,0.363772,-215.538055,92.195007,84.258614
52,0.433333,-0.005546,0.931108,0.027179,0.363688,-215.538574,92.194481,84.259850
53,0.441667,-0.005571,0.931105,0.027118,0.363700,-215.538834,92.195091,84.259155
54,0.450000,-0.005545,0.931110,0.027136,0.363685,-215.539215,92.194542,84.259811
55,0.458333,-0.005524,0.931113,0.027104,0.363681,-215.539307,92.194763,84.260490
56,0.466667,-0.005480,0.931102,0.027077,0.363710,-215.539261,92.194656,84.259125
57,0.475000,-0.005456,0.931088,0.027160,0.363742,-215.539337,92.194214,84.259003
58,0.483333,-0.005493,0.931091,0.027148,0.363733,-215.539383,92.194237,84.259071
59,0.491667,-0.005447,0.931088,0.027222,0.363736,-215.538834,92.193367,84.260246
60,0.500000,-0.005461,0.931093,0.027205,0.363726,-215.538910,92.194092,84.260162
61,0.508333,-0.005498,0.931106,0.027112,0.363699,-215.538818,92.194283,84.260475
62,0.516667,-0.005349,0.931084,0.027016,0.363765,-215.539551,92.195305,84.261101
63,0.525000,-0.005336,0.931095,0.027071,0.363732,-215.539246,92.195007,84.259521
64,0.533333,-0.005451,0.931114,0.027150,0.363676,-215.539719,92.195122,84.258774
65,0.541667,-0.005410,0.931122,0.027160,0.363656,-215.540909,92.195282,84.259254
66,0.550000,-0.005325,0.931108,0.027098,0.363697,-215.540695,92.194946,84.258774
67,0.558333,-0.005475,0.931114,0.027068,0.363680,-215.541748,92.194305,84.257034
68,0.566667,-0.005323,0.931117,0.027085,0.363674,-215.541489,92.194191,84.256859
69,0.575000,-0.005347,0.931135,0.027159,0.363624,-215.541931,92.194756,84.255859
70,0.583333,-0.005379,0.931147,0.027345,0.363579,-215.541382,92.194397,84.256432
71,0.591667,-0.005344,0.931114,0.027272,0.363667,-215.541840,92.195145,84.255760
