Format Version,1.25,Take Name,Take 2025-11-27 05.22.21 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 05.22.22.023 PM,Capture Start Frame,129104,Total Frames in Take,1017,Total Exported Frames,1017,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.007976,0.931128,0.020833,0.364009,-214.996719,92.198746,84.214226
1,0.008333,0.007883,0.931160,0.020671,0.363938,-214.996765,92.196587,84.215691
2,0.016667,0.008047,0.931132,0.020410,0.364022,-214.996307,92.195465,84.215195
3,0.025000,0.007989,0.931150,0.020454,0.363974,-214.997147,92.196198,84.215569
4,0.033333,0.007929,0.931151,0.020572,0.363966,-214.997360,92.196144,84.216331
5,0.041667,0.007888,0.931156,0.020562,0.363954,-214.997177,92.196098,84.215118
6,0.050000,0.007983,0.931148,0.020518,0.363975,-214.997070,92.195343,84.216179
7,0.058333,0.007944,0.931130,0.020581,0.364018,-214.995789,92.194260,84.216232
8,0.066667,0.008017,0.931122,0.020541,0.364041,-214.995605,92.194969,84.216232
9,0.075000,0.008010,0.931119,0.020522,0.364049,-214.994781,92.194023,84.217117
10,0.083333,0.007819,0.931157,0.020519,0.363957,-214.995987,92.195198,84.218094
11,0.091667,0.007822,0.931140,0.020536,0.363998,-214.997284,92.195419,84.217888
12,0.100000,0.007986,0.931150,0.020640,0.363965,-214.998459,92.195999,84.218597
13,0.108333,0.007840,0.931214,0.021133,0.363775,-215.001755,92.200729,84.219650
14,0.116667,0.008062,0.931177,0.021231,0.363859,-215.003296,92.202553,84.220474
15,0.125000,0.007979,0.931175,0.021168,0.363869,-215.004013,92.202446,84.219193
16,0.133333,0.007907,0.931180,0.021196,0.363858,-215.004379,92.202446,84.218750
17,0.141667,0.008018,0.931040,0.021307,0.364206,-215.007736,92.199677,84.215118
18,0.150000,0.007738,0.930881,0.021179,0.364625,-215.013123,92.194939,84.210793
19,0.158333,0.007155,0.930714,0.021283,0.365059,-215.018723,92.187775,84.205040
20,0.166667,0.007077,0.930660,0.021257,0.365198,-215.022034,92.184433,84.204117
21,0.175000,0.007225,0.930650,0.021213,0.365224,-215.024323,92.184265,84.205086
22,0.183333,0.007351,0.930630,0.021344,0.365264,-215.024872,92.183792,84.205475
23,0.191667,0.007412,0.930715,0.021851,0.365016,-215.028671,92.188469,84.207069
24,0.200000,0.007362,0.930650,0.021653,0.365195,-215.027542,92.185715,84.206329
25,0.208333,0.007373,0.930617,0.021331,0.365298,-215.026764,92.184143,84.208069
26,0.216667,0.007522,0.930702,0.021889,0.365045,-215.028732,92.187950,84.212875
27,0.225000,0.007358,0.930694,0.021994,0.365062,-215.028839,92.188309,84.214264
28,0.233333,0.007412,0.930709,0.022054,0.365019,-215.029861,92.190231,84.217171
29,0.241667,0.007403,0.930710,0.021887,0.365027,-215.030197,92.191284,84.218880
30,0.250000,0.007349,0.930694,0.022005,0.365062,-215.031097,92.191086,84.220741
31,0.258333,0.007355,0.930685,0.022033,0.365083,-215.031479,92.190735,84.221909
32,0.266667,0.007460,0.930692,0.021988,0.365065,-215.032379,92.190598,84.222572
33,0.275000,0.007534,0.930714,0.022105,0.365001,-215.032623,92.189926,84.224609
34,0.283333,0.007465,0.930659,0.022023,0.365149,-215.031555,92.189529,84.221695
35,0.291667,0.007448,0.930693,0.022027,0.365061,-215.030884,92.189110,84.222260
36,0.300000,0.007391,0.930679,0.022070,0.365095,-215.029480,92.188850,84.220100
37,0.308333,0.007553,0.930689,0.021959,0.365072,-215.028137,92.189880,84.219086
38,0.316667,0.007470,0.930713,0.021939,0.365015,-215.026810,92.189598,84.217331
39,0.325000,0.007415,0.930711,0.022042,0.365016,-215.025452,92.189621,84.214989
40,0.333333,0.007358,0.930685,0.021635,0.365108,-215.022232,92.187454,84.212509
41,0.341667,0.007200,0.930666,0.021388,0.365173,-215.020294,92.185638,84.210487
42,0.350000,0.007310,0.930678,0.021174,0.365152,-215.018463,92.185417,84.209152
43,0.358333,0.007250,0.930683,0.021161,0.365142,-215.018112,92.185890,84.209785
44,0.366667,0.007304,0.930681,0.021171,0.365145,-215.018555,92.186180,84.209312
45,0.375000,0.007513,0.930741,0.021822,0.364951,-215.020874,92.190063,84.212624
46,0.383333,0.007379,0.930682,0.021709,0.365111,-215.019745,92.188667,84.212669
47,0.391667,0.007384,0.930727,0.021836,0.364987,-215.022324,92.190262,84.215210
48,0.400000,0.007300,0.930693,0.021665,0.365086,-215.021973,92.187965,84.216728
49,0.408333,0.007484,0.930710,0.021857,0.365028,-215.024445,92.189827,84.218483
50,0.416667,0.007437,0.930728,0.022041,0.364970,-215.026520,92.189682,84.221291
51,0.425000,0.007408,0.930697,0.022343,0.365033,-215.027542,92.188057,84.222534
52,0.433333,0.007409,0.930711,0.022102,0.365011,-215.029144,92.188660,84.222984
53,0.441667,0.007348,0.930709,0.022038,0.365023,-215.030212,92.189240,84.223572
54,0.450000,0.007325,0.930692,0.022064,0.365064,-215.030319,92.189056,84.222939
55,0.458333,0.007349,0.930700,0.022101,0.365040,-215.030151,92.188438,84.222893
56,0.466667,0.007436,0.930711,0.022193,0.365006,-215.030045,92.188255,84.223175
57,0.475000,0.007518,0.930677,0.022236,0.365087,-215.029938,92.188545,84.222694
58,0.483333,0.007457,0.930708,0.022119,0.365018,-215.029907,92.188576,84.221939
59,0.491667,0.007374,0.930698,0.022148,0.365042,-215.030045,92.187515,84.220627
60,0.500000,0.007426,0.930704,0.022054,0.365031,-215.029556,92.187859,84.220680
61,0.508333,0.007363,0.930719,0.022050,0.364994,-215.030380,92.188759,84.219429
62,0.516667,0.007382,0.930705,0.022178,0.365022,-215.030807,92.188492,84.219231
63,0.525000,0.007295,0.930714,0.022186,0.365002,-215.030884,92.187645,84.219048
64,0.533333,0.007368,0.930723,0.022017,0.364986,-215.031677,92.188599,84.219101
65,0.541667,0.007289,0.930719,0.022125,0.364993,-215.033127,92.187172,84.220856
66,0.550000,0.007296,0.930687,0.022022,0.365080,-215.033981,92.185883,84.220772
67,0.558333,0.007465,0.930708,0.021999,0.365025,-215.036606,92.186333,84.222557
68,0.566667,0.007330,0.930690,0.022163,0.365062,-215.038895,92.184006,84.224358
69,0.575000,0.007395,0.930688,0.022166,0.365067,-215.041092,92.183182,84.226021
70,0.583333,0.007397,0.930708,0.022239,0.365011,-215.042252,92.181351,84.228333
71,0.591667,0.007514,0.930688,0.022231,0.365060,-215.041779,92.181137,84.230057
72,0.600000,0.007541,0.930667,0.022176,0.365116,-215.040726,92.181763,84.232170
73,0.608333,0.007584,0.930632,0.022217,0.365204,-215.038773,92.182671,84.233459
