Format Version,1.25,Take Name,Take 2025-11-27 04.50.45 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 04.50.46.893 PM,Capture Start Frame,2500172,Total Frames in Take,1295,Total Exported Frames,1295,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.007281,0.399368,0.008942,0.916718,-215.902283,92.236359,83.990326
1,0.008333,-0.007268,0.399363,0.008906,0.916721,-215.899399,92.236038,83.989433
2,0.016667,-0.007174,0.399352,0.008902,0.916727,-215.898041,92.235878,83.990387
3,0.025000,-0.007112,0.399357,0.008857,0.916725,-215.897949,92.237267,83.991333
4,0.033333,-0.006961,0.399334,0.008722,0.916738,-215.897491,92.236961,83.991173
5,0.041667,-0.006978,0.399364,0.008694,0.916725,-215.897629,92.236969,83.991310
6,0.050000,-0.007085,0.399397,0.008800,0.916708,-215.898376,92.238297,83.990898
7,0.058333,-0.007118,0.399360,0.008924,0.916723,-215.898819,92.237244,83.991287
8,0.066667,-0.007217,0.399352,0.009069,0.916725,-215.898651,92.235565,83.991760
9,0.075000,-0.007193,0.399371,0.009083,0.916716,-215.900635,92.234680,83.992516
10,0.083333,-0.007083,0.399366,0.009083,0.916719,-215.902069,92.234650,83.993164
11,0.091667,-0.007094,0.399385,0.009032,0.916711,-215.902420,92.232536,83.992935
12,0.100000,-0.007021,0.399416,0.008947,0.916699,-215.904022,92.233475,83.992867
13,0.108333,-0.006970,0.399413,0.008892,0.916702,-215.903976,92.234764,83.993500
14,0.116667,-0.006970,0.399391,0.008786,0.916712,-215.904327,92.233810,83.993622
15,0.125000,-0.007102,0.399413,0.008831,0.916701,-215.904190,92.235695,83.993080
16,0.133333,-0.007095,0.399355,0.008917,0.916725,-215.903687,92.234711,83.994141
17,0.141667,-0.007079,0.399364,0.008891,0.916722,-215.903687,92.233780,83.993675
18,0.150000,-0.007106,0.399386,0.008906,0.916712,-215.903641,92.235199,83.994286
19,0.158333,-0.007006,0.399373,0.008928,0.916718,-215.903305,92.233772,83.994705
20,0.166667,-0.007038,0.399400,0.008965,0.916706,-215.903336,92.234314,83.995651
21,0.175000,-0.007069,0.399400,0.009007,0.916705,-215.903351,92.234734,83.995781
22,0.183333,-0.006996,0.399346,0.009005,0.916729,-215.902573,92.235855,83.994743
23,0.191667,-0.006935,0.399305,0.008841,0.916749,-215.901855,92.235580,83.994827
24,0.200000,-0.006964,0.399377,0.008712,0.916719,-215.901520,92.234436,83.993027
25,0.208333,-0.007019,0.399356,0.008769,0.916727,-215.901642,92.234200,83.993546
26,0.216667,-0.007094,0.399329,0.008962,0.916736,-215.901520,92.234901,83.993645
27,0.225000,-0.006994,0.399374,0.008950,0.916718,-215.902069,92.234840,83.993622
28,0.233333,-0.007019,0.399356,0.008825,0.916727,-215.903091,92.235191,83.993950
29,0.241667,-0.007120,0.399388,0.008893,0.916711,-215.902634,92.235512,83.992432
30,0.250000,-0.007162,0.399406,0.008890,0.916703,-215.902786,92.235336,83.991936
31,0.258333,-0.007118,0.399373,0.008879,0.916718,-215.902679,92.235123,83.992950
32,0.266667,-0.007081,0.399334,0.008938,0.916735,-215.902237,92.234978,83.993462
33,0.275000,-0.007037,0.399327,0.008952,0.916738,-215.902542,92.235748,83.993790
34,0.283333,-0.007110,0.399350,0.008758,0.916729,-215.902878,92.235718,83.993629
35,0.291667,-0.007184,0.399386,0.008735,0.916713,-215.902374,92.235687,83.993217
36,0.300000,-0.007100,0.399385,0.008758,0.916714,-215.902756,92.234680,83.993454
37,0.308333,-0.006981,0.399426,0.008819,0.916696,-215.902802,92.234276,83.994751
38,0.316667,-0.007004,0.399388,0.008946,0.916712,-215.903214,92.234261,83.994255
39,0.325000,-0.007048,0.399379,0.008919,0.916715,-215.903122,92.234787,83.994652
40,0.333333,-0.007256,0.399365,0.009012,0.916719,-215.903091,92.234940,83.992943
41,0.341667,-0.007256,0.399360,0.008888,0.916722,-215.903091,92.234581,83.991875
42,0.350000,-0.007132,0.399381,0.008878,0.916714,-215.902924,92.232513,83.992020
43,0.358333,-0.007177,0.399418,0.008824,0.916699,-215.903290,92.234390,83.992416
44,0.366667,-0.007229,0.399361,0.008854,0.916723,-215.902634,92.234062,83.991768
45,0.375000,-0.007178,0.399365,0.008927,0.916721,-215.902634,92.234810,83.991684
46,0.383333,-0.007223,0.399390,0.008973,0.916709,-215.902328,92.234863,83.991913
47,0.391667,-0.007122,0.399387,0.008985,0.916711,-215.901443,92.233292,83.993103
48,0.400000,-0.007133,0.399398,0.009011,0.916706,-215.901352,92.234840,83.994186
49,0.408333,-0.007108,0.399332,0.008939,0.916735,-215.901871,92.234406,83.994049
50,0.416667,-0.007026,0.399351,0.008965,0.916727,-215.901993,92.234329,83.994759
51,0.425000,-0.007061,0.399301,0.008910,0.916749,-215.900375,92.235268,83.995529
52,0.433333,-0.006981,0.399305,0.008786,0.916750,-215.901535,92.235207,83.996735
53,0.441667,-0.007010,0.399361,0.008785,0.916725,-215.902878,92.235588,83.997108
54,0.450000,-0.006874,0.399347,0.008881,0.916731,-215.902466,92.234764,83.998108
55,0.458333,-0.007033,0.399368,0.008975,0.916720,-215.904495,92.234543,83.998558
56,0.466667,-0.007043,0.399393,0.008967,0.916709,-215.906219,92.234573,83.998055
57,0.475000,-0.007141,0.399428,0.008911,0.916694,-215.907333,92.234711,83.995720
58,0.483333,-0.007174,0.399400,0.008945,0.916705,-215.907913,92.233932,83.994385
59,0.491667,-0.007369,0.399337,0.008914,0.916731,-215.908569,92.235085,83.993706
60,0.500000,-0.007368,0.399304,0.008921,0.916746,-215.908630,92.235588,83.992256
61,0.508333,-0.007187,0.399262,0.008932,0.916765,-215.908981,92.234245,83.990845
62,0.516667,-0.007193,0.399283,0.009078,0.916755,-215.909286,92.233452,83.988007
63,0.525000,-0.007296,0.399271,0.009031,0.916759,-215.911514,92.232986,83.987526
64,0.533333,-0.007422,0.399279,0.009086,0.916755,-215.911987,92.232002,83.986214
65,0.541667,-0.007521,0.399269,0.009073,0.916758,-215.912674,92.232872,83.986458
66,0.550000,-0.007479,0.399237,0.009165,0.916771,-215.913208,92.232933,83.987602
67,0.558333,-0.007491,0.399269,0.009208,0.916757,-215.915817,92.232903,83.987488
68,0.566667,-0.007537,0.399351,0.009175,0.916721,-215.921097,92.233765,83.987305
69,0.575000,-0.007472,0.399153,0.009339,0.916806,-215.928513,92.232971,83.989822
70,0.583333,-0.007707,0.398989,0.009354,0.916876,-215.941284,92.237404,83.990562
71,0.591667,-0.007904,0.399016,0.009615,0.916860,-215.956589,92.238060,83.993660
