Format Version,1.25,Take Name,Take 2025-11-27 05.45.28 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 05.45.29.365 PM,Capture Start Frame,295583,Total Frames in Take,1009,Total Exported Frames,1009,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.015151,0.999656,0.005560,-0.020682,-215.756302,90.026688,82.958755
1,0.008333,-0.015334,0.999649,0.005648,-0.020867,-215.764572,90.027390,82.960579
2,0.016667,-0.015468,0.999644,0.005729,-0.020953,-215.772156,90.028725,82.962112
3,0.025000,-0.015433,0.999635,0.005975,-0.021342,-215.779953,90.031067,82.964111
4,0.033333,-0.015403,0.999630,0.005929,-0.021642,-215.786148,90.032669,82.963829
5,0.041667,-0.015680,0.999621,0.005755,-0.021875,-215.792175,90.030800,82.963631
6,0.050000,-0.015686,0.999611,0.005771,-0.022310,-215.798325,90.030411,82.960808
7,0.058333,-0.015704,0.999606,0.005697,-0.022540,-215.803101,90.030136,82.959808
8,0.066667,-0.015575,0.999604,0.005646,-0.022746,-215.807297,90.030060,82.957565
9,0.075000,-0.015626,0.999599,0.005666,-0.022932,-215.810562,90.030510,82.954041
10,0.083333,-0.015732,0.999596,0.005675,-0.022973,-215.812973,90.031807,82.953079
11,0.091667,-0.015622,0.999593,0.005899,-0.023117,-215.812225,90.030571,82.948799
12,0.100000,-0.015868,0.999573,0.007678,-0.023296,-215.818542,90.052116,82.956467
13,0.108333,-0.015908,0.999572,0.008626,-0.022992,-215.812820,90.057739,82.961227
14,0.116667,-0.016015,0.999572,0.008950,-0.022783,-215.806000,90.061172,82.965347
15,0.125000,-0.016052,0.999578,0.008938,-0.022485,-215.803696,90.065918,82.970451
16,0.133333,-0.015883,0.999581,0.009162,-0.022389,-215.799744,90.065392,82.972183
17,0.141667,-0.015686,0.999602,0.007825,-0.022125,-215.798920,90.054794,82.981613
18,0.150000,-0.015690,0.999607,0.007079,-0.022116,-215.802460,90.047470,82.980057
