Format Version,1.25,Take Name,Take 2025-11-27 05.53.28 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 05.53.29.882 PM,Capture Start Frame,353242,Total Frames in Take,927,Total Exported Frames,927,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.001999,-0.024168,0.011701,-0.999637,-215.264603,90.140961,84.348122
1,0.008333,-0.001888,-0.024197,0.011521,-0.999639,-215.263748,90.146042,84.351913
2,0.016667,-0.001876,-0.024267,0.011485,-0.999638,-215.264099,90.146431,84.352867
3,0.025000,-0.001866,-0.024356,0.011307,-0.999638,-215.265869,90.142792,84.354706
4,0.033333,-0.001705,-0.024304,0.011063,-0.999642,-215.269165,90.138832,84.354065
5,0.041667,-0.001894,-0.024319,0.011101,-0.999641,-215.273239,90.138397,84.360130
6,0.050000,-0.001966,-0.024227,0.011194,-0.999642,-215.273499,90.139351,84.359482
7,0.058333,-0.002601,-0.023920,0.011215,-0.999648,-215.273743,90.138466,84.349823
8,0.066667,-0.002400,-0.024050,0.011403,-0.999643,-215.270920,90.141029,84.359398
9,0.075000,-0.002157,-0.024096,0.011499,-0.999641,-215.268082,90.140167,84.357033
10,0.083333,-0.002051,-0.024266,0.011593,-0.999636,-215.266937,90.138512,84.356674
11,0.091667,-0.001922,-0.024258,0.011587,-0.999637,-215.265366,90.137558,84.354309
12,0.100000,-0.001880,-0.024242,0.011656,-0.999636,-215.265030,90.139961,84.354393
13,0.108333,-0.001969,-0.024230,0.011571,-0.999637,-215.265945,90.142418,84.353798
14,0.116667,-0.001903,-0.024236,0.011353,-0.999640,-215.269562,90.143623,84.353928
15,0.125000,-0.001856,-0.024221,0.011164,-0.999643,-215.272614,90.140648,84.353951
16,0.133333,-0.001903,-0.024226,0.011124,-0.999643,-215.276367,90.138893,84.353111
17,0.141667,-0.002029,-0.024157,0.011204,-0.999643,-215.275436,90.137634,84.353027
18,0.150000,-0.002136,-0.024067,0.011532,-0.999642,-215.270691,90.138870,84.351883
