Format Version,1.25,Take Name,Take 2025-11-27 05.37.04 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 05.37.05.413 PM,Capture Start Frame,235110,Total Frames in Take,1334,Total Exported Frames,1334,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.002012,0.721137,-0.005020,0.692771,-214.713165,90.102592,83.633316
1,0.008333,0.001912,0.721086,-0.005054,0.692825,-214.713287,90.103058,83.634819
2,0.016667,0.001170,0.721218,-0.004754,0.692691,-214.721802,90.111382,83.629799
3,0.025000,0.000276,0.721259,-0.004153,0.692653,-214.731354,90.121414,83.626289
4,0.033333,-0.000434,0.721469,-0.003906,0.692436,-214.740173,90.129753,83.619308
5,0.041667,-0.000227,0.721701,-0.003857,0.692194,-214.742584,90.128197,83.612274
6,0.050000,0.000217,0.721990,-0.003755,0.691893,-214.748413,90.123055,83.605072
7,0.058333,0.001185,0.721869,-0.004449,0.692015,-214.744644,90.111664,83.606079
8,0.066667,0.001762,0.721915,-0.004938,0.691962,-214.741470,90.103340,83.604805
9,0.075000,0.002017,0.722207,-0.005109,0.691655,-214.740936,90.101967,83.599960
10,0.083333,0.002154,0.722271,-0.005181,0.691587,-214.738174,90.100235,83.598061
11,0.091667,0.002243,0.722003,-0.005386,0.691865,-214.735703,90.097031,83.603302
12,0.100000,0.002073,0.721894,-0.005276,0.691980,-214.735107,90.100182,83.605782
13,0.108333,0.001827,0.722105,-0.004997,0.691763,-214.737015,90.104469,83.600922
14,0.116667,0.002040,0.721878,-0.005279,0.691997,-214.736359,90.101715,83.605232
15,0.125000,0.001818,0.722046,-0.005003,0.691825,-214.737961,90.104797,83.601822
16,0.133333,0.001861,0.721873,-0.005258,0.692003,-214.737152,90.101860,83.605484
17,0.141667,0.001866,0.721858,-0.005105,0.692020,-214.737656,90.102676,83.607841
18,0.150000,0.001980,0.721907,-0.005140,0.691968,-214.737701,90.103050,83.607185
19,0.158333,0.001970,0.721888,-0.005277,0.691987,-214.738602,90.100906,83.607254
