Format Version,1.25,Take Name,Take 2025-11-27 06.13.57 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 06.13.58.621 PM,Capture Start Frame,500688,Total Frames in Take,1064,Total Exported Frames,1064,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.003111,0.672457,0.005198,0.740111,-216.743179,84.321419,87.352905
1,0.008333,0.003188,0.672438,0.004972,0.740130,-216.744919,84.323364,87.354706
2,0.016667,0.003148,0.672360,0.004954,0.740202,-216.743286,84.320763,87.352493
3,0.025000,0.002927,0.672053,0.002732,0.740492,-216.741821,84.311493,87.356697
4,0.033333,0.002999,0.672379,0.004476,0.740187,-216.744705,84.320068,87.354340
5,0.041667,0.003160,0.672474,0.005209,0.740096,-216.744583,84.321373,87.352409
6,0.050000,0.003094,0.672383,0.004983,0.740180,-216.745255,84.323036,87.352242
7,0.058333,0.002925,0.672380,0.004767,0.740185,-216.744812,84.321648,87.352478
8,0.066667,0.003058,0.672362,0.004756,0.740201,-216.746353,84.323570,87.353111
9,0.075000,0.003230,0.672393,0.005100,0.740170,-216.745407,84.322281,87.349930
10,0.083333,0.002975,0.672481,0.004880,0.740092,-216.746994,84.324165,87.351730
11,0.091667,0.003092,0.672442,0.004742,0.740128,-216.746063,84.323349,87.352104
12,0.100000,0.003016,0.672325,0.004598,0.740235,-216.746140,84.322678,87.351814
13,0.108333,0.003010,0.672427,0.004680,0.740142,-216.747757,84.322838,87.353119
14,0.116667,0.002899,0.672164,0.002649,0.740392,-216.744308,84.311440,87.352905
15,0.125000,0.002815,0.672346,0.004469,0.740218,-216.748474,84.319824,87.353920
16,0.133333,0.002753,0.672484,0.004859,0.740090,-216.748291,84.322044,87.353088
17,0.141667,0.002869,0.672416,0.004787,0.740152,-216.747192,84.321320,87.353462
18,0.150000,0.002989,0.672477,0.004826,0.740096,-216.748230,84.319565,87.354126
19,0.158333,0.003179,0.672412,0.004964,0.740154,-216.748306,84.318909,87.352791
20,0.166667,0.003093,0.672414,0.004575,0.740155,-216.749100,84.320000,87.355629
21,0.175000,0.002532,0.672086,0.002140,0.740466,-216.745041,84.307983,87.357430
22,0.183333,0.002946,0.672340,0.004279,0.740224,-216.749435,84.318855,87.355339
23,0.191667,0.003083,0.672466,0.004827,0.740106,-216.749191,84.321342,87.352203
24,0.200000,0.003086,0.672491,0.005038,0.740081,-216.748718,84.318947,87.351189
25,0.208333,0.002966,0.672414,0.004734,0.740155,-216.750458,84.319801,87.353966
26,0.216667,0.002788,0.672406,0.004449,0.740164,-216.750412,84.320839,87.351898
27,0.225000,0.002793,0.672416,0.004307,0.740156,-216.749283,84.318855,87.352440
28,0.233333,0.002702,0.672288,0.004096,0.740274,-216.749710,84.320030,87.351700
29,0.241667,0.002941,0.672314,0.004096,0.740249,-216.749649,84.319458,87.350708
30,0.250000,0.002741,0.672334,0.003822,0.740233,-216.750412,84.320480,87.354591
31,0.258333,0.002615,0.672323,0.003953,0.740243,-216.749313,84.316628,87.352585
32,0.266667,0.002578,0.672157,0.003951,0.740393,-216.750412,84.317032,87.353821
33,0.275000,0.002666,0.672178,0.003757,0.740375,-216.750412,84.317123,87.354889
34,0.283333,0.002697,0.672277,0.003595,0.740286,-216.751007,84.316109,87.356476
35,0.291667,0.002683,0.671771,0.003845,0.740744,-216.749313,84.316200,87.360207
36,0.300000,0.002597,0.671702,0.003672,0.740808,-216.749313,84.316154,87.359688
37,0.308333,0.002759,0.671824,0.003764,0.740696,-216.751999,84.317688,87.363068
38,0.316667,0.002514,0.671792,0.003771,0.740726,-216.752029,84.316399,87.360863
39,0.325000,0.002797,0.671875,0.004065,0.740648,-216.753433,84.315170,87.360466
