Format Version,1.25,Take Name,Take 2025-11-27 06.23.23 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 06.23.24.813 PM,Capture Start Frame,568629,Total Frames in Take,1121,Total Exported Frames,1121,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001593,0.671407,0.003159,0.741081,-216.771561,84.305695,87.403137
1,0.008333,0.001240,0.671041,0.001377,0.741418,-216.766357,84.294830,87.403259
2,0.016667,0.001334,0.671102,0.000920,0.741363,-216.767029,84.290276,87.403473
3,0.025000,0.001158,0.671244,0.000768,0.741235,-216.768387,84.292511,87.404320
4,0.033333,0.001470,0.671194,0.000836,0.741280,-216.767288,84.291565,87.403397
5,0.041667,0.001265,0.671212,0.000881,0.741264,-216.767502,84.290916,87.403885
6,0.050000,0.001128,0.671131,0.000814,0.741338,-216.767120,84.290382,87.401810
7,0.058333,0.001163,0.671189,0.000784,0.741285,-216.768234,84.292244,87.403694
8,0.066667,0.001396,0.671254,0.000760,0.741225,-216.767120,84.293365,87.404602
9,0.075000,0.001288,0.671189,0.000728,0.741285,-216.764954,84.292755,87.403175
10,0.083333,0.001277,0.671230,0.000729,0.741247,-216.764908,84.293457,87.403976
11,0.091667,0.001316,0.671205,0.000820,0.741270,-216.763824,84.292709,87.401489
12,0.100000,0.001302,0.671203,0.000719,0.741272,-216.764877,84.293022,87.402473
13,0.108333,0.001469,0.671342,0.003223,0.741139,-216.768433,84.305351,87.400101
14,0.116667,0.001574,0.671134,0.001371,0.741333,-216.764526,84.296021,87.401344
15,0.125000,0.001328,0.671156,0.000931,0.741315,-216.765121,84.293427,87.400932
16,0.133333,0.001339,0.671131,0.000977,0.741337,-216.765884,84.292831,87.398880
17,0.141667,0.001113,0.671126,0.000669,0.741343,-216.767120,84.291283,87.401154
18,0.150000,0.001192,0.671161,0.000665,0.741311,-216.767334,84.291100,87.399712
19,0.158333,0.001256,0.671249,0.000606,0.741231,-216.767715,84.291168,87.399704
20,0.166667,0.001396,0.671120,0.000794,0.741347,-216.771576,84.294357,87.396645
21,0.175000,0.001443,0.671056,0.000910,0.741404,-216.772430,84.292740,87.395363
22,0.183333,0.001381,0.671011,0.000894,0.741445,-216.773254,84.293327,87.396591
23,0.191667,0.001525,0.670989,0.000957,0.741465,-216.771942,84.292938,87.395279
24,0.200000,0.002296,0.671166,0.000806,0.741303,-216.772324,84.295952,87.397720
25,0.208333,0.002670,0.671308,0.000865,0.741173,-216.772598,84.300522,87.399788
26,0.216667,0.002589,0.671126,0.000764,0.741338,-216.770859,84.298180,87.398300
27,0.225000,0.002052,0.671127,0.000756,0.741339,-216.772171,84.298462,87.399261
28,0.233333,0.001946,0.671136,0.000649,0.741332,-216.770309,84.296761,87.398315
29,0.241667,0.002183,0.671169,0.000694,0.741301,-216.770645,84.297485,87.399849
30,0.250000,0.002258,0.671159,0.001089,0.741309,-216.770096,84.298752,87.397751
31,0.258333,0.002096,0.671011,0.000730,0.741445,-216.769165,84.295471,87.397209
32,0.266667,0.002159,0.671156,0.000674,0.741313,-216.769241,84.296806,87.399902
33,0.275000,0.002311,0.671150,0.000897,0.741318,-216.767975,84.296158,87.396622
34,0.283333,0.002344,0.671139,0.000913,0.741327,-216.770035,84.297386,87.399055
35,0.291667,0.002326,0.671097,0.000691,0.741366,-216.768463,84.295746,87.397446
36,0.300000,0.002396,0.671128,0.000877,0.741337,-216.768234,84.295212,87.397087
37,0.308333,0.002289,0.671240,0.000637,0.741236,-216.768906,84.297058,87.397583
38,0.316667,0.002303,0.671116,0.000706,0.741349,-216.767975,84.296776,87.396088
39,0.325000,0.002586,0.671384,0.000736,0.741105,-216.768433,84.300011,87.400955
