Format Version,1.25,Take Name,Take 2025-11-27 05.58.34 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 05.58.35.785 PM,Capture Start Frame,389950,Total Frames in Take,1122,Total Exported Frames,1122,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.000018,0.670410,0.002275,0.741988,-216.795639,84.317802,87.313522
1,0.008333,0.000059,0.670081,0.000259,0.742288,-216.791580,84.306114,87.316528
2,0.016667,0.000287,0.670249,0.001870,0.742134,-216.793182,84.314713,87.314659
3,0.025000,0.000244,0.670430,0.002404,0.741969,-216.794159,84.317703,87.315170
4,0.033333,0.000136,0.670383,0.002301,0.742012,-216.793777,84.317802,87.315186
5,0.041667,0.000307,0.670470,0.002422,0.741932,-216.794754,84.318489,87.316795
6,0.050000,0.000104,0.670352,0.002385,0.742040,-216.794708,84.318062,87.316734
7,0.058333,0.000055,0.670321,0.002267,0.742068,-216.793732,84.318390,87.316162
8,0.066667,0.000074,0.670422,0.002343,0.741976,-216.795105,84.318924,87.318298
9,0.075000,0.000006,0.670397,0.002269,0.741999,-216.795319,84.318069,87.316437
10,0.083333,-0.000088,0.669996,0.000123,0.742365,-216.792084,84.305222,87.319321
11,0.091667,-0.000262,0.670060,-0.000750,0.742307,-216.791656,84.302902,87.319511
12,0.100000,-0.000043,0.670253,0.001898,0.742130,-216.795776,84.316307,87.315048
13,0.108333,0.000019,0.670484,0.002600,0.741920,-216.796494,84.321548,87.316277
14,0.116667,0.000039,0.670364,0.002310,0.742029,-216.794632,84.318436,87.315636
15,0.125000,0.000173,0.670325,0.002313,0.742064,-216.795395,84.317314,87.316452
16,0.133333,0.000072,0.670276,0.002236,0.742109,-216.795319,84.317886,87.314781
17,0.141667,0.000046,0.670384,0.002289,0.742011,-216.795349,84.318634,87.315063
18,0.150000,0.000103,0.670506,0.002297,0.741900,-216.795212,84.319466,87.317261
19,0.158333,0.000077,0.670325,0.002400,0.742063,-216.794037,84.318382,87.315094
20,0.166667,-0.000132,0.670076,0.000321,0.742292,-216.792328,84.305969,87.320229
21,0.175000,0.000068,0.670278,0.002135,0.742107,-216.795395,84.315651,87.318993
22,0.183333,-0.000015,0.670092,0.000548,0.742278,-216.792633,84.308441,87.320175
23,0.191667,0.000054,0.670347,0.001891,0.742045,-216.795517,84.316078,87.320969
24,0.200000,0.000106,0.670315,0.002389,0.742073,-216.794662,84.318832,87.318268
25,0.208333,0.000009,0.670155,0.000327,0.742221,-216.792801,84.308144,87.323402
26,0.216667,0.000259,0.670277,0.002064,0.742108,-216.795853,84.315948,87.320450
27,0.225000,0.000016,0.670091,0.000713,0.742279,-216.791962,84.309090,87.322144
28,0.233333,-0.000118,0.670002,-0.000370,0.742360,-216.790421,84.302811,87.322327
29,0.241667,-0.000046,0.670034,-0.000436,0.742330,-216.789719,84.302109,87.320999
30,0.250000,0.000258,0.670407,0.002319,0.741990,-216.793961,84.315926,87.320297
31,0.258333,0.000227,0.670485,0.002961,0.741917,-216.793350,84.318939,87.317429
32,0.266667,0.000269,0.670433,0.002774,0.741965,-216.792770,84.318230,87.317764
33,0.275000,0.000132,0.670340,0.002759,0.742049,-216.793747,84.317795,87.318054
34,0.283333,0.000132,0.670359,0.002630,0.742032,-216.794174,84.317154,87.318161
35,0.291667,0.000292,0.670381,0.002524,0.742013,-216.795212,84.318199,87.320000
36,0.300000,0.000216,0.670398,0.002485,0.741998,-216.793732,84.317650,87.318474
37,0.308333,0.000362,0.670371,0.002522,0.742021,-216.797089,84.318932,87.321182
38,0.316667,0.000066,0.670356,0.002376,0.742036,-216.797043,84.318230,87.320175
39,0.325000,-0.000117,0.670104,0.000136,0.742267,-216.794464,84.306343,87.323257
