Format Version,1.25,Take Name,Take 2025-11-28 07.38.54 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.38.55.272 PM,Capture Start Frame,3549643,Total Frames in Take,1502,Total Exported Frames,1502,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.016687,-0.380629,-0.002035,0.924575,-215.825775,92.188652,83.338478
1,0.008333,-0.016779,-0.380605,-0.001993,0.924584,-215.825562,92.188545,83.339134
2,0.016667,-0.016820,-0.380628,-0.001980,0.924573,-215.825195,92.188667,83.338860
3,0.025000,-0.016812,-0.380621,-0.002129,0.924576,-215.824310,92.187103,83.339157
4,0.033333,-0.017321,-0.380705,-0.001953,0.924532,-215.825180,92.188606,83.339188
5,0.041667,-0.016812,-0.380544,-0.001962,0.924608,-215.824173,92.188110,83.339241
6,0.050000,-0.016628,-0.380604,-0.001940,0.924587,-215.825226,92.188187,83.338524
7,0.058333,-0.016707,-0.380637,-0.002002,0.924571,-215.825470,92.188568,83.338326
8,0.066667,-0.016723,-0.380590,-0.002062,0.924590,-215.825836,92.188370,83.338181
9,0.075000,-0.016646,-0.380587,-0.002142,0.924593,-215.826111,92.188515,83.338440
10,0.083333,-0.016774,-0.380623,-0.002045,0.924576,-215.826126,92.187912,83.337662
11,0.091667,-0.016737,-0.380587,-0.002023,0.924591,-215.826111,92.188713,83.337456
12,0.100000,-0.016741,-0.380566,-0.002015,0.924600,-215.826324,92.189194,83.337723
13,0.108333,-0.016735,-0.380560,-0.002047,0.924603,-215.826752,92.188438,83.337341
14,0.116667,-0.017142,-0.380653,-0.001954,0.924557,-215.828125,92.191788,83.337410
15,0.125000,-0.017240,-0.380625,-0.001931,0.924567,-215.827515,92.191353,83.336227
16,0.133333,-0.016905,-0.380596,-0.001994,0.924585,-215.826126,92.189957,83.336662
17,0.141667,-0.016824,-0.380574,-0.001983,0.924595,-215.825790,92.188202,83.336098
18,0.150000,-0.016681,-0.380592,-0.002009,0.924591,-215.825272,92.187027,83.336205
19,0.158333,-0.016629,-0.380593,-0.002002,0.924591,-215.824127,92.187225,83.336525
20,0.166667,-0.017136,-0.380668,-0.001923,0.924551,-215.825104,92.190453,83.336853
21,0.175000,-0.016955,-0.380579,-0.001912,0.924591,-215.824219,92.189880,83.337440
22,0.183333,-0.016690,-0.380567,-0.002058,0.924600,-215.823990,92.188072,83.336777
23,0.191667,-0.016621,-0.380597,-0.002053,0.924590,-215.824554,92.187920,83.337296
24,0.200000,-0.016797,-0.380683,-0.001982,0.924551,-215.824310,92.188278,83.336678
25,0.208333,-0.016822,-0.380605,-0.002026,0.924583,-215.824341,92.187920,83.337509
26,0.216667,-0.016768,-0.380615,-0.002021,0.924579,-215.824707,92.189041,83.336792
27,0.225000,-0.016819,-0.380620,-0.001890,0.924577,-215.825012,92.188484,83.337143
28,0.233333,-0.016823,-0.380573,-0.001879,0.924596,-215.825409,92.187981,83.338188
29,0.241667,-0.016865,-0.380610,-0.001977,0.924580,-215.825577,92.187897,83.338097
30,0.250000,-0.016727,-0.380652,-0.002107,0.924564,-215.825058,92.189316,83.337173
31,0.258333,-0.016754,-0.380593,-0.002040,0.924589,-215.825409,92.188080,83.338196
32,0.266667,-0.016760,-0.380619,-0.002148,0.924577,-215.825348,92.188904,83.338020
33,0.275000,-0.016758,-0.380631,-0.002202,0.924572,-215.824814,92.188850,83.336380
34,0.283333,-0.016824,-0.380622,-0.002026,0.924575,-215.824768,92.188965,83.335907
35,0.291667,-0.017161,-0.380660,-0.001919,0.924554,-215.824600,92.190590,83.335152
36,0.300000,-0.016826,-0.380635,-0.002042,0.924570,-215.822937,92.189293,83.336685
37,0.308333,-0.016770,-0.380672,-0.002121,0.924556,-215.823273,92.189308,83.337067
38,0.316667,-0.016666,-0.380649,-0.002033,0.924567,-215.822861,92.188377,83.336929
39,0.325000,-0.016745,-0.380644,-0.002087,0.924568,-215.823288,92.189064,83.336433
40,0.333333,-0.016929,-0.380647,-0.002008,0.924563,-215.823334,92.188873,83.336967
41,0.341667,-0.017202,-0.380667,-0.002008,0.924550,-215.824005,92.190781,83.336952
42,0.350000,-0.017184,-0.380663,-0.002023,0.924552,-215.824219,92.191116,83.336754
43,0.358333,-0.016788,-0.380612,-0.002123,0.924580,-215.824158,92.189323,83.336227
44,0.366667,-0.016777,-0.380589,-0.002047,0.924590,-215.825409,92.188507,83.337227
45,0.375000,-0.017108,-0.380675,-0.002071,0.924549,-215.826874,92.190430,83.337769
46,0.383333,-0.017353,-0.380666,-0.002034,0.924548,-215.827652,92.190506,83.337677
47,0.391667,-0.017296,-0.380580,-0.001944,0.924584,-215.827896,92.189621,83.338211
48,0.400000,-0.016781,-0.380519,-0.002037,0.924618,-215.827148,92.188606,83.338585
49,0.408333,-0.016606,-0.380569,-0.002001,0.924601,-215.827362,92.188164,83.338135
50,0.416667,-0.016675,-0.380590,-0.001968,0.924592,-215.827103,92.188103,83.338516
51,0.425000,-0.016800,-0.380583,-0.002045,0.924592,-215.826462,92.187759,83.338272
52,0.433333,-0.016761,-0.380577,-0.002046,0.924595,-215.825317,92.186958,83.336899
53,0.441667,-0.017171,-0.380701,-0.002096,0.924537,-215.826111,92.189201,83.337318
54,0.450000,-0.016795,-0.380624,-0.002154,0.924575,-215.824371,92.188591,83.336357
55,0.458333,-0.016722,-0.380597,-0.002109,0.924587,-215.824585,92.188293,83.335739
56,0.466667,-0.016858,-0.380590,-0.002145,0.924588,-215.824677,92.189011,83.335945
57,0.475000,-0.017281,-0.380628,-0.001996,0.924565,-215.824432,92.190285,83.336479
58,0.483333,-0.016837,-0.380536,-0.002006,0.924611,-215.822815,92.188789,83.335632
59,0.491667,-0.016701,-0.380556,-0.002021,0.924605,-215.823608,92.188713,83.335945
60,0.500000,-0.016762,-0.380618,-0.002021,0.924578,-215.822342,92.188019,83.336395
61,0.508333,-0.016820,-0.380593,-0.001980,0.924588,-215.822021,92.187607,83.335388
62,0.516667,-0.016776,-0.380607,-0.002001,0.924583,-215.822083,92.188293,83.335045
63,0.525000,-0.016831,-0.380654,-0.002117,0.924562,-215.821030,92.188087,83.335526
64,0.533333,-0.016819,-0.380576,-0.001978,0.924594,-215.821457,92.187653,83.336182
65,0.541667,-0.016777,-0.380637,-0.002097,0.924570,-215.820480,92.188797,83.336327
66,0.550000,-0.016774,-0.380592,-0.002073,0.924589,-215.820862,92.188278,83.337509
67,0.558333,-0.016743,-0.380621,-0.002060,0.924577,-215.820557,92.188889,83.336708
68,0.566667,-0.016771,-0.380605,-0.002039,0.924583,-215.820862,92.188248,83.335915
