Format Version,1.25,Take Name,Take 2025-11-28 06.50.14 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.50.14.898 PM,Capture Start Frame,3199205,Total Frames in Take,1274,Total Exported Frames,1274,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.009369,-0.016449,0.015210,-0.999705,-215.261871,90.099571,84.560654
1,0.008333,-0.009333,-0.016483,0.015199,-0.999705,-215.261658,90.099678,84.560555
2,0.016667,-0.009301,-0.016411,0.015178,-0.999707,-215.262177,90.099411,84.560112
3,0.025000,-0.009243,-0.016420,0.015199,-0.999707,-215.262177,90.099548,84.560623
4,0.033333,-0.009243,-0.016437,0.015383,-0.999704,-215.262268,90.099960,84.559181
5,0.041667,-0.009247,-0.016493,0.015057,-0.999708,-215.262390,90.100021,84.560318
6,0.050000,-0.009276,-0.016465,0.015249,-0.999705,-215.261581,90.099129,84.560081
7,0.058333,-0.009253,-0.016434,0.015206,-0.999707,-215.261322,90.098877,84.559647
8,0.066667,-0.009313,-0.016428,0.015231,-0.999706,-215.262222,90.100235,84.560188
9,0.075000,-0.009311,-0.016425,0.015215,-0.999706,-215.261414,90.099777,84.559669
10,0.083333,-0.009315,-0.016502,0.015292,-0.999704,-215.261963,90.099510,84.560356
11,0.091667,-0.009277,-0.016464,0.015208,-0.999706,-215.261810,90.099602,84.559700
12,0.100000,-0.009305,-0.016439,0.015193,-0.999706,-215.261322,90.099701,84.559639
13,0.108333,-0.009310,-0.016424,0.015143,-0.999707,-215.261536,90.099495,84.560631
14,0.116667,-0.009248,-0.016452,0.015217,-0.999706,-215.261673,90.100471,84.559998
15,0.125000,-0.009305,-0.016456,0.015304,-0.999704,-215.262131,90.099350,84.560959
16,0.133333,-0.009191,-0.016416,0.015189,-0.999708,-215.261505,90.098778,84.560158
17,0.141667,-0.009340,-0.016456,0.015267,-0.999704,-215.262054,90.100235,84.560951
18,0.150000,-0.009298,-0.016456,0.015263,-0.999705,-215.261963,90.099464,84.560776
