Format Version,1.25,Take Name,Take 2025-11-28 07.36.17 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.36.17.839 PM,Capture Start Frame,3530751,Total Frames in Take,1492,Total Exported Frames,1492,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.014547,-0.381080,-0.001908,0.924426,-215.828354,92.195419,83.258179
1,0.008333,-0.014589,-0.381025,-0.001815,0.924448,-215.829117,92.195633,83.258949
2,0.016667,-0.014602,-0.381049,-0.001767,0.924438,-215.829987,92.194107,83.259125
3,0.025000,-0.014647,-0.381003,-0.001843,0.924456,-215.831757,92.194489,83.262238
4,0.033333,-0.014598,-0.381070,-0.001859,0.924429,-215.831970,92.194923,83.264297
5,0.041667,-0.014650,-0.381073,-0.001894,0.924427,-215.835648,92.194733,83.267014
6,0.050000,-0.014702,-0.381070,-0.001875,0.924428,-215.838043,92.193665,83.269241
7,0.058333,-0.014752,-0.381111,-0.001873,0.924410,-215.837555,92.194069,83.270805
8,0.066667,-0.014819,-0.381079,-0.001808,0.924422,-215.836243,92.194275,83.271324
9,0.075000,-0.014763,-0.381081,-0.001872,0.924422,-215.837387,92.193649,83.270706
10,0.083333,-0.014631,-0.381069,-0.001787,0.924429,-215.836929,92.194031,83.270065
11,0.091667,-0.014669,-0.381111,-0.001810,0.924411,-215.835388,92.195221,83.268288
12,0.100000,-0.014659,-0.381056,-0.001727,0.924434,-215.834137,92.194542,83.266846
13,0.108333,-0.014532,-0.381080,-0.001713,0.924426,-215.833405,92.193779,83.264893
14,0.116667,-0.014467,-0.381106,-0.001726,0.924416,-215.832306,92.194771,83.262596
15,0.125000,-0.014550,-0.381096,-0.001807,0.924419,-215.830734,92.195755,83.260880
16,0.133333,-0.014580,-0.381048,-0.001754,0.924439,-215.828751,92.195580,83.258514
17,0.141667,-0.014543,-0.381050,-0.001757,0.924438,-215.828247,92.195396,83.255585
18,0.150000,-0.014515,-0.381012,-0.001740,0.924454,-215.827637,92.194420,83.255371
19,0.158333,-0.014506,-0.381043,-0.001760,0.924442,-215.826675,92.194061,83.255653
20,0.166667,-0.014545,-0.381063,-0.001781,0.924433,-215.826279,92.194496,83.255264
21,0.175000,-0.014428,-0.381075,-0.001824,0.924430,-215.827057,92.194557,83.256256
22,0.183333,-0.014518,-0.381118,-0.001626,0.924411,-215.829086,92.192993,83.256104
23,0.191667,-0.014580,-0.381092,-0.001637,0.924421,-215.830444,92.193153,83.258827
24,0.200000,-0.014634,-0.381101,-0.001755,0.924416,-215.832092,92.194511,83.262108
25,0.208333,-0.014658,-0.381105,-0.001751,0.924414,-215.834167,92.194077,83.264801
26,0.216667,-0.014727,-0.381079,-0.001818,0.924423,-215.833420,92.195374,83.264275
27,0.225000,-0.014688,-0.381149,-0.001855,0.924395,-215.833359,92.194923,83.264526
28,0.233333,-0.014660,-0.381086,-0.001702,0.924422,-215.834137,92.194733,83.265190
29,0.241667,-0.014649,-0.381112,-0.001662,0.924411,-215.834732,92.195061,83.265717
30,0.250000,-0.014647,-0.381051,-0.001729,0.924436,-215.834290,92.194275,83.265114
31,0.258333,-0.014679,-0.381064,-0.001722,0.924431,-215.831833,92.195366,83.262703
32,0.266667,-0.014624,-0.381091,-0.001801,0.924420,-215.831833,92.197243,83.261223
33,0.275000,-0.014540,-0.381097,-0.001776,0.924419,-215.830963,92.196312,83.260208
34,0.283333,-0.014550,-0.381049,-0.001771,0.924439,-215.829849,92.195374,83.258682
35,0.291667,-0.014497,-0.381030,-0.001764,0.924448,-215.828400,92.194923,83.257103
36,0.300000,-0.014567,-0.381071,-0.001586,0.924430,-215.828110,92.192070,83.254745
37,0.308333,-0.014637,-0.381087,-0.001720,0.924422,-215.826492,92.193207,83.254845
38,0.316667,-0.014609,-0.381062,-0.001889,0.924432,-215.825470,92.195129,83.255226
39,0.325000,-0.014592,-0.381051,-0.001871,0.924437,-215.826111,92.195389,83.255943
40,0.333333,-0.014603,-0.381021,-0.001769,0.924450,-215.827560,92.196281,83.257149
41,0.341667,-0.014625,-0.381091,-0.001698,0.924420,-215.829987,92.195961,83.259636
42,0.350000,-0.014626,-0.381090,-0.001652,0.924421,-215.831543,92.194733,83.261353
43,0.358333,-0.014604,-0.381114,-0.001792,0.924411,-215.831375,92.195221,83.262047
44,0.366667,-0.014670,-0.381103,-0.001740,0.924414,-215.830643,92.194656,83.261818
45,0.375000,-0.014670,-0.381047,-0.001781,0.924438,-215.832001,92.194962,83.263672
46,0.383333,-0.014634,-0.381076,-0.001807,0.924426,-215.832947,92.195801,83.264389
47,0.391667,-0.014634,-0.381058,-0.001851,0.924434,-215.832657,92.195557,83.265068
48,0.400000,-0.014675,-0.381060,-0.001748,0.924432,-215.830826,92.194923,83.264450
49,0.408333,-0.014587,-0.381092,-0.001736,0.924420,-215.830948,92.194580,83.263489
50,0.416667,-0.014629,-0.381095,-0.001710,0.924419,-215.830917,92.194824,83.262810
51,0.425000,-0.014698,-0.381085,-0.001670,0.924422,-215.829849,92.195442,83.261353
52,0.433333,-0.014618,-0.381079,-0.001758,0.924425,-215.828079,92.194763,83.260521
53,0.441667,-0.014562,-0.381095,-0.001886,0.924419,-215.827911,92.195984,83.259430
54,0.450000,-0.014524,-0.381070,-0.001837,0.924430,-215.827423,92.194817,83.259323
55,0.458333,-0.014582,-0.381108,-0.001718,0.924414,-215.827820,92.194801,83.257889
56,0.466667,-0.014530,-0.381098,-0.001752,0.924419,-215.826828,92.196289,83.256683
57,0.475000,-0.014543,-0.381078,-0.001802,0.924427,-215.826538,92.196220,83.256866
58,0.483333,-0.014652,-0.381063,-0.001760,0.924431,-215.826889,92.196175,83.256935
59,0.491667,-0.014586,-0.381127,-0.001724,0.924406,-215.828659,92.195473,83.257164
60,0.500000,-0.014593,-0.381034,-0.001673,0.924444,-215.828461,92.195251,83.258476
61,0.508333,-0.014672,-0.381065,-0.001684,0.924430,-215.829285,92.194893,83.259605
62,0.516667,-0.014624,-0.381072,-0.001792,0.924428,-215.830063,92.195679,83.260986
63,0.525000,-0.014593,-0.381050,-0.001884,0.924437,-215.830490,92.196220,83.260597
64,0.533333,-0.014647,-0.381048,-0.001797,0.924438,-215.830826,92.195839,83.260521
65,0.541667,-0.014572,-0.381111,-0.001839,0.924413,-215.829651,92.194847,83.260437
66,0.550000,-0.014469,-0.381061,-0.001845,0.924435,-215.829941,92.194855,83.260529
67,0.558333,-0.014502,-0.381077,-0.001885,0.924428,-215.829880,92.195709,83.259979
68,0.566667,-0.014580,-0.381053,-0.001817,0.924436,-215.828781,92.194298,83.260948
