Format Version,1.25,Take Name,Take 2025-11-28 06.50.38 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.50.38.770 PM,Capture Start Frame,3202070,Total Frames in Take,1302,Total Exported Frames,1302,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.009230,-0.020876,0.015640,-0.999617,-215.282196,90.099792,84.561409
1,0.008333,-0.009234,-0.020857,0.015500,-0.999620,-215.281815,90.099266,84.560204
2,0.016667,-0.009150,-0.020842,0.015508,-0.999621,-215.282486,90.099579,84.561989
3,0.025000,-0.009232,-0.020880,0.015591,-0.999618,-215.282089,90.099419,84.560852
4,0.033333,-0.009047,-0.020906,0.015538,-0.999620,-215.282532,90.099876,84.561073
5,0.041667,-0.009088,-0.020919,0.015580,-0.999619,-215.282364,90.100113,84.560829
6,0.050000,-0.009188,-0.020900,0.015604,-0.999618,-215.282578,90.100601,84.560806
7,0.058333,-0.009116,-0.020853,0.015609,-0.999619,-215.282486,90.100266,84.561150
8,0.066667,-0.009036,-0.020919,0.015531,-0.999620,-215.282303,90.099464,84.560822
9,0.075000,-0.009124,-0.020852,0.015567,-0.999620,-215.282516,90.099182,84.561386
10,0.083333,-0.009176,-0.020860,0.015478,-0.999621,-215.282227,90.099586,84.561028
11,0.091667,-0.009299,-0.020813,0.015613,-0.999618,-215.282410,90.100861,84.561150
12,0.100000,-0.009281,-0.020875,0.015536,-0.999618,-215.282303,90.099411,84.562180
13,0.108333,-0.009180,-0.020875,0.015527,-0.999619,-215.281921,90.099319,84.560997
14,0.116667,-0.009185,-0.020915,0.015550,-0.999618,-215.282471,90.099579,84.561646
15,0.125000,-0.009066,-0.020850,0.015468,-0.999622,-215.282196,90.099861,84.561104
16,0.133333,-0.009088,-0.020882,0.015455,-0.999621,-215.282181,90.100655,84.562035
17,0.141667,-0.009142,-0.020881,0.015511,-0.999620,-215.282303,90.100327,84.560997
18,0.150000,-0.009169,-0.020838,0.015619,-0.999619,-215.282257,90.100357,84.560097
