Format Version,1.25,Take Name,Take 2025-11-27 03.49.31 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 03.49.32.518 PM,Capture Start Frame,2059258,Total Frames in Take,1134,Total Exported Frames,1134,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.009262,0.927887,0.022515,0.372066,-215.059113,92.138657,84.210876
1,0.008333,0.009091,0.927885,0.023399,0.372021,-215.065720,92.139565,84.218964
2,0.016667,0.008998,0.927929,0.023720,0.371894,-215.074677,92.137436,84.227142
3,0.025000,0.009035,0.927972,0.024049,0.371763,-215.087601,92.136047,84.231102
4,0.033333,0.008597,0.928190,0.024246,0.371217,-215.093964,92.136215,84.229477
5,0.041667,0.008312,0.928499,0.024136,0.370456,-215.096161,92.135925,84.227028
6,0.050000,0.008136,0.928963,0.023659,0.369325,-215.093277,92.139313,84.222565
7,0.058333,0.008068,0.929258,0.023425,0.368599,-215.091156,92.140228,84.218254
8,0.066667,0.008130,0.929306,0.023466,0.368475,-215.094330,92.139542,84.216248
9,0.075000,0.007894,0.929414,0.023638,0.368197,-215.098495,92.141113,84.219055
10,0.083333,0.007614,0.929546,0.023764,0.367861,-215.104202,92.143463,84.220131
11,0.091667,0.007299,0.929863,0.023937,0.367055,-215.110748,92.142906,84.221062
12,0.100000,0.004399,0.930159,0.024006,0.366345,-215.130310,92.166573,84.230385
13,0.108333,0.004002,0.930523,0.023939,0.365427,-215.136810,92.168114,84.227753
14,0.116667,0.003662,0.930572,0.023965,0.365304,-215.139816,92.169495,84.226440
15,0.125000,0.003485,0.930651,0.023971,0.365105,-215.141342,92.170341,84.228676
16,0.133333,0.003322,0.930672,0.024074,0.365047,-215.142731,92.170822,84.231575
17,0.141667,0.003142,0.930689,0.023998,0.365010,-215.146683,92.171730,84.233574
18,0.150000,0.004259,0.930870,0.024013,0.364536,-215.146805,92.161926,84.229401
19,0.158333,0.003311,0.930786,0.024190,0.364748,-215.165878,92.169075,84.236923
20,0.166667,0.002940,0.930757,0.024299,0.364819,-215.180618,92.170074,84.241028
21,0.175000,0.003941,0.930939,0.024547,0.364329,-215.181473,92.159645,84.235229
22,0.183333,0.004397,0.931014,0.024556,0.364129,-215.189026,92.152916,84.231606
23,0.191667,0.004231,0.931097,0.024720,0.363909,-215.198273,92.148384,84.232315
24,0.200000,0.004034,0.931069,0.024839,0.363974,-215.207336,92.146606,84.228935
25,0.208333,0.003861,0.931130,0.024909,0.363816,-215.217072,92.145935,84.230133
26,0.216667,0.003590,0.931146,0.025130,0.363763,-215.228622,92.145897,84.230942
27,0.225000,0.003148,0.931217,0.025353,0.363568,-215.237671,92.146194,84.233200
28,0.233333,0.003099,0.931198,0.025320,0.363620,-215.248245,92.147392,84.234039
29,0.241667,0.002944,0.931192,0.025229,0.363643,-215.257782,92.147568,84.236160
30,0.250000,0.002461,0.931157,0.025389,0.363726,-215.266922,92.147667,84.235153
31,0.258333,0.002230,0.931123,0.025458,0.363809,-215.275238,92.148842,84.235550
32,0.266667,0.001948,0.931094,0.025565,0.363877,-215.282440,92.147339,84.238190
33,0.275000,0.001684,0.931084,0.025695,0.363894,-215.287704,92.147049,84.239548
34,0.283333,0.001571,0.931061,0.025750,0.363951,-215.295273,92.147865,84.241524
35,0.291667,0.001443,0.931098,0.025845,0.363849,-215.303116,92.147652,84.241966
36,0.300000,0.001052,0.931036,0.025669,0.364022,-215.316254,92.144653,84.249512
37,0.308333,0.000638,0.930913,0.025392,0.364356,-215.322968,92.142334,84.255966
38,0.316667,-0.000050,0.930778,0.025074,0.364725,-215.331314,92.140320,84.259186
39,0.325000,-0.000514,0.930727,0.024878,0.364868,-215.342575,92.139641,84.262810
40,0.333333,-0.000787,0.930674,0.024932,0.364997,-215.355438,92.141289,84.263283
41,0.341667,-0.001058,0.930651,0.025121,0.365044,-215.369278,92.142654,84.262886
42,0.350000,-0.001349,0.930571,0.025519,0.365218,-215.381287,92.140709,84.263908
43,0.358333,-0.001646,0.930588,0.025717,0.365160,-215.391037,92.141487,84.261932
44,0.366667,-0.001754,0.930628,0.025794,0.365053,-215.401001,92.141304,84.262238
45,0.375000,-0.001863,0.930600,0.025875,0.365117,-215.409882,92.141602,84.260689
46,0.383333,-0.002040,0.930571,0.026113,0.365172,-215.420120,92.138947,84.261414
47,0.391667,-0.002702,0.930448,0.025860,0.365500,-215.433838,92.144539,84.263100
48,0.400000,-0.003219,0.930369,0.025805,0.365702,-215.445786,92.148460,84.268349
49,0.408333,-0.003191,0.930319,0.026171,0.365802,-215.450836,92.146912,84.280998
50,0.416667,-0.003772,0.930271,0.025612,0.365958,-215.463943,92.154564,84.281357
51,0.425000,-0.004068,0.930210,0.025685,0.366105,-215.474533,92.154900,84.280884
52,0.433333,-0.004207,0.930272,0.025943,0.365929,-215.485001,92.153290,84.281487
53,0.441667,-0.004048,0.930299,0.026218,0.365842,-215.492325,92.153122,84.281998
54,0.450000,-0.004135,0.930358,0.026358,0.365682,-215.496155,92.152580,84.282150
55,0.458333,-0.004073,0.930410,0.026451,0.365541,-215.496063,92.153114,84.280869
56,0.466667,-0.003876,0.930434,0.026445,0.365484,-215.491577,92.152893,84.280113
57,0.475000,-0.003650,0.930462,0.026390,0.365418,-215.486176,92.153130,84.280952
58,0.483333,-0.003622,0.930471,0.026277,0.365403,-215.483093,92.155113,84.279961
59,0.491667,-0.003591,0.930478,0.026104,0.365399,-215.483597,92.155548,84.282150
60,0.500000,-0.003808,0.930401,0.026096,0.365593,-215.486069,92.156708,84.281303
61,0.508333,-0.003756,0.930371,0.026153,0.365666,-215.486908,92.156723,84.283035
62,0.516667,-0.003843,0.930358,0.026085,0.365703,-215.487045,92.155838,84.282692
63,0.525000,-0.003773,0.930406,0.026200,0.365574,-215.486618,92.155174,84.281189
64,0.533333,-0.003729,0.930418,0.026339,0.365534,-215.485504,92.153244,84.280746
65,0.541667,-0.003637,0.930438,0.026297,0.365487,-215.484833,92.153458,84.280434
66,0.550000,-0.003538,0.930450,0.026279,0.365457,-215.486099,92.153481,84.280952
67,0.558333,-0.003689,0.930459,0.026189,0.365440,-215.489746,92.154091,84.280769
68,0.566667,-0.003798,0.930447,0.026272,0.365464,-215.493820,92.152718,84.282776
69,0.575000,-0.003890,0.930385,0.026253,0.365621,-215.499115,92.152695,84.282959
70,0.583333,-0.004033,0.930386,0.026390,0.365608,-215.502838,92.152557,84.282402
71,0.591667,-0.003923,0.930398,0.026308,0.365585,-215.506287,92.152443,84.281387
72,0.600000,-0.004427,0.930371,0.026366,0.365644,-215.510651,92.156754,84.284554
