Format Version,1.25,Take Name,Take 2025-11-27 03.58.33 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 03.58.34.495 PM,Capture Start Frame,2124293,Total Frames in Take,967,Total Exported Frames,967,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.006582,0.930713,0.019662,0.365162,-214.994308,92.165825,84.210754
1,0.008333,0.006448,0.930730,0.019734,0.365118,-214.995911,92.166229,84.212067
2,0.016667,0.006281,0.930708,0.019828,0.365172,-214.999725,92.166214,84.213524
3,0.025000,0.005878,0.930966,0.022411,0.364371,-215.016907,92.187050,84.209045
4,0.033333,0.005648,0.931078,0.022941,0.364055,-215.030334,92.190216,84.206490
5,0.041667,0.005413,0.931137,0.022583,0.363930,-215.041107,92.187622,84.208046
6,0.050000,0.005223,0.931199,0.022734,0.363764,-215.050034,92.186981,84.210480
7,0.058333,0.005051,0.931174,0.022824,0.363825,-215.060074,92.186714,84.212494
8,0.066667,0.004759,0.931194,0.022950,0.363770,-215.071320,92.186798,84.214882
9,0.075000,0.004417,0.931199,0.023310,0.363739,-215.083313,92.186394,84.215866
10,0.083333,0.004198,0.931227,0.023538,0.363654,-215.097473,92.187363,84.216789
11,0.091667,0.003896,0.931199,0.023721,0.363718,-215.109207,92.187035,84.217880
12,0.100000,0.003487,0.931223,0.023795,0.363657,-215.123199,92.187790,84.220291
13,0.108333,0.003223,0.931194,0.023994,0.363718,-215.134125,92.188408,84.220932
14,0.116667,0.004173,0.931334,0.024023,0.363348,-215.140060,92.178741,84.214630
15,0.125000,0.004605,0.931341,0.024157,0.363316,-215.150528,92.171265,84.212402
16,0.133333,0.004637,0.931446,0.024301,0.363038,-215.162231,92.167824,84.211815
17,0.141667,0.004697,0.931462,0.024436,0.362987,-215.171524,92.165665,84.214836
18,0.150000,0.004538,0.931520,0.024500,0.362834,-215.179031,92.165009,84.217049
19,0.158333,0.004260,0.931519,0.024639,0.362833,-215.189743,92.165115,84.218979
20,0.166667,0.003961,0.931543,0.024573,0.362778,-215.202209,92.165337,84.220039
21,0.175000,0.003660,0.931518,0.024737,0.362836,-215.213531,92.163780,84.223328
22,0.183333,0.003699,0.931508,0.024770,0.362856,-215.223770,92.164856,84.222450
23,0.191667,0.003330,0.931536,0.024767,0.362789,-215.230438,92.165283,84.222572
24,0.200000,0.002953,0.931602,0.024875,0.362616,-215.236572,92.164017,84.225616
25,0.208333,0.002881,0.931607,0.024893,0.362602,-215.244156,92.167130,84.224876
26,0.216667,0.002656,0.931632,0.024891,0.362539,-215.253067,92.165634,84.224663
27,0.225000,0.002735,0.931606,0.024780,0.362613,-215.262772,92.166031,84.223999
28,0.233333,0.002337,0.931617,0.025117,0.362564,-215.272354,92.165367,84.223183
29,0.241667,0.002259,0.931635,0.025115,0.362518,-215.282303,92.165222,84.223434
30,0.250000,0.001831,0.931694,0.025215,0.362363,-215.290710,92.165810,84.224144
31,0.258333,0.001790,0.931653,0.025207,0.362468,-215.301819,92.166687,84.224022
32,0.266667,0.001187,0.931698,0.025197,0.362357,-215.313690,92.165031,84.224899
33,0.275000,0.001084,0.931669,0.025361,0.362419,-215.326141,92.163963,84.222755
34,0.283333,0.000696,0.931756,0.025307,0.362201,-215.337402,92.162537,84.221886
35,0.291667,0.000623,0.931768,0.025171,0.362180,-215.347763,92.159683,84.219261
36,0.300000,0.000391,0.931830,0.025051,0.362028,-215.359741,92.157211,84.214928
37,0.308333,0.000286,0.931850,0.025126,0.361973,-215.371628,92.155518,84.225311
38,0.316667,-0.000117,0.931685,0.025278,0.362386,-215.377930,92.156487,84.231644
39,0.325000,-0.001196,0.931487,0.024695,0.362934,-215.385910,92.162903,84.231583
40,0.333333,-0.001666,0.931233,0.024433,0.363601,-215.397736,92.163193,84.231880
41,0.341667,-0.001900,0.931033,0.024589,0.364100,-215.406799,92.163277,84.238495
42,0.350000,-0.002471,0.930969,0.024513,0.364265,-215.416031,92.166069,84.243073
43,0.358333,-0.002878,0.930924,0.024901,0.364351,-215.427917,92.166908,84.245209
44,0.366667,-0.003419,0.930916,0.025304,0.364340,-215.439774,92.166969,84.244453
45,0.375000,-0.003743,0.930749,0.025916,0.364719,-215.458755,92.163795,84.249435
46,0.383333,-0.004379,0.930773,0.026032,0.364643,-215.471786,92.167038,84.248032
47,0.391667,-0.004607,0.930771,0.025963,0.364650,-215.486099,92.165939,84.248901
48,0.400000,-0.004905,0.930796,0.026093,0.364575,-215.499802,92.164764,84.247108
49,0.408333,-0.005190,0.930821,0.026305,0.364490,-215.512207,92.163124,84.245987
50,0.416667,-0.005251,0.930803,0.026547,0.364519,-215.523102,92.162659,84.244431
51,0.425000,-0.005435,0.930818,0.026794,0.364458,-215.534073,92.163391,84.240738
52,0.433333,-0.005721,0.930845,0.027065,0.364367,-215.543549,92.164246,84.240570
53,0.441667,-0.005881,0.930848,0.027312,0.364337,-215.551498,92.165039,84.240768
54,0.450000,-0.005994,0.930866,0.027412,0.364281,-215.560669,92.168434,84.240532
55,0.458333,-0.006068,0.930923,0.027401,0.364137,-215.569824,92.171127,84.241791
56,0.466667,-0.006446,0.930908,0.027396,0.364167,-215.581726,92.173859,84.247253
57,0.475000,-0.006605,0.930861,0.027420,0.364284,-215.593796,92.175934,84.248100
58,0.483333,-0.006983,0.930952,0.027374,0.364047,-215.603119,92.176941,84.247047
59,0.491667,-0.007159,0.930956,0.027517,0.364023,-215.609528,92.178284,84.244865
60,0.500000,-0.007209,0.931008,0.027713,0.363874,-215.612167,92.179176,84.243950
61,0.508333,-0.007071,0.930967,0.027933,0.363964,-215.608978,92.180069,84.240761
62,0.516667,-0.007072,0.930974,0.028169,0.363928,-215.603500,92.179474,84.241104
63,0.525000,-0.007003,0.931026,0.028173,0.363796,-215.598724,92.179085,84.242096
64,0.533333,-0.006670,0.930968,0.028002,0.363964,-215.596848,92.178711,84.242523
65,0.541667,-0.006730,0.931041,0.027822,0.363790,-215.598373,92.177155,84.248291
66,0.550000,-0.007772,0.931219,0.028131,0.363290,-215.594955,92.170212,84.256073
67,0.558333,-0.006894,0.931107,0.027300,0.363657,-215.596039,92.174843,84.253517
68,0.566667,-0.006781,0.931009,0.027048,0.363929,-215.596603,92.175934,84.252411
69,0.575000,-0.006913,0.930954,0.027068,0.364066,-215.594727,92.176483,84.251076
70,0.583333,-0.007012,0.930945,0.027042,0.364089,-215.594528,92.176407,84.249374
71,0.591667,-0.007031,0.930950,0.027175,0.364067,-215.594299,92.175858,84.248955
72,0.600000,-0.006930,0.930996,0.027142,0.363952,-215.596649,92.176407,84.248596
