Format Version,1.25,Take Name,Take 2025-11-27 03.29.49 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 03.29.50.455 PM,Capture Start Frame,1917413,Total Frames in Take,1551,Total Exported Frames,1551,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.003784,0.931182,0.024770,0.363692,-215.184372,92.152527,84.254814
1,0.008333,0.002732,0.931006,0.024861,0.364146,-215.197128,92.159409,84.260872
2,0.016667,0.003584,0.931201,0.024986,0.363632,-215.195374,92.148285,84.253281
3,0.025000,0.004207,0.931298,0.025098,0.363368,-215.202682,92.143013,84.246849
4,0.033333,0.004166,0.931300,0.025235,0.363354,-215.215302,92.139420,84.244743
5,0.041667,0.003881,0.931258,0.025247,0.363464,-215.228104,92.136581,84.246735
6,0.050000,0.003092,0.931297,0.025483,0.363356,-215.245316,92.138168,84.249138
7,0.058333,0.002455,0.931260,0.025582,0.363448,-215.261002,92.138527,84.254692
8,0.066667,0.002072,0.931237,0.025334,0.363528,-215.275864,92.135742,84.270638
9,0.075000,0.001650,0.931155,0.025022,0.363760,-215.281586,92.135201,84.281067
10,0.083333,0.001088,0.931070,0.024584,0.364011,-215.287949,92.137482,84.284447
11,0.091667,0.000737,0.931019,0.024545,0.364142,-215.293549,92.136497,84.289330
12,0.100000,0.000407,0.930991,0.024545,0.364217,-215.299393,92.138046,84.290581
13,0.108333,0.000386,0.930977,0.024647,0.364246,-215.304062,92.138336,84.290977
14,0.116667,0.000241,0.931008,0.024859,0.364152,-215.308975,92.137840,84.290871
15,0.125000,0.000112,0.931019,0.025150,0.364103,-215.316101,92.137207,84.289528
16,0.133333,-0.000075,0.931030,0.025207,0.364072,-215.326431,92.137352,84.288597
17,0.141667,-0.000432,0.930978,0.025512,0.364184,-215.337204,92.136093,84.288261
18,0.150000,-0.000705,0.930950,0.025665,0.364242,-215.349838,92.136589,84.288338
19,0.158333,-0.001079,0.930858,0.025849,0.364464,-215.361664,92.136818,84.289764
20,0.166667,-0.001438,0.930838,0.026010,0.364502,-215.372421,92.137451,84.290436
21,0.175000,-0.001927,0.930788,0.026061,0.364624,-215.384003,92.139137,84.290100
22,0.183333,-0.002344,0.930716,0.026175,0.364798,-215.395935,92.139915,84.289261
23,0.191667,-0.002531,0.930528,0.026388,0.365260,-215.405136,92.138306,84.300957
24,0.200000,-0.003001,0.930435,0.026355,0.365495,-215.414978,92.141289,84.308723
25,0.208333,-0.003303,0.930387,0.026180,0.365627,-215.427872,92.144478,84.311874
26,0.216667,-0.003316,0.930356,0.026518,0.365681,-215.440369,92.146400,84.314362
27,0.225000,-0.004175,0.930380,0.026269,0.365631,-215.457962,92.153999,84.309479
28,0.233333,-0.004693,0.930311,0.026280,0.365798,-215.476089,92.159676,84.309128
29,0.241667,-0.005379,0.930450,0.026881,0.365391,-215.484695,92.159355,84.314117
30,0.250000,-0.005287,0.930393,0.026900,0.365538,-215.493607,92.163834,84.314415
31,0.258333,-0.006033,0.930465,0.027132,0.365325,-215.500519,92.165001,84.319427
32,0.266667,-0.006622,0.930434,0.027378,0.365374,-215.507202,92.163849,84.322998
33,0.275000,-0.007030,0.930375,0.027632,0.365500,-215.513748,92.163696,84.322472
34,0.283333,-0.007250,0.930355,0.027611,0.365548,-215.520142,92.163338,84.322723
35,0.291667,-0.007141,0.930315,0.027545,0.365657,-215.523575,92.162857,84.321663
36,0.300000,-0.007015,0.930350,0.027481,0.365575,-215.522079,92.161461,84.319016
37,0.308333,-0.006744,0.930392,0.027461,0.365475,-215.517609,92.157852,84.316872
38,0.316667,-0.006456,0.930445,0.027240,0.365362,-215.514023,92.156425,84.313194
39,0.325000,-0.006302,0.930439,0.027136,0.365386,-215.512512,92.155945,84.310844
40,0.333333,-0.006365,0.930433,0.027338,0.365385,-215.514893,92.156700,84.309593
41,0.341667,-0.006280,0.930464,0.027388,0.365304,-215.518280,92.157127,84.308884
42,0.350000,-0.006491,0.930432,0.027401,0.365381,-215.522842,92.157433,84.306595
43,0.358333,-0.006817,0.930435,0.027424,0.365366,-215.527100,92.158630,84.306183
44,0.366667,-0.006912,0.930443,0.027409,0.365345,-215.527985,92.158546,84.306419
45,0.375000,-0.006707,0.930464,0.027516,0.365286,-215.524719,92.157951,84.306473
46,0.383333,-0.006430,0.930500,0.027550,0.365199,-215.524155,92.157799,84.307259
47,0.391667,-0.006307,0.930524,0.027482,0.365143,-215.523880,92.157326,84.308868
48,0.400000,-0.006511,0.930518,0.027589,0.365148,-215.527313,92.156570,84.312614
49,0.408333,-0.006745,0.930436,0.027561,0.365355,-215.529388,92.156273,84.314003
50,0.416667,-0.006857,0.930425,0.027624,0.365374,-215.532547,92.156731,84.314919
51,0.425000,-0.007006,0.930351,0.027810,0.365548,-215.536118,92.156456,84.314934
52,0.433333,-0.006800,0.930386,0.027724,0.365469,-215.538315,92.156189,84.317436
53,0.441667,-0.006780,0.930417,0.027640,0.365396,-215.537949,92.156158,84.316978
54,0.450000,-0.006719,0.930452,0.027631,0.365310,-215.537399,92.156410,84.316963
55,0.458333,-0.006583,0.930455,0.027631,0.365304,-215.535767,92.156082,84.317200
56,0.466667,-0.006564,0.930470,0.027488,0.365278,-215.536209,92.157387,84.318527
57,0.475000,-0.006649,0.930470,0.027520,0.365272,-215.536026,92.157349,84.317192
58,0.483333,-0.006754,0.930475,0.027526,0.365259,-215.536194,92.157074,84.316322
59,0.491667,-0.006877,0.930442,0.027579,0.365334,-215.538330,92.157227,84.313469
60,0.500000,-0.006848,0.930461,0.027572,0.365287,-215.538910,92.156799,84.312752
61,0.508333,-0.006826,0.930460,0.027604,0.365289,-215.540955,92.157455,84.310165
62,0.516667,-0.006933,0.930455,0.027725,0.365290,-215.544098,92.157112,84.308281
63,0.525000,-0.007204,0.930506,0.027830,0.365146,-215.550537,92.159698,84.303421
64,0.533333,-0.007258,0.930500,0.027945,0.365151,-215.552994,92.158325,84.304176
65,0.541667,-0.007378,0.930496,0.027958,0.365159,-215.557404,92.157936,84.298859
66,0.550000,-0.007163,0.930503,0.027941,0.365147,-215.561127,92.156456,84.298271
67,0.558333,-0.006894,0.930508,0.028060,0.365130,-215.559525,92.153160,84.302429
68,0.566667,-0.006855,0.930515,0.028071,0.365112,-215.556305,92.154305,84.305008
69,0.575000,-0.006852,0.930517,0.028101,0.365104,-215.552902,92.155197,84.307808
70,0.583333,-0.006939,0.930499,0.028042,0.365153,-215.549820,92.156265,84.310890
71,0.591667,-0.006927,0.930506,0.027952,0.365144,-215.548706,92.157150,84.313148
72,0.600000,-0.007039,0.930470,0.027888,0.365238,-215.547211,92.156944,84.315163
