Format Version,1.25,Take Name,Take 2025-11-27 02.49.29 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 02.49.29.711 PM,Capture Start Frame,1626931,Total Frames in Take,1090,Total Exported Frames,1090,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.003118,0.023901,-0.001968,0.999708,-215.606216,90.128166,84.296425
1,0.008333,0.003192,0.023811,-0.001506,0.999710,-215.614609,90.127983,84.295029
2,0.016667,0.003277,0.023778,-0.001216,0.999711,-215.623444,90.126595,84.293541
3,0.025000,0.003312,0.023633,-0.001039,0.999715,-215.630646,90.126350,84.292854
4,0.033333,0.003336,0.023572,-0.000762,0.999716,-215.638687,90.126022,84.293449
5,0.041667,0.003407,0.023435,-0.000529,0.999719,-215.645004,90.127167,84.293587
6,0.050000,0.003288,0.023336,-0.000253,0.999722,-215.654129,90.127525,84.293129
7,0.058333,0.003264,0.023142,0.000009,0.999727,-215.663025,90.127930,84.292725
8,0.066667,0.003179,0.023114,0.000392,0.999728,-215.674332,90.129646,84.292938
9,0.075000,0.003159,0.023040,0.000691,0.999729,-215.685272,90.132294,84.292648
10,0.083333,0.003147,0.023127,0.000953,0.999727,-215.696259,90.133545,84.290787
11,0.091667,0.003034,0.023142,0.001260,0.999727,-215.707825,90.134666,84.288429
12,0.100000,0.002959,0.023166,0.001608,0.999726,-215.718872,90.135040,84.286087
13,0.108333,0.002979,0.023124,0.001750,0.999727,-215.728210,90.134727,84.283302
14,0.116667,0.002950,0.023145,0.001850,0.999726,-215.738586,90.135284,84.281525
15,0.125000,0.002860,0.023141,0.002181,0.999726,-215.746994,90.133743,84.279808
16,0.133333,0.002712,0.023111,0.002546,0.999726,-215.756195,90.133995,84.282425
17,0.141667,0.002862,0.023126,0.002705,0.999725,-215.764801,90.133308,84.281906
18,0.150000,0.002897,0.023098,0.002836,0.999725,-215.775131,90.132881,84.282043
19,0.158333,0.001928,0.022809,0.003493,0.999732,-215.790222,90.140892,84.282745
