Format Version,1.25,Take Name,Take 2025-11-27 03.08.17 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 03.08.18.252 PM,Capture Start Frame,1762353,Total Frames in Take,865,Total Exported Frames,865,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.000807,0.024921,-0.001297,0.999688,-215.570923,90.138695,84.424835
1,0.008333,0.001395,0.024586,-0.001551,0.999696,-215.586227,90.141144,84.410942
2,0.016667,0.001391,0.024565,-0.000155,0.999697,-215.598465,90.129295,84.410515
3,0.025000,0.001785,0.024470,0.000707,0.999699,-215.610046,90.125748,84.410522
4,0.033333,0.001978,0.024470,0.000935,0.999698,-215.619522,90.126335,84.411148
5,0.041667,0.001846,0.024425,0.001232,0.999699,-215.630173,90.128777,84.410591
6,0.050000,0.001776,0.024530,0.001549,0.999696,-215.637619,90.128418,84.411835
7,0.058333,0.001927,0.024435,0.001614,0.999698,-215.644714,90.129028,84.410385
8,0.066667,0.001910,0.024373,0.001912,0.999699,-215.650558,90.127960,84.410942
9,0.075000,0.001909,0.024383,0.002092,0.999699,-215.657898,90.128967,84.412796
10,0.083333,0.001816,0.024296,0.002303,0.999701,-215.664963,90.129501,84.412292
11,0.091667,0.001864,0.024302,0.002429,0.999700,-215.675354,90.129433,84.413200
12,0.100000,0.001688,0.024317,0.002995,0.999698,-215.685791,90.129051,84.415520
13,0.108333,0.001006,0.024170,0.003574,0.999701,-215.700577,90.137115,84.417267
14,0.116667,0.000652,0.024184,0.004160,0.999699,-215.712921,90.141472,84.415955
15,0.125000,0.000295,0.024274,0.004420,0.999696,-215.724731,90.145264,84.415855
16,0.133333,0.000007,0.024256,0.004788,0.999694,-215.734238,90.146507,84.417030
17,0.141667,-0.000011,0.024293,0.005148,0.999692,-215.744736,90.148232,84.417442
18,0.150000,0.000148,0.024355,0.005311,0.999689,-215.752991,90.149361,84.419159
19,0.158333,0.000924,0.024579,0.005195,0.999684,-215.759277,90.142212,84.419937
