Format Version,1.25,Take Name,Take 2025-11-27 02.29.23 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 02.29.23.862 PM,Capture Start Frame,1482232,Total Frames in Take,1131,Total Exported Frames,1131,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.003637,0.023112,-0.000871,0.999726,-215.654892,90.123177,84.294762
1,0.008333,0.003469,0.022994,-0.000477,0.999730,-215.667297,90.125076,84.298859
2,0.016667,0.003265,0.022910,-0.000138,0.999732,-215.677261,90.125694,84.300354
3,0.025000,0.003163,0.022894,0.000098,0.999733,-215.687851,90.128471,84.304306
4,0.033333,0.003100,0.022871,0.000246,0.999734,-215.696503,90.130302,84.309219
5,0.041667,0.003060,0.022874,0.000526,0.999734,-215.704208,90.129265,84.311066
6,0.050000,0.003155,0.022746,0.000634,0.999736,-215.711945,90.131607,84.310638
7,0.058333,0.003089,0.022818,0.000891,0.999735,-215.719894,90.131897,84.308388
8,0.066667,0.003013,0.022935,0.001137,0.999732,-215.728622,90.131966,84.305740
9,0.075000,0.002909,0.023063,0.001284,0.999729,-215.738419,90.132652,84.300865
10,0.083333,0.002897,0.023047,0.001563,0.999729,-215.750763,90.133644,84.292892
11,0.091667,0.002956,0.023133,0.002023,0.999726,-215.766693,90.132812,84.288498
12,0.100000,0.001822,0.022785,0.002768,0.999735,-215.783279,90.140739,84.284401
13,0.108333,0.001638,0.022691,0.003137,0.999736,-215.795822,90.144211,84.279915
14,0.116667,0.001735,0.022741,0.003488,0.999734,-215.804871,90.143929,84.275299
15,0.125000,0.001538,0.022654,0.003851,0.999735,-215.813629,90.145302,84.274002
16,0.133333,0.001568,0.022687,0.003905,0.999734,-215.819931,90.145622,84.274887
17,0.141667,0.001477,0.022635,0.004108,0.999734,-215.826797,90.146431,84.276054
18,0.150000,0.000742,0.023162,0.005427,0.999717,-215.833115,90.140678,84.288231
19,0.158333,0.000430,0.023351,0.005835,0.999710,-215.843079,90.142235,84.293991
