Format Version,1.25,Take Name,Take 2025-11-27 01.01.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 01.01.40.147 PM,Capture Start Frame,850601,Total Frames in Take,1139,Total Exported Frames,1139,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.000498,0.672750,-0.003903,0.739859,-216.743286,84.295807,87.329468
1,0.008333,-0.000522,0.672899,-0.004113,0.739723,-216.743515,84.297066,87.331291
2,0.016667,-0.000391,0.672945,-0.004528,0.739678,-216.738510,84.300247,87.328636
3,0.025000,-0.000114,0.672979,-0.004650,0.739647,-216.733368,84.301849,87.328918
4,0.033333,0.000267,0.673048,-0.004541,0.739584,-216.728561,84.303841,87.328773
5,0.041667,0.000465,0.673052,-0.004570,0.739581,-216.726395,84.304092,87.327972
6,0.050000,0.000566,0.673120,-0.004687,0.739518,-216.725189,84.304382,87.328979
7,0.058333,0.000607,0.673207,-0.004842,0.739438,-216.720886,84.306190,87.328026
8,0.066667,0.000487,0.673306,-0.005196,0.739346,-216.714127,84.310013,87.329849
9,0.075000,0.000703,0.673262,-0.005578,0.739383,-216.709015,84.312645,87.328835
10,0.083333,0.000687,0.673303,-0.005774,0.739343,-216.703705,84.311752,87.328835
11,0.091667,0.000792,0.673252,-0.006118,0.739388,-216.697189,84.311943,87.328583
12,0.100000,0.000608,0.673370,-0.006418,0.739278,-216.689133,84.316460,87.327126
13,0.108333,0.001186,0.673692,-0.006380,0.738984,-216.684311,84.321060,87.331810
14,0.116667,0.001341,0.673616,-0.006658,0.739050,-216.678116,84.321175,87.328285
15,0.125000,0.001058,0.673631,-0.007094,0.739033,-216.673691,84.321007,87.327347
16,0.133333,0.000718,0.673562,-0.007579,0.739091,-216.668884,84.321442,87.327698
17,0.141667,0.001169,0.673867,-0.007629,0.738812,-216.664963,84.323204,87.329521
18,0.150000,0.001737,0.673960,-0.007518,0.738727,-216.660934,84.325424,87.329575
19,0.158333,0.001582,0.673865,-0.007513,0.738815,-216.656921,84.324585,87.325066
20,0.166667,0.001823,0.674021,-0.007685,0.738670,-216.651581,84.327087,87.325958
21,0.175000,0.001920,0.673983,-0.008109,0.738700,-216.646744,84.329430,87.325600
22,0.183333,0.002179,0.674072,-0.008273,0.738616,-216.642166,84.332848,87.325287
23,0.191667,0.002485,0.674157,-0.008161,0.738539,-216.640518,84.334633,87.327232
24,0.200000,0.002531,0.674176,-0.007986,0.738523,-216.640060,84.333466,87.324539
25,0.208333,0.002281,0.674008,-0.008123,0.738676,-216.641998,84.331909,87.325211
26,0.216667,0.002181,0.674162,-0.008182,0.738535,-216.641968,84.331467,87.325623
27,0.225000,0.002064,0.674098,-0.008119,0.738594,-216.643112,84.329750,87.325058
28,0.233333,0.002063,0.674042,-0.008053,0.738646,-216.643494,84.329185,87.324600
29,0.241667,0.002111,0.674058,-0.008059,0.738631,-216.643494,84.329216,87.324181
30,0.250000,0.001998,0.674119,-0.008153,0.738575,-216.643661,84.328896,87.325996
31,0.258333,0.001827,0.674014,-0.008210,0.738671,-216.644623,84.328903,87.327087
32,0.266667,0.001904,0.674036,-0.008268,0.738650,-216.645309,84.328049,87.325790
33,0.275000,0.001929,0.674139,-0.007816,0.738560,-216.648529,84.328461,87.326233
34,0.283333,0.002103,0.674077,-0.007470,0.738620,-216.650299,84.328407,87.324104
35,0.291667,0.001967,0.674022,-0.007711,0.738668,-216.653961,84.326965,87.325562
36,0.300000,0.001402,0.673898,-0.007877,0.738782,-216.656998,84.324509,87.321480
37,0.308333,0.001362,0.673918,-0.007803,0.738763,-216.658997,84.325066,87.323318
38,0.316667,0.001416,0.673978,-0.007760,0.738709,-216.661163,84.327660,87.322960
