Format Version,1.25,Take Name,Take 2025-11-27 01.27.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 01.27.02.600 PM,Capture Start Frame,1033291,Total Frames in Take,896,Total Exported Frames,896,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.015286,0.670304,0.015769,0.741762,-217.260269,84.279976,87.395462
1,0.008333,-0.015266,0.670293,0.016012,0.741766,-217.263626,84.280571,87.396034
2,0.016667,-0.015126,0.670392,0.016298,0.741674,-217.266129,84.281746,87.397705
3,0.025000,-0.015434,0.670277,0.016379,0.741770,-217.266922,84.280869,87.396469
4,0.033333,-0.015483,0.670354,0.016277,0.741702,-217.267853,84.279655,87.396935
5,0.041667,-0.015608,0.670285,0.016027,0.741767,-217.267792,84.278641,87.396393
6,0.050000,-0.015445,0.670282,0.015957,0.741775,-217.266663,84.279213,87.397339
7,0.058333,-0.015314,0.670317,0.015953,0.741746,-217.266769,84.280243,87.397484
8,0.066667,-0.015460,0.670317,0.015966,0.741742,-217.264893,84.278969,87.397041
9,0.075000,-0.015316,0.670290,0.016274,0.741763,-217.265396,84.279495,87.398354
10,0.083333,-0.015328,0.670409,0.016245,0.741655,-217.264008,84.278793,87.395042
11,0.091667,-0.015496,0.670381,0.016059,0.741681,-217.263367,84.276840,87.394539
12,0.100000,-0.015227,0.670538,0.016178,0.741543,-217.265015,84.278542,87.394173
13,0.108333,-0.015342,0.670446,0.015921,0.741628,-217.263550,84.278671,87.393143
14,0.116667,-0.015381,0.670442,0.016088,0.741628,-217.265244,84.278893,87.395752
15,0.125000,-0.015423,0.670395,0.015963,0.741672,-217.262848,84.280510,87.393951
16,0.133333,-0.015583,0.670335,0.015577,0.741731,-217.262222,84.280128,87.395111
17,0.141667,-0.015724,0.670353,0.015368,0.741716,-217.261963,84.281395,87.394806
18,0.150000,-0.015884,0.670328,0.015337,0.741736,-217.259476,84.280449,87.397278
19,0.158333,-0.015521,0.670440,0.015512,0.741639,-217.259888,84.283012,87.397820
20,0.166667,-0.015364,0.670475,0.015570,0.741610,-217.258698,84.281242,87.397919
21,0.175000,-0.015225,0.670428,0.015538,0.741655,-217.258972,84.280380,87.399689
22,0.183333,-0.015311,0.670418,0.015716,0.741659,-217.259216,84.280006,87.398232
23,0.191667,-0.015309,0.670495,0.015891,0.741586,-217.261505,84.280746,87.398605
24,0.200000,-0.015324,0.670499,0.016182,0.741576,-217.263458,84.280945,87.400101
25,0.208333,-0.015366,0.670431,0.016257,0.741635,-217.264511,84.280617,87.398186
26,0.216667,-0.015390,0.670572,0.016125,0.741509,-217.266220,84.281647,87.398872
27,0.225000,-0.015705,0.670500,0.016058,0.741570,-217.266724,84.280777,87.396225
28,0.233333,-0.015839,0.670496,0.016119,0.741569,-217.267197,84.280602,87.397064
29,0.241667,-0.015961,0.670516,0.016004,0.741551,-217.267944,84.280289,87.395790
30,0.250000,-0.015772,0.670546,0.016060,0.741526,-217.268890,84.280418,87.394218
31,0.258333,-0.015532,0.670565,0.016136,0.741512,-217.268967,84.280434,87.394814
32,0.266667,-0.015670,0.670509,0.016042,0.741563,-217.268707,84.278938,87.393608
33,0.275000,-0.015660,0.670570,0.015975,0.741509,-217.268829,84.278526,87.394730
34,0.283333,-0.015721,0.670508,0.016077,0.741562,-217.268555,84.277832,87.394020
35,0.291667,-0.015907,0.670518,0.016060,0.741549,-217.268875,84.276970,87.394806
36,0.300000,-0.015833,0.670508,0.016057,0.741559,-217.269547,84.277504,87.395363
37,0.308333,-0.015807,0.670532,0.016046,0.741539,-217.269394,84.277901,87.393906
38,0.316667,-0.015778,0.670509,0.016009,0.741561,-217.270538,84.277794,87.397324
