Format Version,1.25,Take Name,Take 2025-11-27 11.57.15 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 11.57.16.494 AM,Capture Start Frame,386974,Total Frames in Take,1156,Total Exported Frames,1156,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001019,0.672750,-0.007442,0.739832,-216.674301,84.320747,87.267509
1,0.008333,0.001021,0.673093,-0.007502,0.739519,-216.670959,84.319572,87.269440
2,0.016667,0.001097,0.673759,-0.007672,0.738910,-216.666916,84.322800,87.272392
3,0.025000,0.000959,0.673826,-0.007706,0.738849,-216.666077,84.322563,87.273361
4,0.033333,0.001257,0.673840,-0.007355,0.738839,-216.667801,84.323730,87.272118
5,0.041667,0.001572,0.673961,-0.007316,0.738729,-216.668869,84.324760,87.275879
6,0.050000,0.001644,0.673978,-0.007501,0.738712,-216.669769,84.325050,87.276894
7,0.058333,0.000972,0.673828,-0.007592,0.738848,-216.671844,84.321716,87.274078
8,0.066667,0.000609,0.673807,-0.007479,0.738869,-216.674637,84.319672,87.274109
9,0.075000,0.000431,0.673720,-0.007487,0.738949,-216.675186,84.319710,87.273941
10,0.083333,0.000760,0.673692,-0.007186,0.738977,-216.677994,84.320114,87.274452
11,0.091667,0.000942,0.673751,-0.007182,0.738923,-216.678497,84.320320,87.275291
12,0.100000,0.000802,0.673788,-0.006984,0.738891,-216.681808,84.318413,87.276009
13,0.108333,0.000394,0.673710,-0.007226,0.738961,-216.680740,84.317055,87.273911
14,0.116667,0.001014,0.673900,-0.006857,0.738790,-216.683243,84.320290,87.277603
15,0.125000,0.000927,0.673742,-0.006590,0.738937,-216.683411,84.319321,87.274086
16,0.133333,0.000614,0.673763,-0.006663,0.738917,-216.684814,84.316734,87.274826
17,0.141667,0.000555,0.673761,-0.006553,0.738920,-216.684906,84.316101,87.273872
18,0.150000,0.000446,0.673748,-0.006632,0.738931,-216.686432,84.315125,87.274361
19,0.158333,0.000351,0.673767,-0.006522,0.738915,-216.689514,84.313240,87.272926
20,0.166667,0.000453,0.673839,-0.006461,0.738850,-216.690643,84.313156,87.272774
21,0.175000,0.000252,0.673787,-0.006468,0.738897,-216.694046,84.313728,87.273956
22,0.183333,0.000393,0.673598,-0.006531,0.739069,-216.694397,84.314140,87.272552
23,0.191667,0.000455,0.673743,-0.006265,0.738939,-216.699097,84.313599,87.272842
24,0.200000,0.000209,0.673759,-0.006284,0.738925,-216.700317,84.313896,87.272781
25,0.208333,0.000348,0.673681,-0.006069,0.738997,-216.702133,84.312805,87.273987
26,0.216667,0.000295,0.673557,-0.006140,0.739110,-216.701340,84.312241,87.273399
27,0.225000,0.000316,0.673679,-0.005893,0.739001,-216.701767,84.312286,87.273766
28,0.233333,0.000317,0.673627,-0.005822,0.739048,-216.701431,84.312714,87.273926
29,0.241667,0.000175,0.673629,-0.005997,0.739045,-216.701431,84.312653,87.275269
30,0.250000,0.000186,0.673615,-0.006100,0.739058,-216.701172,84.313217,87.275047
31,0.258333,0.000053,0.673684,-0.006037,0.738995,-216.703979,84.312599,87.275681
32,0.266667,-0.000009,0.673744,-0.005917,0.738941,-216.704895,84.312279,87.274048
33,0.275000,0.000098,0.673702,-0.005654,0.738981,-216.706421,84.310776,87.274078
34,0.283333,0.000256,0.673735,-0.005470,0.738953,-216.705872,84.311508,87.272522
35,0.291667,0.000191,0.673771,-0.005563,0.738920,-216.706635,84.312187,87.273270
36,0.300000,-0.000195,0.673690,-0.005871,0.738991,-216.706711,84.313141,87.273499
37,0.308333,-0.000271,0.673694,-0.005870,0.738987,-216.706604,84.313232,87.272736
38,0.316667,-0.000258,0.673690,-0.005752,0.738992,-216.707260,84.312752,87.275223
