Format Version,1.25,Take Name,Take 2025-11-27 12.01.12 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 12.01.12.832 PM,Capture Start Frame,415334,Total Frames in Take,1119,Total Exported Frames,1119,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.002676,0.672009,-0.007148,0.740504,-216.681458,84.415344,87.262497
1,0.008333,0.002743,0.672128,-0.007194,0.740395,-216.679291,84.415596,87.262573
2,0.016667,0.004056,0.673066,-0.007614,0.739532,-216.678436,84.423241,87.268105
3,0.025000,0.004376,0.673615,-0.007584,0.739030,-216.673691,84.425896,87.269386
4,0.033333,0.005176,0.674692,-0.007664,0.738042,-216.663544,84.429893,87.274864
5,0.041667,0.004843,0.674974,-0.007333,0.737789,-216.662811,84.432396,87.277199
6,0.050000,0.004458,0.675064,-0.006996,0.737713,-216.664917,84.429321,87.276321
7,0.058333,0.004191,0.675138,-0.006916,0.737647,-216.668274,84.428795,87.276932
8,0.066667,0.002860,0.674764,-0.006708,0.737998,-216.668396,84.419640,87.274071
9,0.075000,0.003424,0.675138,-0.006876,0.737651,-216.671967,84.421974,87.278900
10,0.083333,0.004009,0.675223,-0.006806,0.737572,-216.674179,84.421753,87.280205
11,0.091667,0.003709,0.675055,-0.007180,0.737724,-216.673691,84.423485,87.280106
12,0.100000,0.003769,0.674923,-0.007030,0.737845,-216.673492,84.421074,87.277733
13,0.108333,0.003995,0.674951,-0.006813,0.737820,-216.674896,84.421906,87.276436
14,0.116667,0.004070,0.674968,-0.006876,0.737803,-216.675949,84.422440,87.275299
15,0.125000,0.003912,0.674954,-0.006832,0.737818,-216.677673,84.423752,87.275223
16,0.133333,0.003954,0.674920,-0.006608,0.737850,-216.679932,84.423637,87.275833
17,0.141667,0.003759,0.674913,-0.006697,0.737857,-216.680069,84.422447,87.276550
18,0.150000,0.002359,0.674612,-0.006503,0.738140,-216.680725,84.414337,87.274971
19,0.158333,0.003187,0.675244,-0.006708,0.737557,-216.685532,84.419815,87.282661
20,0.166667,0.001920,0.674933,-0.006653,0.737846,-216.686554,84.411926,87.281456
21,0.175000,0.001624,0.674845,-0.006572,0.737928,-216.687805,84.408279,87.280205
22,0.183333,0.001640,0.674743,-0.006516,0.738022,-216.691132,84.409042,87.281395
23,0.191667,0.001811,0.674715,-0.006394,0.738048,-216.692596,84.408684,87.280457
24,0.200000,0.001606,0.674662,-0.006432,0.738097,-216.695190,84.409973,87.280800
25,0.208333,0.001290,0.674609,-0.006268,0.738148,-216.696136,84.408188,87.279449
26,0.216667,0.001458,0.674714,-0.006019,0.738053,-216.697876,84.408340,87.279785
27,0.225000,0.002492,0.675039,-0.006187,0.737752,-216.701126,84.414597,87.282593
28,0.233333,0.002871,0.674960,-0.006053,0.737824,-216.701889,84.416428,87.281296
29,0.241667,0.002001,0.674534,-0.005711,0.738219,-216.700333,84.410522,87.276352
30,0.250000,0.001615,0.674518,-0.005869,0.738233,-216.700867,84.408340,87.276634
31,0.258333,0.001551,0.674653,-0.005807,0.738110,-216.701126,84.407249,87.277870
32,0.266667,0.001513,0.674694,-0.005767,0.738074,-216.700317,84.407028,87.278053
33,0.275000,0.001506,0.674688,-0.005875,0.738079,-216.700272,84.407059,87.278732
34,0.283333,0.001360,0.674576,-0.006040,0.738180,-216.700287,84.406364,87.279495
35,0.291667,0.001311,0.674554,-0.006192,0.738199,-216.700699,84.407372,87.279869
36,0.300000,0.001419,0.674551,-0.005957,0.738203,-216.700439,84.405716,87.279396
37,0.308333,0.001509,0.674559,-0.005877,0.738196,-216.701767,84.406677,87.279854
38,0.316667,0.001621,0.674542,-0.005695,0.738213,-216.702682,84.405396,87.279572
