Format Version,1.25,Take Name,Take Group3_WS25 2025-11-27 11.37.12_000,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 11.37.40.633 AM,Capture Start Frame,245873,Total Frames in Take,1261,Total Exported Frames,1261,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001021,0.672203,0.002304,0.740363,-216.833664,84.340340,87.332634
1,0.008333,0.001077,0.672248,0.002168,0.740322,-216.834732,84.343216,87.332932
2,0.016667,0.001341,0.672262,0.002226,0.740309,-216.834000,84.342102,87.331825
3,0.025000,0.001336,0.672205,0.002401,0.740360,-216.833847,84.342651,87.331726
4,0.033333,0.001124,0.672199,0.002270,0.740366,-216.833496,84.341675,87.331322
5,0.041667,0.000991,0.672162,0.002261,0.740400,-216.832809,84.341835,87.331352
6,0.050000,0.001198,0.672177,0.002185,0.740386,-216.832565,84.341988,87.331596
7,0.058333,0.001142,0.672142,0.002200,0.740418,-216.832443,84.342209,87.331932
8,0.066667,0.001120,0.672169,0.002196,0.740394,-216.832809,84.343430,87.332901
9,0.075000,0.001006,0.672130,0.002690,0.740428,-216.832306,84.346756,87.333183
10,0.083333,0.001164,0.672280,0.002487,0.740291,-216.831757,84.345879,87.332703
11,0.091667,0.001123,0.672252,0.002514,0.740318,-216.831039,84.342743,87.332130
12,0.100000,0.001169,0.672162,0.002452,0.740400,-216.832321,84.341255,87.333092
13,0.108333,0.001202,0.672153,0.002196,0.740408,-216.833252,84.341728,87.334373
14,0.116667,0.001151,0.672150,0.001896,0.740411,-216.833740,84.342453,87.334976
15,0.125000,0.001183,0.672136,0.002088,0.740424,-216.833710,84.339439,87.334412
16,0.133333,0.001041,0.672176,0.002033,0.740388,-216.834854,84.341087,87.334702
17,0.141667,0.001131,0.672200,0.002169,0.740365,-216.834641,84.340088,87.334106
18,0.150000,0.001424,0.672308,0.002285,0.740267,-216.835373,84.341362,87.334328
19,0.158333,0.001187,0.672274,0.002298,0.740298,-216.835205,84.340904,87.334160
20,0.166667,0.001099,0.672289,0.002417,0.740284,-216.835648,84.340576,87.334572
21,0.175000,0.000867,0.672272,0.002195,0.740301,-216.835236,84.342041,87.334099
22,0.183333,0.001116,0.672308,0.002946,0.740265,-216.834595,84.345474,87.333221
23,0.191667,0.001183,0.672394,0.002507,0.740188,-216.832657,84.344742,87.330856
24,0.200000,0.001379,0.672415,0.002466,0.740169,-216.832520,84.345367,87.331680
25,0.208333,0.001221,0.672216,0.002610,0.740349,-216.830307,84.342865,87.329987
26,0.216667,0.001387,0.672199,0.002549,0.740365,-216.829849,84.343422,87.330383
27,0.225000,0.001552,0.672189,0.002257,0.740375,-216.829330,84.342125,87.330940
28,0.233333,0.001198,0.672092,0.002098,0.740464,-216.829376,84.341980,87.331398
29,0.241667,0.001156,0.672075,0.001923,0.740480,-216.829712,84.343201,87.332100
30,0.250000,0.001150,0.672068,0.002551,0.740484,-216.830017,84.344391,87.331375
31,0.258333,0.001390,0.672256,0.002845,0.740312,-216.830917,84.348854,87.328705
32,0.266667,0.001181,0.672330,0.002276,0.740247,-216.829636,84.347176,87.324814
33,0.275000,0.000998,0.672257,0.002019,0.740314,-216.828186,84.347878,87.322601
34,0.283333,0.000977,0.672261,0.001530,0.740312,-216.826111,84.348282,87.319977
35,0.291667,0.000807,0.672246,0.001109,0.740327,-216.824387,84.350685,87.318237
36,0.300000,0.000895,0.672219,0.000817,0.740351,-216.820862,84.350380,87.315285
37,0.308333,0.001071,0.672161,0.000665,0.740404,-216.817352,84.352066,87.311867
38,0.316667,0.000988,0.672169,0.000065,0.740398,-216.811996,84.353577,87.308189
39,0.325000,0.000741,0.672155,-0.000307,0.740410,-216.806198,84.355965,87.302589
