Format Version,1.25,Take Name,G4 LL Take 2025-11-28_00,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 02.02.17.492 PM,Capture Start Frame,1125495,Total Frames in Take,1548,Total Exported Frames,1548,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.006853,0.400930,0.009462,0.916034,-216.141220,92.217857,84.115669
1,0.008333,-0.006915,0.400853,0.009470,0.916068,-216.142441,92.219421,84.116272
2,0.016667,-0.007122,0.400853,0.009379,0.916067,-216.142746,92.219635,84.114044
3,0.025000,-0.006885,0.400903,0.009561,0.916045,-216.142563,92.217239,84.114998
4,0.033333,-0.006786,0.400943,0.009608,0.916027,-216.142563,92.217255,84.117287
5,0.041667,-0.006883,0.401051,0.009755,0.915978,-216.142365,92.216400,84.115730
6,0.050000,-0.007058,0.400867,0.009602,0.916059,-216.142853,92.217888,84.117722
7,0.058333,-0.006863,0.400908,0.009680,0.916042,-216.142273,92.216545,84.116554
8,0.066667,-0.007116,0.400897,0.009515,0.916046,-216.143005,92.218231,84.116516
9,0.075000,-0.006981,0.400905,0.009706,0.916042,-216.142197,92.216919,84.118309
10,0.083333,-0.006862,0.400979,0.009664,0.916011,-216.141464,92.216316,84.117615
11,0.091667,-0.006808,0.400912,0.009640,0.916040,-216.141754,92.215591,84.118286
12,0.100000,-0.006767,0.400922,0.009449,0.916038,-216.141815,92.218033,84.118065
13,0.108333,-0.006692,0.400836,0.009611,0.916075,-216.141251,92.218307,84.118393
14,0.116667,-0.006962,0.400850,0.009495,0.916068,-216.141846,92.219948,84.117104
15,0.125000,-0.006944,0.400926,0.009678,0.916033,-216.141296,92.216660,84.117180
16,0.133333,-0.007017,0.400869,0.009526,0.916059,-216.142685,92.217697,84.117958
17,0.141667,-0.006737,0.400916,0.009590,0.916040,-216.142181,92.215591,84.117142
18,0.150000,-0.006828,0.400864,0.009598,0.916062,-216.142914,92.217506,84.117332
19,0.158333,-0.006777,0.400936,0.009724,0.916030,-216.141815,92.216263,84.116722
20,0.166667,-0.006958,0.400940,0.009587,0.916027,-216.143250,92.218933,84.116920
21,0.175000,-0.007086,0.400866,0.009441,0.916061,-216.143463,92.220016,84.115532
22,0.183333,-0.006910,0.400910,0.009667,0.916040,-216.142487,92.217079,84.115692
23,0.191667,-0.006844,0.400886,0.009684,0.916051,-216.143204,92.215523,84.117455
24,0.200000,-0.006968,0.400917,0.009572,0.916038,-216.143509,92.217041,84.117302
25,0.208333,-0.006895,0.400938,0.009634,0.916029,-216.142853,92.216530,84.116722
26,0.216667,-0.006769,0.400996,0.009644,0.916004,-216.142624,92.215683,84.118240
27,0.225000,-0.006738,0.400946,0.009660,0.916026,-216.142624,92.216438,84.118423
28,0.233333,-0.006675,0.400912,0.009721,0.916041,-216.142365,92.216400,84.118568
29,0.241667,-0.006751,0.400879,0.009610,0.916056,-216.142365,92.215981,84.117958
30,0.250000,-0.006825,0.400892,0.009595,0.916050,-216.141647,92.216583,84.118118
31,0.258333,-0.006799,0.400870,0.009474,0.916061,-216.141891,92.217018,84.118484
32,0.266667,-0.006944,0.400917,0.009311,0.916041,-216.142090,92.218979,84.116135
33,0.275000,-0.007092,0.400845,0.009095,0.916073,-216.142532,92.220932,84.114006
34,0.283333,-0.007138,0.400853,0.009005,0.916071,-216.142899,92.221657,84.112068
35,0.291667,-0.007151,0.400776,0.009048,0.916103,-216.143204,92.222443,84.112701
36,0.300000,-0.006799,0.400832,0.009262,0.916080,-216.141891,92.218361,84.115913
37,0.308333,-0.006632,0.400924,0.009433,0.916039,-216.142532,92.218117,84.117493
38,0.316667,-0.006806,0.400887,0.009547,0.916052,-216.143295,92.217270,84.117630
39,0.325000,-0.006821,0.400946,0.009716,0.916025,-216.143585,92.215378,84.116943
40,0.333333,-0.006812,0.400907,0.009713,0.916042,-216.144226,92.214935,84.117638
41,0.341667,-0.006897,0.400845,0.009648,0.916069,-216.144608,92.217491,84.117035
42,0.350000,-0.006883,0.400916,0.009695,0.916038,-216.142624,92.216408,84.116623
43,0.358333,-0.006883,0.400858,0.009547,0.916064,-216.142792,92.217987,84.117424
44,0.366667,-0.006755,0.400901,0.009493,0.916047,-216.141800,92.217827,84.117172
45,0.375000,-0.006866,0.400834,0.009430,0.916076,-216.141846,92.218903,84.116890
46,0.383333,-0.006722,0.400933,0.009588,0.916032,-216.140747,92.217377,84.117027
47,0.391667,-0.006799,0.400909,0.009487,0.916044,-216.142014,92.219604,84.116287
48,0.400000,-0.006997,0.400827,0.009313,0.916080,-216.141678,92.220230,84.116264
49,0.408333,-0.006917,0.400961,0.009418,0.916021,-216.140823,92.218552,84.116486
50,0.416667,-0.006892,0.400968,0.009601,0.916016,-216.141464,92.216858,84.117149
51,0.425000,-0.006973,0.400939,0.009602,0.916028,-216.141769,92.216835,84.116852
52,0.433333,-0.006794,0.400913,0.009638,0.916040,-216.141800,92.216400,84.117340
53,0.441667,-0.006668,0.400918,0.009811,0.916037,-216.142059,92.215347,84.117699
54,0.450000,-0.006659,0.400965,0.009706,0.916018,-216.142685,92.216125,84.117317
55,0.458333,-0.006906,0.400879,0.009455,0.916056,-216.143677,92.218437,84.117485
56,0.466667,-0.007068,0.400856,0.009273,0.916067,-216.143372,92.220245,84.114899
57,0.475000,-0.007202,0.400763,0.009192,0.916107,-216.144012,92.221169,84.112602
58,0.483333,-0.007179,0.400748,0.009017,0.916116,-216.143875,92.222458,84.112144
59,0.491667,-0.006932,0.400862,0.009391,0.916064,-216.143158,92.219856,84.114075
60,0.500000,-0.006774,0.400897,0.009599,0.916048,-216.143341,92.217117,84.117279
61,0.508333,-0.006905,0.400913,0.009601,0.916040,-216.143616,92.218155,84.117958
62,0.516667,-0.006857,0.400920,0.009672,0.916036,-216.143066,92.216255,84.117699
63,0.525000,-0.006876,0.400938,0.009714,0.916028,-216.143341,92.215515,84.117546
64,0.533333,-0.006890,0.400880,0.009513,0.916055,-216.144058,92.217903,84.117874
65,0.541667,-0.007047,0.400827,0.009346,0.916079,-216.143982,92.220184,84.115417
66,0.550000,-0.006865,0.400907,0.009490,0.916044,-216.142532,92.218689,84.116432
67,0.558333,-0.006890,0.400819,0.009472,0.916082,-216.142029,92.218529,84.116852
68,0.566667,-0.006967,0.400866,0.009301,0.916063,-216.142487,92.220840,84.115967
69,0.575000,-0.006862,0.400913,0.009441,0.916042,-216.142029,92.219330,84.116867
70,0.583333,-0.006948,0.400916,0.009490,0.916039,-216.142532,92.219681,84.116333
71,0.591667,-0.006853,0.400907,0.009587,0.916043,-216.141678,92.217926,84.116425
