Format Version,1.25,Take Name,G4 LL Take 2025-11-28_00_024,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 02.52.57.615 PM,Capture Start Frame,1490767,Total Frames in Take,1379,Total Exported Frames,1379,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.014484,0.364976,-0.000067,-0.930904,-215.946121,92.179939,83.319656
1,0.008333,0.014545,0.364990,-0.000186,-0.930898,-215.946198,92.178932,83.319412
2,0.016667,0.014506,0.364966,-0.000161,-0.930908,-215.946487,92.180473,83.318733
3,0.025000,0.014553,0.364943,-0.000078,-0.930916,-215.946747,92.180817,83.319366
4,0.033333,0.014492,0.365003,-0.000051,-0.930893,-215.946716,92.181381,83.319717
5,0.041667,0.014529,0.364952,-0.000137,-0.930913,-215.946915,92.179619,83.319435
6,0.050000,0.014552,0.365005,-0.000184,-0.930892,-215.946747,92.179451,83.319382
7,0.058333,0.014571,0.365027,-0.000037,-0.930883,-215.946289,92.180313,83.318558
8,0.066667,0.014559,0.365003,-0.000079,-0.930892,-215.947052,92.179855,83.319405
9,0.075000,0.014475,0.365003,-0.000080,-0.930894,-215.946625,92.180122,83.320625
10,0.083333,0.014428,0.364945,-0.000056,-0.930917,-215.947083,92.180229,83.320290
11,0.091667,0.014489,0.365039,-0.000130,-0.930880,-215.947342,92.180344,83.319923
12,0.100000,0.014561,0.365046,-0.000198,-0.930876,-215.947464,92.180428,83.320930
13,0.108333,0.014542,0.364994,-0.000152,-0.930896,-215.946793,92.179794,83.320641
14,0.116667,0.014560,0.364975,-0.000236,-0.930903,-215.946716,92.180130,83.320526
15,0.125000,0.014453,0.364955,-0.000166,-0.930913,-215.946838,92.181496,83.321365
16,0.133333,0.014466,0.364983,-0.000084,-0.930902,-215.946075,92.179718,83.320450
17,0.141667,0.014474,0.365019,-0.000199,-0.930888,-215.946411,92.179329,83.320312
18,0.150000,0.014514,0.364984,-0.000109,-0.930901,-215.945816,92.179237,83.320091
19,0.158333,0.014570,0.364924,-0.000094,-0.930923,-215.946869,92.181305,83.319267
20,0.166667,0.014652,0.365037,0.000013,-0.930878,-215.946243,92.179970,83.319695
21,0.175000,0.014487,0.364982,0.000009,-0.930902,-215.945648,92.180153,83.320572
22,0.183333,0.014621,0.365007,-0.000012,-0.930890,-215.945618,92.179886,83.319046
23,0.191667,0.014569,0.365046,-0.000022,-0.930875,-215.946106,92.179886,83.319000
24,0.200000,0.014395,0.364981,-0.000100,-0.930904,-215.946365,92.181343,83.319199
25,0.208333,0.014487,0.364997,-0.000129,-0.930896,-215.946075,92.181145,83.319603
26,0.216667,0.014460,0.364958,-0.000101,-0.930912,-215.947006,92.180321,83.320763
27,0.225000,0.014530,0.364957,-0.000023,-0.930911,-215.946915,92.180626,83.321175
28,0.233333,0.014639,0.364952,-0.000088,-0.930911,-215.946609,92.180664,83.321411
29,0.241667,0.014533,0.364961,-0.000058,-0.930909,-215.947220,92.181465,83.321365
30,0.250000,0.014549,0.364962,-0.000193,-0.930909,-215.947174,92.180328,83.321365
31,0.258333,0.014509,0.365001,-0.000177,-0.930894,-215.947052,92.180313,83.321457
32,0.266667,0.014433,0.364940,-0.000119,-0.930919,-215.947128,92.180748,83.321068
33,0.275000,0.014557,0.364987,-0.000194,-0.930899,-215.947037,92.179985,83.320908
34,0.283333,0.014501,0.365014,-0.000200,-0.930889,-215.946167,92.179787,83.320595
35,0.291667,0.014498,0.365000,-0.000189,-0.930895,-215.946198,92.180725,83.320335
36,0.300000,0.014547,0.364998,-0.000093,-0.930895,-215.946167,92.181358,83.320908
37,0.308333,0.014578,0.365046,-0.000081,-0.930875,-215.945572,92.180168,83.320877
38,0.316667,0.014400,0.364970,-0.000128,-0.930908,-215.946533,92.180428,83.320251
39,0.325000,0.014451,0.364989,-0.000065,-0.930900,-215.946701,92.181213,83.319580
40,0.333333,0.014554,0.364953,-0.000004,-0.930912,-215.946671,92.181328,83.320221
41,0.341667,0.014598,0.365007,-0.000047,-0.930890,-215.946793,92.180275,83.319839
42,0.350000,0.014425,0.365004,0.000035,-0.930894,-215.947388,92.181290,83.320747
43,0.358333,0.014427,0.365040,-0.000199,-0.930880,-215.948822,92.180779,83.320496
44,0.366667,0.014545,0.364993,-0.000092,-0.930897,-215.948959,92.180504,83.320145
45,0.375000,0.014559,0.365008,-0.000116,-0.930891,-215.948959,92.181168,83.319908
46,0.383333,0.014517,0.365012,-0.000140,-0.930890,-215.949753,92.180344,83.320526
47,0.391667,0.014421,0.365017,-0.000228,-0.930889,-215.949493,92.179619,83.320938
48,0.400000,0.014364,0.365012,-0.000127,-0.930892,-215.949982,92.180092,83.322403
49,0.408333,0.014454,0.364933,-0.000132,-0.930922,-215.949799,92.180275,83.322128
50,0.416667,0.014592,0.364990,-0.000045,-0.930897,-215.949493,92.180565,83.322906
51,0.425000,0.014628,0.364968,-0.000116,-0.930905,-215.948486,92.180000,83.322510
52,0.433333,0.014551,0.364956,-0.000147,-0.930911,-215.948135,92.181389,83.321556
53,0.441667,0.014462,0.365046,-0.000137,-0.930877,-215.947296,92.180641,83.320694
54,0.450000,0.014357,0.365002,-0.000166,-0.930896,-215.946701,92.180595,83.319504
55,0.458333,0.014574,0.364986,-0.000082,-0.930899,-215.945847,92.180893,83.318703
56,0.466667,0.014629,0.364985,-0.000011,-0.930898,-215.945480,92.180931,83.318275
57,0.475000,0.014597,0.364970,-0.000093,-0.930905,-215.946106,92.179756,83.317841
58,0.483333,0.014613,0.364923,-0.000136,-0.930923,-215.946503,92.179848,83.317780
59,0.491667,0.014501,0.364974,0.000023,-0.930905,-215.946548,92.182007,83.318031
60,0.500000,0.014490,0.365012,-0.000064,-0.930890,-215.947678,92.181503,83.318245
61,0.508333,0.014580,0.365014,-0.000084,-0.930888,-215.947372,92.180656,83.319786
62,0.516667,0.014517,0.364982,-0.000102,-0.930901,-215.947800,92.180748,83.320076
63,0.525000,0.014448,0.365017,-0.000113,-0.930889,-215.948654,92.180412,83.319893
64,0.533333,0.014419,0.365010,-0.000031,-0.930892,-215.948196,92.180901,83.321037
65,0.541667,0.014493,0.365050,-0.000093,-0.930875,-215.947311,92.179260,83.321228
66,0.550000,0.014567,0.365010,-0.000196,-0.930890,-215.947372,92.180016,83.320824
67,0.558333,0.014579,0.364996,-0.000038,-0.930895,-215.946609,92.180473,83.321495
68,0.566667,0.014586,0.364965,-0.000081,-0.930907,-215.946381,92.181297,83.321358
69,0.575000,0.014639,0.364967,-0.000209,-0.930905,-215.946747,92.180344,83.321938
70,0.583333,0.014567,0.364958,-0.000123,-0.930910,-215.945724,92.180473,83.321259
