Format Version,1.25,Take Name,G4 LR Take 2025-11-28_00_026,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 02.00.07.549 PM,Capture Start Frame,1109902,Total Frames in Take,1351,Total Exported Frames,1351,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.006787,0.400892,0.009755,0.916048,-216.144135,92.215569,84.118263
1,0.008333,-0.006706,0.400983,0.009816,0.916008,-216.143326,92.213844,84.117882
2,0.016667,-0.006837,0.400898,0.009626,0.916047,-216.143463,92.213890,84.118340
3,0.025000,-0.006776,0.400963,0.009717,0.916018,-216.142700,92.213379,84.118507
4,0.033333,-0.006887,0.400936,0.009587,0.916030,-216.143082,92.216507,84.118477
5,0.041667,-0.006903,0.400860,0.009580,0.916063,-216.142624,92.216660,84.117958
6,0.050000,-0.006811,0.400864,0.009670,0.916061,-216.142303,92.215691,84.117630
7,0.058333,-0.006771,0.400887,0.009663,0.916051,-216.142792,92.215134,84.118866
8,0.066667,-0.006745,0.400939,0.009734,0.916028,-216.142609,92.215271,84.118195
9,0.075000,-0.006764,0.400868,0.009724,0.916059,-216.142914,92.213852,84.119667
10,0.083333,-0.006630,0.400953,0.009732,0.916023,-216.143127,92.213776,84.118851
11,0.091667,-0.006737,0.400959,0.009797,0.916019,-216.143463,92.213707,84.118752
12,0.100000,-0.006808,0.400938,0.009755,0.916028,-216.144272,92.214149,84.119911
13,0.108333,-0.006787,0.400899,0.009926,0.916043,-216.144043,92.214722,84.119492
14,0.116667,-0.007012,0.400817,0.009694,0.916080,-216.144485,92.217346,84.118912
15,0.125000,-0.006925,0.400886,0.009698,0.916050,-216.143936,92.215942,84.117393
16,0.133333,-0.006863,0.400843,0.009657,0.916070,-216.144104,92.214783,84.117722
17,0.141667,-0.006748,0.400856,0.009709,0.916065,-216.144089,92.214714,84.118317
18,0.150000,-0.006739,0.400922,0.009636,0.916037,-216.143799,92.215149,84.118362
19,0.158333,-0.006796,0.400900,0.009670,0.916046,-216.143768,92.215286,84.118225
20,0.166667,-0.006757,0.400904,0.009622,0.916045,-216.143799,92.215897,84.117958
21,0.175000,-0.006799,0.400905,0.009656,0.916044,-216.142563,92.215492,84.118164
22,0.183333,-0.006689,0.400923,0.009819,0.916035,-216.143036,92.213554,84.119621
23,0.191667,-0.006629,0.400949,0.009867,0.916023,-216.143372,92.214264,84.119514
24,0.200000,-0.006773,0.400910,0.009841,0.916040,-216.143616,92.213486,84.119171
25,0.208333,-0.006883,0.400938,0.009769,0.916027,-216.143494,92.214653,84.118690
26,0.216667,-0.006814,0.400921,0.009703,0.916036,-216.143539,92.214584,84.119545
27,0.225000,-0.006739,0.400934,0.009758,0.916030,-216.143005,92.214134,84.118195
28,0.233333,-0.006696,0.400899,0.009686,0.916047,-216.144180,92.214050,84.118263
29,0.241667,-0.006868,0.400876,0.009563,0.916057,-216.145020,92.215118,84.118294
30,0.250000,-0.006730,0.400959,0.009731,0.916020,-216.144653,92.214439,84.116814
31,0.258333,-0.006701,0.400891,0.009688,0.916050,-216.145187,92.212929,84.118858
32,0.266667,-0.006854,0.400931,0.009761,0.916030,-216.144913,92.213684,84.117447
33,0.275000,-0.006916,0.400929,0.009820,0.916030,-216.145279,92.213860,84.117477
34,0.283333,-0.006922,0.400903,0.009619,0.916044,-216.145966,92.215950,84.117104
35,0.291667,-0.006963,0.400932,0.009434,0.916033,-216.146255,92.218704,84.115067
36,0.300000,-0.006838,0.400864,0.009503,0.916063,-216.144608,92.216347,84.115440
37,0.308333,-0.006792,0.400972,0.009610,0.916015,-216.143448,92.214699,84.117279
38,0.316667,-0.006876,0.400920,0.009760,0.916035,-216.143341,92.214111,84.118942
39,0.325000,-0.006831,0.400872,0.009760,0.916057,-216.142609,92.214104,84.119972
40,0.333333,-0.006790,0.400849,0.009705,0.916067,-216.142654,92.214371,84.121277
41,0.341667,-0.006710,0.400875,0.009698,0.916057,-216.142563,92.214676,84.121986
42,0.350000,-0.006695,0.400930,0.009795,0.916032,-216.142624,92.214035,84.121269
43,0.358333,-0.006728,0.400885,0.009641,0.916053,-216.143326,92.214462,84.122643
44,0.366667,-0.006777,0.400890,0.009834,0.916048,-216.144180,92.214622,84.120987
45,0.375000,-0.006764,0.400914,0.009838,0.916038,-216.144592,92.215561,84.120399
46,0.383333,-0.006724,0.400884,0.009939,0.916050,-216.144852,92.213577,84.120605
47,0.391667,-0.006841,0.400912,0.009794,0.916039,-216.145401,92.215523,84.118828
48,0.400000,-0.006708,0.400877,0.009717,0.916056,-216.145615,92.214256,84.118210
49,0.408333,-0.006688,0.400971,0.009681,0.916015,-216.144592,92.214241,84.115898
50,0.416667,-0.006835,0.400939,0.009506,0.916030,-216.146088,92.216324,84.114525
51,0.425000,-0.007053,0.400847,0.009317,0.916071,-216.145920,92.218307,84.112373
52,0.433333,-0.007123,0.400841,0.009226,0.916074,-216.145752,92.219284,84.109497
53,0.441667,-0.007079,0.400786,0.009118,0.916099,-216.145508,92.221054,84.110046
54,0.450000,-0.007009,0.400835,0.009090,0.916078,-216.143875,92.220963,84.109818
55,0.458333,-0.006942,0.400891,0.009313,0.916052,-216.143005,92.217781,84.113228
56,0.466667,-0.006911,0.400906,0.009560,0.916043,-216.142395,92.215935,84.115700
57,0.475000,-0.006834,0.400943,0.009668,0.916026,-216.141891,92.214554,84.118027
58,0.483333,-0.006751,0.400892,0.009573,0.916050,-216.142990,92.215691,84.120193
59,0.491667,-0.006717,0.400894,0.009759,0.916048,-216.142731,92.216293,84.120285
60,0.500000,-0.006787,0.400864,0.009756,0.916061,-216.143326,92.215836,84.121971
61,0.508333,-0.006755,0.400902,0.009785,0.916044,-216.143295,92.215309,84.122383
62,0.516667,-0.006765,0.400922,0.009675,0.916036,-216.144638,92.215797,84.121246
63,0.525000,-0.006852,0.400943,0.009560,0.916027,-216.145279,92.215576,84.121231
64,0.533333,-0.007041,0.400879,0.009519,0.916054,-216.146255,92.219025,84.119530
65,0.541667,-0.006848,0.400870,0.009685,0.916058,-216.145905,92.218109,84.119644
66,0.550000,-0.006828,0.400911,0.009655,0.916041,-216.146561,92.216454,84.119316
67,0.558333,-0.006868,0.400850,0.009426,0.916070,-216.146942,92.217079,84.117165
68,0.566667,-0.007002,0.400781,0.009408,0.916099,-216.147400,92.217842,84.115173
69,0.575000,-0.007031,0.400799,0.009339,0.916091,-216.147430,92.220284,84.112457
70,0.583333,-0.007145,0.400775,0.009307,0.916101,-216.146896,92.220604,84.110474
71,0.591667,-0.006921,0.400935,0.009572,0.916031,-216.144989,92.216652,84.111855
