Format Version,1.25,Take Name,G4 LS Take 2025-11-28_00_016,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.36.37.398 PM,Capture Start Frame,940688,Total Frames in Take,1546,Total Exported Frames,1546,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.005039,0.931742,0.022539,0.362386,-215.319061,92.161522,84.361313
1,0.008333,0.004772,0.931838,0.022674,0.362135,-215.319366,92.159943,84.364319
2,0.016667,0.005063,0.931732,0.022543,0.362411,-215.319305,92.161903,84.361214
3,0.025000,0.005103,0.931721,0.022466,0.362444,-215.318008,92.162148,84.359596
4,0.033333,0.004986,0.931845,0.022426,0.362128,-215.316589,92.159912,84.364815
5,0.041667,0.005118,0.931747,0.022235,0.362391,-215.316010,92.161179,84.360847
6,0.050000,0.005294,0.931732,0.022276,0.362424,-215.316299,92.161217,84.361320
7,0.058333,0.005242,0.931749,0.022382,0.362375,-215.316467,92.161110,84.360497
8,0.066667,0.005075,0.931733,0.022527,0.362409,-215.317154,92.161278,84.360214
9,0.075000,0.004804,0.931838,0.022572,0.362140,-215.317825,92.159058,84.364212
10,0.083333,0.005015,0.931731,0.022458,0.362418,-215.317108,92.160629,84.361160
11,0.091667,0.005174,0.931718,0.022369,0.362455,-215.317993,92.161575,84.361115
12,0.100000,0.004821,0.931804,0.022449,0.362234,-215.318924,92.159798,84.363762
13,0.108333,0.004550,0.931804,0.022580,0.362231,-215.319916,92.159554,84.364197
14,0.116667,0.004608,0.931799,0.022627,0.362239,-215.320175,92.160118,84.364799
15,0.125000,0.004927,0.931699,0.022435,0.362503,-215.320175,92.162781,84.362030
16,0.133333,0.005051,0.931745,0.022300,0.362394,-215.319778,92.163383,84.364029
17,0.141667,0.004721,0.931834,0.022454,0.362158,-215.319092,92.162270,84.366692
18,0.150000,0.004585,0.931848,0.022684,0.362110,-215.318329,92.159996,84.368233
19,0.158333,0.004640,0.931839,0.022713,0.362130,-215.318039,92.160431,84.367996
20,0.166667,0.005046,0.931727,0.022455,0.362430,-215.317581,92.163216,84.362099
21,0.175000,0.004939,0.931824,0.022483,0.362179,-215.317963,92.161270,84.365570
22,0.183333,0.004793,0.931825,0.022578,0.362174,-215.317444,92.160240,84.364250
23,0.191667,0.005131,0.931739,0.022466,0.362398,-215.317657,92.161797,84.362450
24,0.200000,0.004994,0.931849,0.022581,0.362108,-215.317368,92.160660,84.366302
25,0.208333,0.005166,0.931775,0.022494,0.362302,-215.317200,92.161575,84.362450
26,0.216667,0.005035,0.931837,0.022564,0.362139,-215.317749,92.160515,84.365273
27,0.225000,0.005105,0.931730,0.022503,0.362418,-215.318756,92.161903,84.361084
28,0.233333,0.004866,0.931812,0.022582,0.362205,-215.319275,92.160294,84.364258
29,0.241667,0.004923,0.931720,0.022395,0.362452,-215.318253,92.161880,84.361771
30,0.250000,0.005016,0.931721,0.022386,0.362449,-215.318512,92.161789,84.362740
31,0.258333,0.005023,0.931743,0.022386,0.362394,-215.318970,92.162148,84.363678
32,0.266667,0.004969,0.931737,0.022431,0.362405,-215.318878,92.162666,84.362320
33,0.275000,0.005071,0.931731,0.022512,0.362415,-215.319702,92.162331,84.364281
34,0.283333,0.005115,0.931716,0.022496,0.362454,-215.319473,92.162689,84.363541
35,0.291667,0.004864,0.931849,0.022572,0.362112,-215.319565,92.161163,84.368149
36,0.300000,0.004833,0.931858,0.022651,0.362083,-215.318680,92.159912,84.368172
37,0.308333,0.004719,0.931842,0.022784,0.362117,-215.317871,92.160072,84.366737
38,0.316667,0.004764,0.931850,0.022807,0.362096,-215.318176,92.158600,84.367882
39,0.325000,0.004688,0.931830,0.022689,0.362156,-215.317871,92.159279,84.364937
40,0.333333,0.004975,0.931723,0.022502,0.362438,-215.319366,92.160500,84.362122
41,0.341667,0.005127,0.931737,0.022396,0.362407,-215.318817,92.162262,84.361336
42,0.350000,0.005066,0.931732,0.022284,0.362427,-215.319183,92.162643,84.359840
43,0.358333,0.005092,0.931727,0.022262,0.362442,-215.319855,92.161819,84.361229
44,0.366667,0.004647,0.931808,0.022527,0.362221,-215.319748,92.161301,84.363258
45,0.375000,0.006018,0.931865,0.022766,0.362040,-215.311615,92.145729,84.370605
46,0.383333,0.005090,0.931721,0.022202,0.362461,-215.315659,92.161026,84.369492
47,0.391667,0.005089,0.931697,0.022145,0.362524,-215.320465,92.164055,84.365593
48,0.400000,0.005109,0.931704,0.022383,0.362492,-215.321167,92.162659,84.363930
49,0.408333,0.004814,0.931793,0.022594,0.362253,-215.320496,92.159958,84.363762
50,0.416667,0.005287,0.931742,0.022481,0.362386,-215.320068,92.160980,84.361954
51,0.425000,0.005050,0.931832,0.022549,0.362153,-215.318970,92.159477,84.363922
52,0.433333,0.004764,0.931846,0.022649,0.362116,-215.318390,92.159256,84.365562
53,0.441667,0.005016,0.931757,0.022520,0.362349,-215.318817,92.160728,84.364494
54,0.450000,0.004948,0.931752,0.022414,0.362369,-215.318771,92.162491,84.363724
55,0.458333,0.004826,0.931848,0.022439,0.362122,-215.319412,92.161530,84.367668
56,0.466667,0.004955,0.931732,0.022269,0.362430,-215.319641,92.163338,84.362541
57,0.475000,0.004743,0.931817,0.022396,0.362206,-215.321213,92.162170,84.364807
58,0.483333,0.005011,0.931726,0.022361,0.362438,-215.321609,92.163452,84.361694
59,0.491667,0.005007,0.931699,0.022404,0.362506,-215.320663,92.164139,84.361046
60,0.500000,0.006297,0.931864,0.022765,0.362038,-215.311722,92.146530,84.371773
61,0.508333,0.005013,0.931710,0.022120,0.362495,-215.316437,92.164314,84.369110
62,0.516667,0.004956,0.931702,0.022008,0.362523,-215.319138,92.165947,84.366432
63,0.525000,0.004781,0.931708,0.022016,0.362508,-215.320511,92.167130,84.362289
64,0.533333,0.004589,0.931675,0.022103,0.362591,-215.321304,92.167297,84.358902
65,0.541667,0.004415,0.931787,0.022299,0.362293,-215.320801,92.163528,84.363297
66,0.550000,0.004687,0.931719,0.022087,0.362477,-215.319473,92.164505,84.358360
67,0.558333,0.005071,0.931726,0.022177,0.362448,-215.318985,92.163101,84.359978
68,0.566667,0.005144,0.931724,0.022184,0.362453,-215.316422,92.162018,84.359779
69,0.575000,0.005179,0.931746,0.022274,0.362390,-215.316055,92.160782,84.360512
70,0.583333,0.005338,0.931771,0.022252,0.362325,-215.316147,92.161209,84.361717
71,0.591667,0.005367,0.931736,0.022291,0.362413,-215.316772,92.161064,84.361107
72,0.600000,0.005043,0.931858,0.022480,0.362090,-215.317444,92.159447,84.366318
73,0.608333,0.005114,0.931766,0.022460,0.362329,-215.318390,92.161179,84.363274
