Format Version,1.25,Take Name,G4 ML Take 2025-11-28_00,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 12.58.24.356 PM,Capture Start Frame,665528,Total Frames in Take,1235,Total Exported Frames,1235,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.000451,-0.723827,0.006238,-0.689954,-215.029175,90.053108,83.689941
1,0.008333,-0.000549,-0.723882,0.006314,-0.689895,-215.030151,90.054031,83.688744
2,0.016667,-0.000473,-0.723913,0.006327,-0.689862,-215.032166,90.053215,83.687637
3,0.025000,-0.000537,-0.723916,0.006417,-0.689858,-215.033813,90.053596,83.686722
4,0.033333,-0.000480,-0.723972,0.006322,-0.689800,-215.037018,90.053627,83.685944
5,0.041667,-0.000482,-0.723929,0.006213,-0.689847,-215.039398,90.053223,83.684715
6,0.050000,-0.000386,-0.723905,0.006255,-0.689871,-215.041641,90.052650,83.684685
7,0.058333,-0.000323,-0.723882,0.006125,-0.689897,-215.044022,90.053131,83.684616
8,0.066667,-0.000360,-0.723908,0.006149,-0.689869,-215.042038,90.052567,83.684669
9,0.075000,-0.000400,-0.723892,0.006181,-0.689885,-215.044540,90.052200,83.684227
10,0.083333,-0.000221,-0.723928,0.006240,-0.689848,-215.047119,90.053360,83.683891
11,0.091667,-0.000160,-0.723961,0.006186,-0.689813,-215.052719,90.053711,83.684311
12,0.100000,-0.000151,-0.723917,0.006135,-0.689860,-215.056274,90.053894,83.682648
13,0.108333,0.000077,-0.724052,0.005713,-0.689722,-215.062546,90.056297,83.682014
14,0.116667,0.001652,-0.724474,0.004564,-0.689285,-215.065475,90.073997,83.668205
15,0.125000,0.001817,-0.724574,0.004490,-0.689180,-215.069397,90.073036,83.664871
16,0.133333,0.001582,-0.724359,0.004845,-0.689404,-215.071228,90.070229,83.669022
17,0.141667,0.001263,-0.724321,0.004750,-0.689445,-215.071442,90.070847,83.671333
18,0.150000,0.001506,-0.724489,0.004430,-0.689270,-215.071579,90.073029,83.665649
