Format Version,1.25,Take Name,G4 ML Take 2025-11-28_00_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.00.03.192 PM,Capture Start Frame,677388,Total Frames in Take,1132,Total Exported Frames,1132,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.003695,-0.727109,0.000508,-0.686512,-215.046280,90.109329,83.710182
1,0.008333,0.003653,-0.727122,0.000576,-0.686498,-215.046341,90.109344,83.710052
2,0.016667,0.003603,-0.727146,0.000634,-0.686473,-215.045349,90.109024,83.710396
3,0.025000,0.003626,-0.727131,0.000579,-0.686489,-215.045715,90.110809,83.709557
4,0.033333,0.003650,-0.727136,0.000573,-0.686484,-215.046616,90.110992,83.708931
5,0.041667,0.003573,-0.727140,0.000631,-0.686479,-215.046692,90.110329,83.708992
6,0.050000,0.003612,-0.727176,0.000554,-0.686442,-215.047287,90.110970,83.708504
7,0.058333,0.003686,-0.727106,0.000475,-0.686515,-215.047028,90.109375,83.708397
8,0.066667,0.003672,-0.727113,0.000506,-0.686508,-215.047745,90.109604,83.708138
9,0.075000,0.003632,-0.727124,0.000479,-0.686496,-215.048294,90.110886,83.707726
10,0.083333,0.003612,-0.727127,0.000585,-0.686493,-215.047714,90.110512,83.708504
11,0.091667,0.003627,-0.727155,0.000504,-0.686464,-215.048294,90.109764,83.709053
12,0.100000,0.003689,-0.727144,0.000587,-0.686474,-215.048187,90.110542,83.709366
13,0.108333,0.003569,-0.727173,0.000629,-0.686445,-215.048523,90.110313,83.710083
14,0.116667,0.003680,-0.727109,0.000724,-0.686511,-215.047958,90.110214,83.710266
15,0.125000,0.003703,-0.727136,0.000632,-0.686484,-215.047638,90.108940,83.709587
16,0.133333,0.003632,-0.727144,0.000634,-0.686475,-215.048141,90.109703,83.709808
17,0.141667,0.003597,-0.727198,0.000620,-0.686418,-215.048004,90.110657,83.710182
18,0.150000,0.003654,-0.727180,0.000652,-0.686437,-215.047623,90.110374,83.709709
