Format Version,1.25,Take Name,G4 MR Take 2025-11-28_00_00,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.09.42.348 PM,Capture Start Frame,746886,Total Frames in Take,1130,Total Exported Frames,1130,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.001601,-0.724663,0.006971,-0.689067,-215.031403,90.048645,83.685226
1,0.008333,-0.001756,-0.724687,0.007038,-0.689040,-215.030838,90.047295,83.684143
2,0.016667,-0.001616,-0.724750,0.007125,-0.688973,-215.030716,90.045906,83.684715
3,0.025000,-0.001116,-0.724897,0.006793,-0.688823,-215.026306,90.051788,83.679749
4,0.033333,-0.001614,-0.724736,0.007150,-0.688988,-215.031128,90.046684,83.684090
5,0.041667,-0.001475,-0.724779,0.006436,-0.688950,-215.031815,90.052155,83.682373
6,0.050000,-0.001519,-0.724719,0.006449,-0.689013,-215.031784,90.051697,83.682701
7,0.058333,-0.001015,-0.724785,0.006650,-0.688943,-215.027267,90.053680,83.681992
8,0.066667,-0.001519,-0.724685,0.007120,-0.689042,-215.029984,90.048882,83.684578
9,0.075000,-0.001711,-0.724723,0.007204,-0.689001,-215.030167,90.045990,83.683640
10,0.083333,-0.001781,-0.724731,0.007289,-0.688991,-215.029953,90.045792,83.682594
11,0.091667,-0.001647,-0.724741,0.007243,-0.688982,-215.030121,90.046051,83.682617
12,0.100000,-0.001777,-0.724720,0.007121,-0.689004,-215.029816,90.045341,83.684151
13,0.108333,-0.001032,-0.724881,0.006859,-0.688839,-215.025879,90.052345,83.678383
14,0.116667,-0.001277,-0.724785,0.007009,-0.688938,-215.029831,90.049538,83.683052
15,0.125000,-0.001766,-0.724758,0.007163,-0.688964,-215.030029,90.047195,83.683327
16,0.133333,-0.001840,-0.724758,0.007210,-0.688963,-215.030533,90.045807,83.682625
17,0.141667,-0.001445,-0.724796,0.006623,-0.688930,-215.032440,90.051094,83.682449
18,0.150000,-0.001497,-0.724666,0.006854,-0.689065,-215.031738,90.049271,83.685204
