Format Version,1.25,Take Name,G4 MR Take 2025-11-28_00_00_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.12.46.558 PM,Capture Start Frame,768991,Total Frames in Take,1042,Total Exported Frames,1042,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.001221,-0.729696,0.003224,-0.683763,-215.009689,90.034050,83.653290
1,0.008333,-0.001218,-0.729706,0.003106,-0.683753,-215.008759,90.033432,83.653976
2,0.016667,-0.001149,-0.729727,0.003078,-0.683731,-215.007660,90.033264,83.653748
3,0.025000,-0.001179,-0.729707,0.003060,-0.683752,-215.007599,90.033981,83.654984
4,0.033333,-0.001204,-0.729684,0.003174,-0.683776,-215.006943,90.034485,83.652786
5,0.041667,-0.001307,-0.729690,0.003350,-0.683768,-215.007812,90.032928,83.653938
6,0.050000,-0.001225,-0.729694,0.003268,-0.683765,-215.006805,90.033173,83.652153
7,0.058333,-0.001308,-0.729695,0.003222,-0.683764,-215.007111,90.032379,83.651878
8,0.066667,-0.001270,-0.729715,0.003043,-0.683743,-215.008026,90.033829,83.653046
9,0.075000,-0.001104,-0.729684,0.003101,-0.683776,-215.007965,90.033203,83.652313
10,0.083333,-0.001105,-0.729727,0.003126,-0.683731,-215.008423,90.033241,83.651115
11,0.091667,-0.001254,-0.729712,0.003164,-0.683746,-215.008545,90.034462,83.650795
12,0.100000,-0.001106,-0.729729,0.003198,-0.683728,-215.008377,90.032616,83.650520
13,0.108333,-0.001038,-0.729725,0.003136,-0.683733,-215.009430,90.032921,83.651802
14,0.116667,-0.001138,-0.729763,0.003192,-0.683692,-215.009064,90.033325,83.649284
15,0.125000,-0.001202,-0.729743,0.003251,-0.683712,-215.009827,90.031883,83.650665
16,0.133333,-0.001187,-0.729755,0.003415,-0.683700,-215.008575,90.033165,83.650131
17,0.141667,-0.001224,-0.729715,0.003394,-0.683742,-215.009354,90.033638,83.650696
18,0.150000,-0.001085,-0.729735,0.003339,-0.683721,-215.008682,90.034920,83.651344
