Format Version,1.25,Take Name,G4 MS Take 2025-11-28_00_000,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 12.42.50.420 PM,Capture Start Frame,553459,Total Frames in Take,1164,Total Exported Frames,1164,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.002744,-0.724835,0.004585,-0.688902,-215.022415,90.017326,83.678299
1,0.008333,-0.002825,-0.724824,0.004535,-0.688914,-215.021210,90.017181,83.678490
2,0.016667,-0.002887,-0.724829,0.004477,-0.688908,-215.021301,90.016266,83.680008
3,0.025000,-0.002775,-0.724863,0.004502,-0.688873,-215.020569,90.016220,83.679054
4,0.033333,-0.002773,-0.724847,0.004541,-0.688889,-215.021164,90.015450,83.679070
5,0.041667,-0.002847,-0.724863,0.004592,-0.688872,-215.021011,90.016258,83.679001
6,0.050000,-0.002765,-0.724819,0.004796,-0.688917,-215.020569,90.017113,83.677979
7,0.058333,-0.002972,-0.724804,0.004718,-0.688933,-215.020844,90.017166,83.679283
8,0.066667,-0.002686,-0.724808,0.004571,-0.688930,-215.019531,90.016594,83.678444
9,0.075000,-0.002643,-0.724830,0.004583,-0.688907,-215.020798,90.017380,83.679672
10,0.083333,-0.002848,-0.724807,0.004765,-0.688930,-215.021011,90.017975,83.678612
11,0.091667,-0.002967,-0.724816,0.004750,-0.688919,-215.021057,90.017632,83.677872
12,0.100000,-0.002793,-0.724804,0.004623,-0.688934,-215.020660,90.017174,83.678535
13,0.108333,-0.002719,-0.724860,0.004473,-0.688876,-215.020996,90.016975,83.677650
14,0.116667,-0.002796,-0.724825,0.004488,-0.688913,-215.021561,90.015625,83.679565
15,0.125000,-0.002761,-0.724874,0.004528,-0.688861,-215.021820,90.016357,83.678581
16,0.133333,-0.002755,-0.724851,0.004557,-0.688886,-215.022018,90.016624,83.677994
17,0.141667,-0.002770,-0.724867,0.004636,-0.688868,-215.021606,90.016632,83.679459
18,0.150000,-0.002800,-0.724858,0.004600,-0.688877,-215.020752,90.016403,83.677620
