Format Version,1.25,Take Name,G4 SL Take 2025-11-28_01_023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.40.38.546 AM,Capture Start Frame,105643,Total Frames in Take,1106,Total Exported Frames,1106,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.000649,0.666468,0.000482,0.745534,-216.928513,84.254959,87.428566
1,0.008333,-0.000571,0.666542,0.000470,0.745467,-216.928894,84.255013,87.430504
2,0.016667,-0.000690,0.666549,0.000424,0.745460,-216.928940,84.256401,87.429985
3,0.025000,-0.000540,0.666439,0.000327,0.745559,-216.928482,84.256180,87.428871
4,0.033333,-0.000551,0.666434,0.000420,0.745564,-216.928741,84.256119,87.429459
5,0.041667,-0.000429,0.666463,0.000377,0.745538,-216.929153,84.256950,87.430756
6,0.050000,-0.000469,0.666429,0.000236,0.745568,-216.929504,84.257568,87.430656
7,0.058333,-0.000665,0.666487,0.000438,0.745516,-216.929871,84.255486,87.430420
8,0.066667,-0.000668,0.666444,0.000519,0.745554,-216.931030,84.254478,87.429283
9,0.075000,-0.000724,0.666508,0.000357,0.745497,-216.930908,84.255150,87.429955
10,0.083333,-0.000610,0.666463,0.000431,0.745538,-216.931366,84.256020,87.430206
11,0.091667,-0.000458,0.666504,0.000508,0.745501,-216.931061,84.256660,87.429741
12,0.100000,-0.000730,0.666447,0.000339,0.745552,-216.930130,84.255699,87.429672
13,0.108333,-0.000861,0.666414,0.000213,0.745581,-216.929657,84.254242,87.429634
14,0.116667,-0.000815,0.666544,0.000306,0.745466,-216.929199,84.255486,87.430351
15,0.125000,-0.000925,0.666440,0.000337,0.745558,-216.928864,84.254822,87.430031
16,0.133333,-0.000755,0.666491,0.000339,0.745513,-216.928680,84.254639,87.430038
17,0.141667,-0.000647,0.666546,0.000330,0.745464,-216.929443,84.256378,87.429634
18,0.150000,-0.000740,0.666527,0.000448,0.745480,-216.928528,84.255638,87.429085
19,0.158333,-0.000496,0.666461,0.000419,0.745540,-216.928009,84.256622,87.430305
20,0.166667,-0.000601,0.666459,0.000410,0.745541,-216.928146,84.256653,87.429878
21,0.175000,-0.000679,0.666497,0.000378,0.745507,-216.927429,84.255447,87.429062
22,0.183333,-0.000713,0.666483,0.000217,0.745520,-216.927124,84.255043,87.430031
23,0.191667,-0.000714,0.666472,0.000388,0.745530,-216.927460,84.255600,87.429222
24,0.200000,-0.000757,0.666396,0.000192,0.745598,-216.927216,84.256683,87.427483
25,0.208333,-0.001114,0.666453,-0.000135,0.745546,-216.926331,84.256874,87.427994
26,0.216667,-0.000970,0.666418,-0.000108,0.745578,-216.925400,84.258369,87.425385
27,0.225000,-0.001146,0.666392,-0.000187,0.745601,-216.923767,84.258774,87.423325
28,0.233333,-0.001023,0.666426,-0.000284,0.745571,-216.921402,84.261078,87.421440
29,0.241667,-0.000908,0.666442,-0.000423,0.745556,-216.917801,84.262863,87.418663
30,0.250000,-0.000833,0.666553,-0.000669,0.745457,-216.913391,84.266739,87.415138
31,0.258333,-0.001147,0.666485,-0.001023,0.745517,-216.907578,84.268852,87.408836
32,0.266667,-0.001294,0.666543,-0.001557,0.745463,-216.901749,84.271973,87.402969
33,0.275000,-0.001392,0.666527,-0.002051,0.745477,-216.896179,84.276947,87.397736
34,0.283333,-0.001601,0.666651,-0.002609,0.745364,-216.888092,84.279999,87.391373
35,0.291667,-0.001714,0.666629,-0.003062,0.745381,-216.882080,84.284523,87.384972
36,0.300000,-0.001930,0.666701,-0.003442,0.745315,-216.875870,84.287987,87.382042
37,0.308333,-0.002109,0.666866,-0.003582,0.745166,-216.875549,84.286720,87.384132
38,0.316667,-0.002136,0.666798,-0.003713,0.745226,-216.875122,84.287262,87.384666
