Format Version,1.25,Take Name,G4 SR Take 2025-11-28_01_010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.49.03.810 AM,Capture Start Frame,166273,Total Frames in Take,1009,Total Exported Frames,1009,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.005077,0.663364,-0.004355,0.748267,-216.955902,84.284332,87.411362
1,0.008333,-0.004961,0.663496,-0.004405,0.748151,-216.957184,84.284111,87.412743
2,0.016667,-0.004928,0.663363,-0.004562,0.748268,-216.957504,84.285576,87.412086
3,0.025000,-0.004890,0.663440,-0.004434,0.748200,-216.957977,84.284966,87.412819
4,0.033333,-0.004914,0.663404,-0.004542,0.748231,-216.958527,84.284996,87.412697
5,0.041667,-0.004966,0.663471,-0.004598,0.748172,-216.958908,84.284737,87.413300
6,0.050000,-0.004960,0.663574,-0.004371,0.748082,-216.959763,84.284012,87.414398
7,0.058333,-0.005728,0.663681,-0.005287,0.747976,-216.957977,84.288879,87.404442
8,0.066667,-0.006695,0.664040,-0.006331,0.747640,-216.955780,84.295311,87.393990
9,0.075000,-0.007549,0.664220,-0.007029,0.747466,-216.953751,84.299637,87.388580
10,0.083333,-0.007790,0.664354,-0.007485,0.747340,-216.952438,84.301628,87.386795
11,0.091667,-0.007844,0.664160,-0.007582,0.747511,-216.950470,84.302521,87.388077
12,0.100000,-0.007881,0.664136,-0.007583,0.747532,-216.949493,84.303680,87.388046
13,0.108333,-0.007961,0.664197,-0.007428,0.747478,-216.948608,84.303139,87.389229
14,0.116667,-0.007898,0.664129,-0.007319,0.747540,-216.946381,84.304008,87.388054
15,0.125000,-0.008057,0.664211,-0.007576,0.747463,-216.944427,84.304436,87.386887
16,0.133333,-0.008297,0.664147,-0.007869,0.747514,-216.941956,84.306595,87.383064
17,0.141667,-0.006984,0.664201,-0.006805,0.747490,-216.937851,84.301849,87.382675
18,0.150000,-0.005431,0.664299,-0.005140,0.747430,-216.938522,84.294472,87.384155
19,0.158333,-0.006890,0.664008,-0.006536,0.747665,-216.942627,84.298973,87.385536
20,0.166667,-0.006960,0.664165,-0.006794,0.747523,-216.941162,84.298775,87.384850
21,0.175000,-0.007242,0.664561,-0.007129,0.747165,-216.939041,84.303078,87.387894
22,0.183333,-0.006899,0.665196,-0.006325,0.746610,-216.935379,84.297958,87.389076
23,0.191667,-0.007812,0.665741,-0.006856,0.746111,-216.934128,84.298683,87.392960
24,0.200000,-0.007114,0.666429,-0.006144,0.745509,-216.927597,84.295982,87.397865
25,0.208333,-0.005249,0.667097,-0.004353,0.744940,-216.923019,84.287804,87.401543
26,0.216667,-0.005268,0.667533,-0.004363,0.744549,-216.917542,84.287849,87.403984
27,0.225000,-0.005036,0.667788,-0.004113,0.744323,-216.914780,84.286201,87.404312
28,0.233333,-0.004392,0.667919,-0.003813,0.744211,-216.913513,84.286377,87.406769
29,0.241667,-0.004804,0.668193,-0.003670,0.743964,-216.910477,84.285530,87.409859
30,0.250000,-0.004541,0.668288,-0.003792,0.743879,-216.908401,84.288071,87.407593
31,0.258333,-0.004577,0.668556,-0.003662,0.743639,-216.907745,84.287354,87.409416
32,0.266667,-0.004492,0.669138,-0.003213,0.743117,-216.901566,84.286758,87.411118
33,0.275000,-0.004324,0.669978,-0.003095,0.742361,-216.895432,84.288071,87.418411
34,0.283333,-0.004058,0.670706,-0.002816,0.741707,-216.886780,84.287170,87.420731
35,0.291667,-0.003291,0.672435,-0.003099,0.740143,-216.892654,84.294579,87.433754
36,0.300000,-0.003656,0.672720,-0.003078,0.739882,-216.892746,84.294266,87.434235
37,0.308333,-0.003645,0.672838,-0.003013,0.739775,-216.893723,84.295044,87.434700
