Format Version,1.25,Take Name,G4 SS Take 2025-11-28 10.54.54 AM_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.15.33.663 AM,Capture Start Frame,148261,Total Frames in Take,1365,Total Exported Frames,1365,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.001042,0.673037,-0.000456,0.739608,-216.840103,84.222984,87.372223
1,0.008333,-0.001009,0.672981,-0.000408,0.739659,-216.839783,84.223480,87.372131
2,0.016667,-0.000809,0.673044,-0.000241,0.739602,-216.839691,84.222916,87.372673
3,0.025000,-0.000939,0.673104,-0.000596,0.739547,-216.840103,84.223183,87.373955
4,0.033333,-0.001203,0.672998,-0.000671,0.739643,-216.839630,84.222031,87.373489
5,0.041667,-0.001176,0.672974,-0.000686,0.739665,-216.839600,84.222366,87.373337
6,0.050000,-0.001134,0.673081,-0.000513,0.739568,-216.840240,84.221733,87.374809
7,0.058333,-0.001132,0.673060,-0.000392,0.739587,-216.840118,84.220894,87.373573
8,0.066667,-0.001075,0.673073,-0.000430,0.739575,-216.839355,84.221611,87.373100
9,0.075000,-0.001008,0.673056,-0.000548,0.739590,-216.839218,84.221817,87.373009
10,0.083333,-0.001253,0.673036,-0.000657,0.739609,-216.838928,84.221954,87.373352
11,0.091667,-0.001094,0.673017,-0.000671,0.739626,-216.839172,84.222969,87.373123
12,0.100000,-0.000880,0.673017,-0.000587,0.739626,-216.838120,84.224144,87.373116
13,0.108333,-0.000903,0.673028,-0.000375,0.739616,-216.838547,84.221222,87.371735
14,0.116667,-0.000859,0.673023,-0.000406,0.739621,-216.838486,84.221748,87.371788
15,0.125000,-0.000938,0.673141,-0.000448,0.739514,-216.839890,84.222069,87.373970
16,0.133333,-0.000905,0.673121,-0.000553,0.739532,-216.839127,84.222725,87.372627
17,0.141667,-0.000995,0.673031,-0.000589,0.739614,-216.838654,84.221817,87.371292
18,0.150000,-0.001269,0.673052,-0.000688,0.739594,-216.838974,84.221748,87.373009
19,0.158333,-0.001193,0.673035,-0.000640,0.739609,-216.839783,84.222397,87.372581
20,0.166667,-0.000940,0.673048,-0.000443,0.739598,-216.839386,84.221909,87.372169
21,0.175000,-0.000895,0.673026,-0.000481,0.739618,-216.839172,84.222778,87.372528
22,0.183333,-0.001000,0.673027,-0.000520,0.739617,-216.840271,84.224037,87.373955
23,0.191667,-0.000962,0.673030,-0.000559,0.739614,-216.840439,84.223991,87.373367
24,0.200000,-0.001310,0.673085,-0.000749,0.739563,-216.839691,84.222588,87.373543
25,0.208333,-0.001127,0.673037,-0.000568,0.739608,-216.839310,84.221603,87.373039
26,0.216667,-0.001006,0.673040,-0.000445,0.739606,-216.838791,84.221542,87.372086
27,0.225000,-0.000879,0.672969,-0.000396,0.739670,-216.838654,84.222206,87.372231
28,0.233333,-0.000912,0.673065,-0.000281,0.739583,-216.838486,84.221611,87.372223
29,0.241667,-0.000927,0.672989,-0.000557,0.739652,-216.837021,84.223457,87.373566
30,0.250000,-0.000871,0.673064,-0.000473,0.739584,-216.837479,84.222725,87.372345
31,0.258333,-0.000920,0.673071,-0.000397,0.739577,-216.838791,84.221077,87.372803
32,0.266667,-0.000932,0.672990,-0.000293,0.739651,-216.838028,84.220467,87.371918
33,0.275000,-0.001130,0.672968,-0.000393,0.739670,-216.838715,84.221352,87.372025
34,0.283333,-0.001085,0.673006,-0.000494,0.739636,-216.838760,84.222435,87.372169
35,0.291667,-0.000793,0.673025,-0.000388,0.739620,-216.839386,84.222733,87.372719
36,0.300000,-0.000922,0.673063,-0.000491,0.739584,-216.839508,84.222214,87.373283
37,0.308333,-0.001125,0.673035,-0.000455,0.739610,-216.839508,84.221558,87.373596
