Format Version,1.25,Take Name,G4 LL Take 2025-11-28_00_012,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 02.17.43.595 PM,Capture Start Frame,1237090,Total Frames in Take,1522,Total Exported Frames,1522,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.007206,0.400869,0.009722,0.916056,-216.153671,92.212868,84.119850
1,0.008333,-0.007245,0.400805,0.009564,0.916085,-216.154999,92.214050,84.118340
2,0.016667,-0.007319,0.400783,0.009443,0.916095,-216.154907,92.214233,84.116051
3,0.025000,-0.007383,0.400803,0.009474,0.916085,-216.155792,92.215958,84.115784
4,0.033333,-0.007305,0.400760,0.009430,0.916106,-216.155960,92.215851,84.117149
5,0.041667,-0.007365,0.400788,0.009468,0.916093,-216.156143,92.214333,84.116608
6,0.050000,-0.007427,0.400803,0.009508,0.916085,-216.156601,92.214348,84.117676
7,0.058333,-0.007474,0.400853,0.009481,0.916063,-216.156296,92.215446,84.118340
8,0.066667,-0.007215,0.400811,0.009570,0.916082,-216.155106,92.214584,84.119240
9,0.075000,-0.007270,0.400795,0.009605,0.916088,-216.154938,92.214989,84.120720
10,0.083333,-0.007166,0.400834,0.009604,0.916073,-216.153595,92.215172,84.121231
11,0.091667,-0.007271,0.400773,0.009606,0.916098,-216.153198,92.214409,84.122269
12,0.100000,-0.007351,0.400799,0.009507,0.916087,-216.152695,92.214111,84.122292
13,0.108333,-0.007293,0.400757,0.009451,0.916107,-216.152603,92.213615,84.121956
14,0.116667,-0.007305,0.400850,0.009599,0.916064,-216.152786,92.213745,84.121071
15,0.125000,-0.007380,0.400824,0.009506,0.916076,-216.153091,92.214546,84.120438
16,0.133333,-0.007300,0.400819,0.009623,0.916078,-216.153336,92.214600,84.120491
17,0.141667,-0.007303,0.400879,0.009543,0.916053,-216.153854,92.214859,84.120224
18,0.150000,-0.007323,0.400796,0.009496,0.916089,-216.154648,92.214378,84.119591
19,0.158333,-0.007166,0.400821,0.009578,0.916078,-216.154648,92.215355,84.117661
20,0.166667,-0.007193,0.400841,0.009550,0.916070,-216.155380,92.215553,84.117256
21,0.175000,-0.007325,0.400816,0.009471,0.916080,-216.155670,92.214622,84.116707
22,0.183333,-0.007423,0.400810,0.009422,0.916083,-216.156265,92.214874,84.116135
23,0.191667,-0.007240,0.400778,0.009487,0.916097,-216.155975,92.215752,84.117279
24,0.200000,-0.007302,0.400811,0.009459,0.916083,-216.156006,92.215935,84.118362
25,0.208333,-0.007269,0.400850,0.009469,0.916066,-216.156082,92.214935,84.118904
26,0.216667,-0.007324,0.400833,0.009482,0.916073,-216.155594,92.215515,84.119644
27,0.225000,-0.007341,0.400883,0.009504,0.916050,-216.154526,92.214500,84.120270
28,0.233333,-0.007383,0.400789,0.009433,0.916092,-216.154312,92.214699,84.121315
29,0.241667,-0.007319,0.400831,0.009412,0.916075,-216.153030,92.215462,84.120743
30,0.250000,-0.007326,0.400786,0.009529,0.916093,-216.153473,92.214546,84.121109
31,0.258333,-0.007323,0.400747,0.009460,0.916111,-216.153030,92.215118,84.121719
32,0.266667,-0.007368,0.400778,0.009509,0.916096,-216.152603,92.214706,84.121056
33,0.275000,-0.007114,0.400849,0.009673,0.916066,-216.152649,92.212524,84.123337
34,0.283333,-0.007010,0.400899,0.009776,0.916043,-216.152908,92.211174,84.123405
35,0.291667,-0.007159,0.400864,0.009731,0.916058,-216.154221,92.212326,84.123169
36,0.300000,-0.007169,0.400879,0.009664,0.916052,-216.154602,92.213058,84.121040
37,0.308333,-0.007330,0.400801,0.009648,0.916085,-216.155655,92.214485,84.118927
38,0.316667,-0.007400,0.400783,0.009508,0.916094,-216.155670,92.215988,84.117157
39,0.325000,-0.007421,0.400815,0.009369,0.916081,-216.156433,92.216667,84.115776
40,0.333333,-0.007335,0.400770,0.009361,0.916101,-216.156815,92.215691,84.115532
41,0.341667,-0.007318,0.400871,0.009400,0.916057,-216.156769,92.214920,84.114998
42,0.350000,-0.007256,0.400766,0.009366,0.916104,-216.156738,92.214928,84.117058
43,0.358333,-0.007335,0.400785,0.009427,0.916094,-216.156097,92.214363,84.118607
44,0.366667,-0.007346,0.400852,0.009484,0.916064,-216.155746,92.214417,84.118797
45,0.375000,-0.007293,0.400780,0.009617,0.916095,-216.154892,92.214417,84.120659
46,0.383333,-0.007224,0.400827,0.009658,0.916075,-216.154144,92.214569,84.121025
47,0.391667,-0.007187,0.400858,0.009601,0.916062,-216.154175,92.215393,84.121025
48,0.400000,-0.007026,0.400901,0.009747,0.916043,-216.153580,92.212296,84.122940
49,0.408333,-0.007131,0.400976,0.009725,0.916009,-216.152863,92.212120,84.124481
50,0.416667,-0.007172,0.400890,0.009705,0.916047,-216.153000,92.212257,84.123199
51,0.425000,-0.007201,0.400893,0.009642,0.916046,-216.153091,92.213539,84.121414
52,0.433333,-0.007274,0.400854,0.009482,0.916064,-216.153580,92.214294,84.119507
53,0.441667,-0.007435,0.400778,0.009523,0.916096,-216.154434,92.214775,84.119179
54,0.450000,-0.007449,0.400792,0.009381,0.916091,-216.154694,92.215210,84.116821
55,0.458333,-0.007350,0.400810,0.009342,0.916084,-216.155243,92.216515,84.116661
56,0.466667,-0.007254,0.400800,0.009399,0.916089,-216.155075,92.215988,84.114944
57,0.475000,-0.007252,0.400798,0.009502,0.916089,-216.156128,92.214325,84.116188
58,0.483333,-0.007239,0.400864,0.009524,0.916060,-216.156769,92.215034,84.115829
59,0.491667,-0.007236,0.400833,0.009449,0.916074,-216.156464,92.214470,84.116241
60,0.500000,-0.007332,0.400844,0.009469,0.916068,-216.157120,92.215500,84.116020
61,0.508333,-0.007301,0.400865,0.009517,0.916059,-216.157059,92.215309,84.116516
62,0.516667,-0.007119,0.400885,0.009818,0.916048,-216.154892,92.212547,84.118134
63,0.525000,-0.007094,0.400917,0.009697,0.916036,-216.153503,92.211899,84.120514
64,0.533333,-0.007011,0.400982,0.009872,0.916006,-216.153000,92.209892,84.122200
65,0.541667,-0.007006,0.400925,0.009764,0.916032,-216.153549,92.211548,84.123428
66,0.550000,-0.006944,0.400983,0.009810,0.916007,-216.152908,92.211029,84.122971
67,0.558333,-0.006964,0.400931,0.009806,0.916029,-216.153290,92.211349,84.123383
68,0.566667,-0.006922,0.400934,0.009775,0.916028,-216.152618,92.213272,84.121796
69,0.575000,-0.007237,0.400846,0.009488,0.916068,-216.152405,92.214798,84.121010
70,0.583333,-0.007226,0.400882,0.009603,0.916051,-216.152023,92.212563,84.120834
71,0.591667,-0.007231,0.400856,0.009653,0.916062,-216.153091,92.212822,84.120285
