Format Version,1.25,Take Name,G4 LR Take 2025-11-28_00_015,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.53.00.950 PM,Capture Start Frame,1058712,Total Frames in Take,1248,Total Exported Frames,1248,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.006997,0.401081,0.009226,0.915969,-216.174957,92.218750,84.114868
1,0.008333,-0.007036,0.401026,0.009218,0.915993,-216.175217,92.218521,84.115120
2,0.016667,-0.007075,0.400947,0.009182,0.916028,-216.175583,92.219505,84.114578
3,0.025000,-0.007026,0.400980,0.009272,0.916013,-216.173904,92.218987,84.114174
4,0.033333,-0.007035,0.400924,0.009179,0.916038,-216.174194,92.219498,84.114906
5,0.041667,-0.007098,0.400909,0.009137,0.916045,-216.173645,92.219810,84.114914
6,0.050000,-0.007086,0.400981,0.009114,0.916014,-216.173889,92.220024,84.114006
7,0.058333,-0.007106,0.400964,0.009228,0.916020,-216.174103,92.219727,84.114883
8,0.066667,-0.007117,0.401002,0.009202,0.916003,-216.173477,92.219131,84.115463
9,0.075000,-0.007118,0.400971,0.009206,0.916017,-216.174286,92.219536,84.115814
10,0.083333,-0.007127,0.400953,0.009264,0.916024,-216.173859,92.219803,84.116440
11,0.091667,-0.007067,0.400930,0.009283,0.916034,-216.173416,92.219696,84.116653
12,0.100000,-0.007136,0.400912,0.009218,0.916043,-216.173904,92.220901,84.116501
13,0.108333,-0.007154,0.400971,0.009220,0.916016,-216.173965,92.220078,84.115807
14,0.116667,-0.007062,0.400943,0.009212,0.916030,-216.174240,92.219315,84.116394
15,0.125000,-0.006996,0.400999,0.009266,0.916005,-216.174240,92.219177,84.116180
16,0.133333,-0.007032,0.400990,0.009360,0.916008,-216.174988,92.218239,84.116173
17,0.141667,-0.006978,0.400991,0.009407,0.916007,-216.174576,92.217323,84.115814
18,0.150000,-0.007068,0.401029,0.009350,0.915990,-216.175461,92.217873,84.115303
19,0.158333,-0.007082,0.400972,0.009351,0.916015,-216.175842,92.218422,84.116043
20,0.166667,-0.007015,0.400978,0.009290,0.916014,-216.174561,92.218048,84.114723
21,0.175000,-0.007091,0.400963,0.009221,0.916020,-216.174316,92.217834,84.114342
22,0.183333,-0.007087,0.400959,0.009142,0.916023,-216.174026,92.217896,84.114250
23,0.191667,-0.007048,0.400955,0.009109,0.916025,-216.173859,92.219345,84.114471
24,0.200000,-0.007056,0.400951,0.009207,0.916026,-216.174576,92.220322,84.115067
25,0.208333,-0.007084,0.400969,0.009123,0.916019,-216.174362,92.220215,84.114609
26,0.216667,-0.007168,0.400982,0.009188,0.916012,-216.173584,92.219673,84.115448
27,0.225000,-0.007102,0.400983,0.009201,0.916012,-216.174057,92.219536,84.116302
28,0.233333,-0.007092,0.400945,0.009140,0.916029,-216.173965,92.219574,84.116943
29,0.241667,-0.007021,0.400993,0.009282,0.916008,-216.174133,92.219391,84.116364
30,0.250000,-0.007036,0.400942,0.009180,0.916031,-216.173965,92.218727,84.116653
31,0.258333,-0.007050,0.401000,0.009310,0.916004,-216.174866,92.217682,84.117218
32,0.266667,-0.007016,0.401036,0.009281,0.915989,-216.174774,92.219559,84.115562
33,0.275000,-0.007089,0.400920,0.009145,0.916040,-216.175034,92.219681,84.115509
34,0.283333,-0.007186,0.400898,0.009119,0.916049,-216.174728,92.219475,84.114906
35,0.291667,-0.007109,0.400951,0.009153,0.916026,-216.175034,92.221153,84.114456
36,0.300000,-0.007083,0.400902,0.009155,0.916048,-216.174911,92.220581,84.114876
37,0.308333,-0.007083,0.400987,0.009152,0.916011,-216.174835,92.220024,84.114326
38,0.316667,-0.007143,0.400945,0.009167,0.916029,-216.174820,92.218773,84.114418
39,0.325000,-0.006990,0.400956,0.009222,0.916024,-216.174011,92.219177,84.115158
40,0.333333,-0.007067,0.400964,0.009313,0.916019,-216.174179,92.218071,84.114388
41,0.341667,-0.007154,0.400975,0.009170,0.916015,-216.174133,92.218849,84.114441
42,0.350000,-0.007187,0.400985,0.009044,0.916012,-216.174240,92.221344,84.114418
43,0.358333,-0.007110,0.400938,0.009267,0.916031,-216.173248,92.220322,84.114342
44,0.366667,-0.007128,0.400957,0.009155,0.916023,-216.173096,92.219559,84.115005
45,0.375000,-0.007085,0.400989,0.009040,0.916011,-216.173691,92.220131,84.115028
46,0.383333,-0.007240,0.400935,0.008986,0.916034,-216.173843,92.220451,84.114731
47,0.391667,-0.007126,0.400964,0.009168,0.916020,-216.173737,92.220268,84.115417
48,0.400000,-0.007140,0.400963,0.009270,0.916020,-216.174316,92.219635,84.115997
49,0.408333,-0.007086,0.400987,0.009338,0.916009,-216.174667,92.217896,84.115311
50,0.416667,-0.007063,0.401041,0.009336,0.915986,-216.175217,92.217796,84.115692
51,0.425000,-0.006937,0.401053,0.009401,0.915980,-216.174728,92.218094,84.115860
52,0.433333,-0.006869,0.401019,0.009308,0.915996,-216.174667,92.218842,84.115738
53,0.441667,-0.006983,0.400992,0.009288,0.916008,-216.174561,92.218796,84.114899
54,0.450000,-0.007055,0.401027,0.009256,0.915992,-216.174225,92.220001,84.113899
55,0.458333,-0.007059,0.400951,0.009304,0.916025,-216.173431,92.219368,84.113892
56,0.466667,-0.007003,0.400935,0.009129,0.916034,-216.173477,92.219254,84.112892
57,0.475000,-0.007089,0.400985,0.009093,0.916012,-216.173431,92.220306,84.112938
58,0.483333,-0.007161,0.400984,0.009091,0.916012,-216.173691,92.220428,84.113708
59,0.491667,-0.007066,0.401032,0.009171,0.915991,-216.173813,92.220238,84.114212
60,0.500000,-0.007115,0.400951,0.009238,0.916025,-216.174271,92.219215,84.114479
61,0.508333,-0.007189,0.400998,0.009140,0.916005,-216.174347,92.218605,84.115196
62,0.516667,-0.007068,0.401014,0.009178,0.915999,-216.174667,92.218140,84.116386
63,0.525000,-0.007116,0.401017,0.009218,0.915997,-216.175034,92.218864,84.117226
64,0.533333,-0.007076,0.400981,0.009269,0.916012,-216.174988,92.218483,84.116966
65,0.541667,-0.007026,0.401003,0.009344,0.916002,-216.175964,92.217888,84.117264
66,0.550000,-0.006946,0.401062,0.009278,0.915978,-216.175919,92.218132,84.116966
67,0.558333,-0.006925,0.400998,0.009292,0.916006,-216.175720,92.217781,84.116867
68,0.566667,-0.007124,0.400975,0.009173,0.916016,-216.175964,92.219681,84.115555
69,0.575000,-0.007143,0.400961,0.009184,0.916021,-216.175171,92.219063,84.114449
70,0.583333,-0.007091,0.400936,0.009182,0.916033,-216.174072,92.219391,84.114494
71,0.591667,-0.007132,0.400929,0.009206,0.916035,-216.174103,92.220047,84.113846
