Format Version,1.25,Take Name,G4 LS Take 2025-11-28_00_010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.33.18.649 PM,Capture Start Frame,916838,Total Frames in Take,1665,Total Exported Frames,1665,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.005775,0.932005,0.022054,0.361727,-215.324493,92.159294,84.345451
1,0.008333,0.005710,0.931985,0.021958,0.361786,-215.325195,92.159744,84.343269
2,0.016667,0.005690,0.931973,0.021775,0.361827,-215.326614,92.160233,84.343056
3,0.025000,0.005499,0.931916,0.021714,0.361982,-215.327286,92.161743,84.340919
4,0.033333,0.005198,0.932031,0.021767,0.361687,-215.328049,92.160973,84.346046
5,0.041667,0.005440,0.931950,0.021529,0.361906,-215.326385,92.163124,84.342598
6,0.050000,0.005508,0.932082,0.021666,0.361557,-215.323395,92.160172,84.347427
7,0.058333,0.005545,0.932108,0.021953,0.361471,-215.322067,92.158676,84.350082
8,0.066667,0.005681,0.931965,0.021752,0.361850,-215.321472,92.159866,84.344070
9,0.075000,0.005517,0.932064,0.021751,0.361598,-215.323334,92.158875,84.348793
10,0.083333,0.005624,0.931980,0.021543,0.361825,-215.323517,92.160492,84.345406
11,0.091667,0.005333,0.932065,0.021650,0.361605,-215.323334,92.159775,84.348534
12,0.100000,0.005476,0.931963,0.021561,0.361871,-215.323059,92.160919,84.346481
13,0.108333,0.005255,0.931946,0.021532,0.361919,-215.323288,92.161644,84.344406
14,0.116667,0.005177,0.932045,0.021919,0.361642,-215.324707,92.159729,84.350555
15,0.125000,0.005473,0.931970,0.021721,0.361843,-215.324875,92.162895,84.346199
16,0.133333,0.005570,0.931955,0.021750,0.361877,-215.325897,92.162254,84.345528
17,0.141667,0.005328,0.932074,0.021783,0.361574,-215.326935,92.160942,84.347939
18,0.150000,0.005658,0.931944,0.021677,0.361910,-215.326660,92.162827,84.343460
19,0.158333,0.005631,0.931943,0.021743,0.361909,-215.327332,92.162743,84.344849
20,0.166667,0.005487,0.931925,0.021779,0.361956,-215.326721,92.162621,84.343155
21,0.175000,0.005438,0.931951,0.021822,0.361886,-215.326813,92.161659,84.344460
22,0.183333,0.005488,0.931956,0.021669,0.361883,-215.326309,92.161354,84.343765
23,0.191667,0.005668,0.931988,0.021789,0.361788,-215.322739,92.158600,84.344330
24,0.200000,0.005634,0.932100,0.021927,0.361493,-215.320679,92.156464,84.349869
25,0.208333,0.005757,0.931979,0.021631,0.361819,-215.321304,92.160004,84.343628
26,0.216667,0.005614,0.932047,0.021645,0.361647,-215.323288,92.159805,84.346848
27,0.225000,0.005798,0.931979,0.021685,0.361816,-215.321564,92.160263,84.344414
28,0.233333,0.005738,0.931985,0.021698,0.361801,-215.322144,92.159889,84.343086
29,0.241667,0.005815,0.931973,0.021630,0.361836,-215.323822,92.160767,84.343605
30,0.250000,0.005747,0.931978,0.021819,0.361811,-215.321808,92.159706,84.344131
31,0.258333,0.005616,0.932095,0.021937,0.361505,-215.322617,92.157974,84.348526
32,0.266667,0.005668,0.931979,0.021800,0.361813,-215.324585,92.161644,84.342934
33,0.275000,0.005533,0.932058,0.021740,0.361614,-215.326691,92.160294,84.346130
34,0.283333,0.005881,0.932004,0.021753,0.361747,-215.324066,92.159859,84.345627
35,0.291667,0.005773,0.931977,0.021816,0.361815,-215.323563,92.159920,84.344070
36,0.300000,0.005720,0.931978,0.021898,0.361809,-215.325333,92.160507,84.345375
37,0.308333,0.005629,0.931962,0.021777,0.361857,-215.326096,92.161301,84.344604
38,0.316667,0.005730,0.931993,0.022064,0.361760,-215.324051,92.159737,84.347656
39,0.325000,0.005836,0.931978,0.021997,0.361800,-215.323730,92.161018,84.346107
40,0.333333,0.005408,0.932069,0.021886,0.361578,-215.324570,92.159912,84.346764
41,0.341667,0.005340,0.932074,0.021883,0.361567,-215.325409,92.158691,84.347427
42,0.350000,0.005452,0.931937,0.021697,0.361931,-215.324997,92.160294,84.342377
43,0.358333,0.005539,0.932085,0.021884,0.361537,-215.321609,92.157043,84.349960
44,0.366667,0.005834,0.931997,0.021692,0.361769,-215.319702,92.158340,84.346054
45,0.375000,0.005856,0.931987,0.021655,0.361796,-215.320755,92.159103,84.344467
46,0.383333,0.005887,0.931972,0.021566,0.361841,-215.322708,92.161301,84.345200
47,0.391667,0.005679,0.931959,0.021543,0.361877,-215.323807,92.161491,84.342552
48,0.400000,0.005561,0.931949,0.021621,0.361901,-215.325546,92.162445,84.342865
49,0.408333,0.005268,0.932043,0.021805,0.361651,-215.325851,92.161598,84.346252
50,0.416667,0.005417,0.931954,0.021702,0.361887,-215.326065,92.162170,84.345268
51,0.425000,0.005528,0.931939,0.021655,0.361927,-215.325470,92.161789,84.344711
52,0.433333,0.005721,0.931972,0.021848,0.361827,-215.323669,92.159950,84.344978
53,0.441667,0.005529,0.932097,0.022092,0.361493,-215.324371,92.157532,84.350601
54,0.450000,0.005820,0.931975,0.021881,0.361814,-215.325043,92.160088,84.344986
55,0.458333,0.005761,0.931967,0.021854,0.361837,-215.326004,92.160149,84.344254
56,0.466667,0.005563,0.931956,0.021850,0.361871,-215.327072,92.160126,84.344437
57,0.475000,0.005492,0.931939,0.021764,0.361920,-215.327789,92.161079,84.343567
58,0.483333,0.005206,0.932038,0.021803,0.361667,-215.327194,92.160194,84.347084
59,0.491667,0.005429,0.931955,0.021596,0.361890,-215.326279,92.162399,84.342430
60,0.500000,0.005478,0.931944,0.021552,0.361921,-215.325638,92.161995,84.343651
61,0.508333,0.005389,0.931934,0.021567,0.361946,-215.323730,92.161339,84.344337
62,0.516667,0.005414,0.931920,0.021523,0.361984,-215.324539,92.161842,84.341614
63,0.525000,0.005818,0.931956,0.021698,0.361876,-215.323517,92.159256,84.344246
64,0.533333,0.006033,0.931982,0.021875,0.361794,-215.319229,92.156425,84.344635
65,0.541667,0.006235,0.932032,0.022010,0.361655,-215.318344,92.154320,84.346100
66,0.550000,0.006151,0.932012,0.021887,0.361715,-215.321045,92.156754,84.345230
67,0.558333,0.005676,0.932067,0.021939,0.361578,-215.323517,92.157722,84.346893
68,0.566667,0.005347,0.932073,0.021897,0.361569,-215.326004,92.159447,84.348343
69,0.575000,0.005324,0.931963,0.021695,0.361864,-215.326431,92.163391,84.343605
70,0.583333,0.005221,0.932040,0.021744,0.361664,-215.326004,92.162842,84.349144
71,0.591667,0.005292,0.931947,0.021668,0.361908,-215.324158,92.162865,84.345901
72,0.600000,0.005137,0.932063,0.021728,0.361607,-215.324371,92.161827,84.349472
73,0.608333,0.005489,0.931953,0.021618,0.361892,-215.324524,92.162811,84.344048
