Format Version,1.25,Take Name,G4 ML Take 2025-11-28_00_012,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.03.41.409 PM,Capture Start Frame,703574,Total Frames in Take,1204,Total Exported Frames,1204,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.002764,-0.724184,0.004754,-0.689584,-215.016602,90.027031,83.677528
1,0.008333,-0.002791,-0.724149,0.004848,-0.689621,-215.017181,90.026466,83.676994
2,0.016667,-0.002879,-0.724179,0.004929,-0.689589,-215.017410,90.027092,83.675507
3,0.025000,-0.002841,-0.724184,0.004916,-0.689584,-215.017914,90.026581,83.677612
4,0.033333,-0.002796,-0.724181,0.004991,-0.689586,-215.017944,90.026474,83.676498
5,0.041667,-0.002905,-0.724201,0.004863,-0.689566,-215.018219,90.027199,83.676270
6,0.050000,-0.002929,-0.724169,0.004803,-0.689600,-215.018677,90.026627,83.676025
7,0.058333,-0.002810,-0.724175,0.004774,-0.689594,-215.018509,90.026070,83.675262
8,0.066667,-0.002840,-0.724180,0.004753,-0.689588,-215.019531,90.025269,83.675858
9,0.075000,-0.002878,-0.724185,0.004566,-0.689585,-215.018768,90.026039,83.675308
10,0.083333,-0.002699,-0.724207,0.004658,-0.689562,-215.019135,90.025864,83.675888
11,0.091667,-0.002884,-0.724192,0.004739,-0.689576,-215.018967,90.026573,83.675751
12,0.100000,-0.002938,-0.724191,0.004816,-0.689576,-215.018295,90.026344,83.675522
13,0.108333,-0.002899,-0.724196,0.004782,-0.689571,-215.019012,90.025970,83.676811
14,0.116667,-0.002790,-0.724223,0.004706,-0.689544,-215.018295,90.026772,83.676628
15,0.125000,-0.002794,-0.724206,0.004675,-0.689562,-215.018982,90.026947,83.678589
16,0.133333,-0.002816,-0.724149,0.004624,-0.689622,-215.018051,90.026299,83.678146
17,0.141667,-0.002866,-0.724175,0.004584,-0.689595,-215.017609,90.025635,83.677010
18,0.150000,-0.002857,-0.724199,0.004515,-0.689570,-215.018280,90.025429,83.678528
