Format Version,1.25,Take Name,G4 MR Take 2025-11-28_00_00_023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 01.18.39.348 PM,Capture Start Frame,811324,Total Frames in Take,1098,Total Exported Frames,1098,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.001599,-0.728334,0.003543,-0.685211,-215.002136,90.032104,83.657379
1,0.008333,-0.001596,-0.728384,0.003265,-0.685160,-215.002487,90.035141,83.655975
2,0.016667,-0.001388,-0.728368,0.003334,-0.685177,-215.002029,90.035477,83.654831
3,0.025000,-0.001356,-0.728410,0.003271,-0.685133,-215.002258,90.034660,83.656387
4,0.033333,-0.001588,-0.728422,0.003620,-0.685118,-215.001205,90.031570,83.657257
5,0.041667,-0.001762,-0.728401,0.003828,-0.685138,-215.000778,90.029236,83.657112
6,0.050000,-0.001518,-0.728455,0.003514,-0.685083,-215.002151,90.033096,83.657234
7,0.058333,-0.001586,-0.728366,0.003690,-0.685176,-215.000366,90.031731,83.659119
8,0.066667,-0.001463,-0.728413,0.003399,-0.685129,-215.001495,90.035179,83.659874
9,0.075000,-0.001500,-0.728336,0.003702,-0.685209,-214.999634,90.033432,83.660164
10,0.083333,-0.001355,-0.728387,0.003460,-0.685156,-215.001511,90.035637,83.659798
11,0.091667,-0.001286,-0.728369,0.003322,-0.685176,-215.000153,90.036736,83.659134
12,0.100000,-0.001525,-0.728309,0.003530,-0.685238,-214.998077,90.033569,83.658997
13,0.108333,-0.001615,-0.728372,0.003726,-0.685170,-215.000061,90.030533,83.659851
14,0.116667,-0.001408,-0.728467,0.003279,-0.685071,-215.001724,90.034401,83.655655
15,0.125000,-0.001393,-0.728401,0.003224,-0.685142,-215.002182,90.034470,83.658768
16,0.133333,-0.001426,-0.728305,0.003536,-0.685243,-215.000229,90.032242,83.658829
17,0.141667,-0.001438,-0.728329,0.003190,-0.685219,-215.001373,90.033493,83.657028
18,0.150000,-0.001608,-0.728319,0.003363,-0.685228,-215.001129,90.031281,83.658905
