Format Version,1.25,Take Name,G4 MS Take 2025-11-28_00_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 12.45.19.434 PM,Capture Start Frame,571340,Total Frames in Take,1182,Total Exported Frames,1182,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.002913,-0.716448,0.007602,-0.697593,-215.020721,90.030579,83.672279
1,0.008333,-0.002989,-0.716455,0.007638,-0.697585,-215.020248,90.029396,83.671661
2,0.016667,-0.003121,-0.716491,0.007662,-0.697547,-215.020508,90.029938,83.671097
3,0.025000,-0.002921,-0.716451,0.007641,-0.697590,-215.020111,90.029976,83.670578
4,0.033333,-0.002896,-0.716418,0.007570,-0.697624,-215.019653,90.029503,83.671135
5,0.041667,-0.002957,-0.716436,0.007676,-0.697604,-215.019394,90.028633,83.670685
6,0.050000,-0.003096,-0.716485,0.007765,-0.697552,-215.019730,90.029465,83.669502
7,0.058333,-0.003074,-0.716442,0.007698,-0.697598,-215.018646,90.028152,83.670700
8,0.066667,-0.002832,-0.716426,0.007684,-0.697615,-215.019196,90.029160,83.671417
9,0.075000,-0.002863,-0.716464,0.007600,-0.697577,-215.018799,90.029068,83.671783
10,0.083333,-0.002995,-0.716456,0.007651,-0.697584,-215.019012,90.028069,83.671913
11,0.091667,-0.002952,-0.716509,0.007804,-0.697528,-215.018890,90.028633,83.670769
12,0.100000,-0.002903,-0.716497,0.007825,-0.697541,-215.019135,90.030144,83.671066
13,0.108333,-0.002857,-0.716493,0.007727,-0.697546,-215.018539,90.030617,83.672417
14,0.116667,-0.002861,-0.716463,0.007727,-0.697577,-215.018204,90.031029,83.672211
15,0.125000,-0.002822,-0.716432,0.007564,-0.697610,-215.017731,90.031044,83.672302
16,0.133333,-0.003016,-0.716459,0.007729,-0.697580,-215.017365,90.030495,83.671219
17,0.141667,-0.003092,-0.716488,0.007625,-0.697551,-215.017563,90.029579,83.671066
18,0.150000,-0.002929,-0.716453,0.007701,-0.697587,-215.018112,90.028931,83.671356
