Format Version,1.25,Take Name,G4 SL Take 2025-11-28_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.30.12.200 AM,Capture Start Frame,30483,Total Frames in Take,1194,Total Exported Frames,1194,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.000614,0.663887,-0.000001,0.747832,-216.946152,84.249176,87.371185
1,0.008333,-0.000559,0.663846,0.000001,0.747869,-216.945557,84.250198,87.370758
2,0.016667,-0.000549,0.663763,0.000151,0.747942,-216.945862,84.250397,87.371056
3,0.025000,-0.000670,0.663734,0.000205,0.747968,-216.945023,84.250343,87.371239
4,0.033333,-0.000564,0.663832,0.000077,0.747882,-216.944702,84.250366,87.370941
5,0.041667,-0.000588,0.663838,0.000061,0.747876,-216.943939,84.249046,87.369408
6,0.050000,-0.000481,0.663763,0.000212,0.747943,-216.943665,84.249870,87.370628
7,0.058333,-0.000408,0.663784,0.000265,0.747925,-216.943832,84.250900,87.370583
8,0.066667,-0.000620,0.663851,0.000270,0.747865,-216.943283,84.250076,87.369270
9,0.075000,-0.000507,0.663702,0.000371,0.747997,-216.943619,84.249794,87.370171
10,0.083333,-0.000529,0.663824,0.000323,0.747888,-216.943329,84.249687,87.370232
11,0.091667,-0.000262,0.663866,0.000407,0.747851,-216.942978,84.251480,87.369949
12,0.100000,-0.000462,0.663785,0.000333,0.747923,-216.943436,84.250336,87.371429
13,0.108333,-0.000455,0.663858,0.000283,0.747858,-216.944550,84.250107,87.370331
14,0.116667,-0.000414,0.663881,0.000264,0.747838,-216.943817,84.250595,87.370430
15,0.125000,-0.000409,0.663870,0.000217,0.747848,-216.942947,84.249893,87.369553
16,0.133333,-0.000468,0.663842,0.000211,0.747872,-216.942947,84.250519,87.369858
17,0.141667,-0.000513,0.663854,0.000239,0.747862,-216.941742,84.252686,87.368279
18,0.150000,-0.000660,0.663977,-0.000135,0.747752,-216.939072,84.254997,87.367363
19,0.158333,-0.000661,0.663688,-0.000321,0.748009,-216.936188,84.256508,87.364517
20,0.166667,-0.000813,0.663792,-0.000614,0.747917,-216.932922,84.257912,87.360344
21,0.175000,-0.000751,0.663841,-0.000984,0.747872,-216.928482,84.261879,87.356110
22,0.183333,-0.000912,0.663905,-0.001159,0.747815,-216.922623,84.264359,87.351540
23,0.191667,-0.001258,0.663912,-0.001751,0.747808,-216.917831,84.268311,87.345055
24,0.200000,-0.001476,0.663908,-0.002406,0.747809,-216.912506,84.274033,87.339363
25,0.208333,-0.001798,0.663846,-0.003135,0.747860,-216.905334,84.279488,87.333885
26,0.216667,-0.002056,0.663747,-0.003891,0.747944,-216.897964,84.284424,87.326225
27,0.225000,-0.002093,0.663909,-0.004208,0.747799,-216.892883,84.285126,87.325264
28,0.233333,-0.001936,0.664185,-0.003921,0.747555,-216.892120,84.282722,87.328087
29,0.241667,-0.001771,0.664250,-0.003715,0.747500,-216.892593,84.282806,87.329025
30,0.250000,-0.001703,0.664223,-0.003825,0.747523,-216.891266,84.284050,87.327347
31,0.258333,-0.001896,0.664315,-0.004075,0.747439,-216.889954,84.285507,87.328667
32,0.266667,-0.002002,0.664342,-0.004111,0.747415,-216.889481,84.284561,87.327904
33,0.275000,-0.001974,0.664412,-0.004117,0.747353,-216.889099,84.284531,87.328621
34,0.283333,-0.001973,0.664460,-0.004140,0.747310,-216.887024,84.284660,87.329193
35,0.291667,-0.002195,0.664447,-0.004182,0.747320,-216.885681,84.283905,87.330475
36,0.300000,-0.002079,0.664717,-0.003980,0.747082,-216.884277,84.283714,87.332108
37,0.308333,-0.002118,0.665045,-0.003777,0.746790,-216.882996,84.282364,87.333008
38,0.316667,-0.002144,0.665483,-0.003707,0.746401,-216.878937,84.279762,87.338943
