Format Version,1.25,Take Name,G4 SL Take 2025-11-28_01_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.30.59.023 AM,Capture Start Frame,36102,Total Frames in Take,1161,Total Exported Frames,1161,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.000773,0.666453,0.000324,0.745546,-216.922592,84.250549,87.420166
1,0.008333,-0.000675,0.666404,0.000456,0.745591,-216.922623,84.250137,87.420723
2,0.016667,-0.000667,0.666483,0.000350,0.745520,-216.922409,84.250114,87.419281
3,0.025000,-0.000648,0.666418,0.000223,0.745578,-216.922455,84.250160,87.418571
4,0.033333,-0.000719,0.666368,0.000130,0.745623,-216.922134,84.249786,87.419182
5,0.041667,-0.000730,0.666391,0.000155,0.745602,-216.923553,84.250252,87.419884
6,0.050000,-0.000678,0.666353,0.000214,0.745636,-216.924576,84.249901,87.420563
7,0.058333,-0.000663,0.666411,0.000298,0.745585,-216.924255,84.249069,87.420883
8,0.066667,-0.000515,0.666412,0.000314,0.745583,-216.924362,84.248451,87.420181
9,0.075000,-0.000662,0.666479,0.000295,0.745523,-216.924866,84.247574,87.420921
10,0.083333,-0.000602,0.666503,0.000340,0.745502,-216.925476,84.249550,87.420670
11,0.091667,-0.000546,0.666448,0.000425,0.745551,-216.925644,84.248940,87.421600
12,0.100000,-0.000604,0.666383,0.000137,0.745609,-216.925018,84.250038,87.420998
13,0.108333,-0.000650,0.666390,0.000139,0.745603,-216.924713,84.251305,87.422119
14,0.116667,-0.000670,0.666380,0.000187,0.745612,-216.924118,84.249893,87.420845
15,0.125000,-0.000512,0.666437,0.000218,0.745561,-216.923950,84.249313,87.419113
16,0.133333,-0.000554,0.666459,0.000262,0.745541,-216.923172,84.249153,87.419624
17,0.141667,-0.000677,0.666465,0.000214,0.745536,-216.922791,84.248314,87.420273
18,0.150000,-0.000768,0.666455,0.000259,0.745545,-216.922501,84.248611,87.419662
19,0.158333,-0.000673,0.666440,0.000180,0.745559,-216.922806,84.248955,87.419037
20,0.166667,-0.000616,0.666465,0.000167,0.745536,-216.922897,84.249374,87.418274
21,0.175000,-0.000661,0.666470,0.000283,0.745531,-216.923737,84.249207,87.418877
22,0.183333,-0.000838,0.666367,0.000273,0.745624,-216.924042,84.249184,87.418800
23,0.191667,-0.000839,0.666457,0.000284,0.745543,-216.923706,84.248589,87.418404
24,0.200000,-0.000655,0.666423,0.000360,0.745573,-216.923691,84.248276,87.418602
25,0.208333,-0.000596,0.666464,0.000342,0.745537,-216.925095,84.247307,87.419968
26,0.216667,-0.000422,0.666517,0.000351,0.745489,-216.925949,84.248505,87.420235
27,0.225000,-0.000546,0.666407,0.000312,0.745588,-216.926163,84.248634,87.420120
28,0.233333,-0.000697,0.666419,0.000172,0.745577,-216.925430,84.249329,87.420441
29,0.241667,-0.000703,0.666425,0.000213,0.745572,-216.925568,84.250816,87.420746
30,0.250000,-0.000812,0.666443,0.000245,0.745555,-216.925568,84.249466,87.421638
31,0.258333,-0.000632,0.666422,0.000201,0.745575,-216.924667,84.250031,87.420311
32,0.266667,-0.000681,0.666470,0.000238,0.745532,-216.924622,84.249512,87.421486
33,0.275000,-0.000857,0.666469,0.000179,0.745533,-216.924042,84.248474,87.420120
34,0.283333,-0.000827,0.666478,0.000194,0.745524,-216.923264,84.249527,87.419060
35,0.291667,-0.000654,0.666394,0.000277,0.745599,-216.923355,84.249504,87.419075
36,0.300000,-0.000638,0.666499,0.000280,0.745505,-216.922943,84.248558,87.419060
37,0.308333,-0.000571,0.666488,0.000330,0.745516,-216.921906,84.248825,87.419739
38,0.316667,-0.000630,0.666452,0.000302,0.745548,-216.922028,84.248878,87.420624
