Format Version,1.25,Take Name,G4 SR Take 2025-11-28_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.44.26.540 AM,Capture Start Frame,133002,Total Frames in Take,1058,Total Exported Frames,1058,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.000905,0.674244,0.000220,0.738508,-216.843842,84.272987,87.460670
1,0.008333,0.000513,0.674206,0.000211,0.738543,-216.843964,84.271660,87.460487
2,0.016667,0.000600,0.674283,0.000220,0.738472,-216.844940,84.272263,87.460899
3,0.025000,0.000894,0.674316,0.000278,0.738443,-216.845230,84.273682,87.461662
4,0.033333,0.000779,0.674285,0.000372,0.738470,-216.845032,84.272972,87.460930
5,0.041667,0.000763,0.674290,0.000283,0.738466,-216.844940,84.272507,87.460342
6,0.050000,0.000713,0.674383,0.000345,0.738382,-216.844101,84.271461,87.459793
7,0.058333,0.001117,0.674434,0.000240,0.738334,-216.843109,84.272919,87.460136
8,0.066667,0.000764,0.674332,0.000417,0.738428,-216.843887,84.271561,87.459221
9,0.075000,0.000688,0.674298,0.000424,0.738459,-216.844131,84.271614,87.459930
10,0.083333,0.000742,0.674288,0.000342,0.738468,-216.845032,84.273239,87.459953
11,0.091667,0.000729,0.674307,0.000481,0.738451,-216.844818,84.272263,87.459435
12,0.100000,0.000564,0.674249,0.000342,0.738504,-216.844086,84.271217,87.459251
13,0.108333,0.000542,0.674295,0.000122,0.738462,-216.844604,84.271698,87.459442
14,0.116667,0.000545,0.674305,0.000036,0.738453,-216.845108,84.271553,87.460304
15,0.125000,0.000650,0.674331,0.000147,0.738429,-216.845535,84.270927,87.460876
16,0.133333,0.000483,0.674202,0.000216,0.738547,-216.844040,84.270462,87.460579
17,0.141667,0.000561,0.674296,0.000160,0.738461,-216.845657,84.270531,87.462486
18,0.150000,0.000729,0.674292,0.000234,0.738465,-216.845032,84.271225,87.459740
19,0.158333,0.000715,0.674257,0.000344,0.738496,-216.845123,84.272041,87.460205
20,0.166667,0.000658,0.674173,0.000363,0.738573,-216.844299,84.272690,87.458893
21,0.175000,0.000550,0.674206,0.000152,0.738543,-216.842743,84.271187,87.459236
22,0.183333,0.000597,0.674348,0.000090,0.738413,-216.841370,84.271606,87.457733
23,0.191667,0.000613,0.674292,0.000031,0.738465,-216.840225,84.271599,87.455589
24,0.200000,0.001023,0.674268,-0.000119,0.738486,-216.838455,84.275146,87.453499
25,0.208333,0.000883,0.674297,-0.000203,0.738459,-216.834305,84.275459,87.448814
26,0.216667,0.001404,0.674430,-0.000489,0.738337,-216.830780,84.278984,87.444801
27,0.225000,0.001272,0.674478,-0.001072,0.738293,-216.825516,84.281509,87.439903
28,0.233333,0.000994,0.674222,-0.001540,0.738526,-216.820663,84.283127,87.432358
29,0.241667,0.000160,0.673202,-0.002011,0.739456,-216.808670,84.281334,87.415718
30,0.250000,-0.000097,0.672942,-0.002376,0.739692,-216.800903,84.281807,87.408203
31,0.258333,-0.000046,0.673044,-0.002836,0.739597,-216.797302,84.285339,87.401871
32,0.266667,0.000204,0.673087,-0.002978,0.739558,-216.791611,84.286430,87.400436
33,0.275000,0.000082,0.673080,-0.002768,0.739565,-216.793655,84.283722,87.401978
34,0.283333,0.000264,0.673131,-0.002603,0.739519,-216.795868,84.281395,87.405228
35,0.291667,-0.000043,0.673046,-0.002382,0.739597,-216.797546,84.279701,87.404404
36,0.300000,0.000071,0.673203,-0.002376,0.739454,-216.798355,84.282516,87.405861
37,0.308333,0.000099,0.673148,-0.002730,0.739503,-216.795853,84.283157,87.404129
38,0.316667,0.000040,0.673043,-0.002949,0.739597,-216.795059,84.282799,87.403572
39,0.325000,0.000123,0.673324,-0.002673,0.739342,-216.795135,84.282387,87.405876
