Format Version,1.25,Take Name,G4 SR Take 2025-11-28_01_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.52.13.246 AM,Capture Start Frame,189005,Total Frames in Take,966,Total Exported Frames,966,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001005,0.674612,0.000048,0.738172,-216.843323,84.269920,87.426933
1,0.008333,0.001130,0.674564,0.000121,0.738215,-216.842361,84.269714,87.426697
2,0.016667,0.000988,0.674581,0.000150,0.738200,-216.842270,84.268906,87.425430
3,0.025000,0.001235,0.674604,0.000095,0.738179,-216.842102,84.271484,87.425957
4,0.033333,0.000931,0.674606,0.000232,0.738177,-216.842239,84.269890,87.425407
5,0.041667,0.001004,0.674475,0.000135,0.738297,-216.841705,84.269806,87.425232
6,0.050000,0.001147,0.674514,0.000219,0.738261,-216.842224,84.269394,87.424957
7,0.058333,0.000982,0.674647,0.000185,0.738140,-216.842621,84.269676,87.427940
8,0.066667,0.001039,0.674676,0.000395,0.738113,-216.842239,84.267792,87.427269
9,0.075000,0.000954,0.674677,0.000580,0.738112,-216.846329,84.267464,87.427429
10,0.083333,0.000614,0.674614,0.000520,0.738170,-216.849487,84.269493,87.428894
11,0.091667,0.000482,0.674663,0.000703,0.738125,-216.854141,84.269768,87.430153
12,0.100000,0.000542,0.674595,0.000863,0.738187,-216.856796,84.268967,87.430779
13,0.108333,0.000523,0.674744,0.001119,0.738051,-216.862305,84.269806,87.431358
14,0.116667,0.000560,0.674713,0.001290,0.738079,-216.863388,84.269897,87.430511
15,0.125000,0.000165,0.674635,0.001317,0.738151,-216.866119,84.267426,87.431931
16,0.133333,0.000022,0.674734,0.001282,0.738060,-216.868759,84.268097,87.433655
17,0.141667,-0.000033,0.674908,0.001656,0.737900,-216.872711,84.267990,87.433311
18,0.150000,0.000111,0.674998,0.001760,0.737818,-216.875000,84.270569,87.433853
19,0.158333,-0.000105,0.674846,0.001927,0.737956,-216.878601,84.270424,87.432945
20,0.166667,-0.000301,0.674738,0.001837,0.738055,-216.879608,84.269379,87.433540
21,0.175000,-0.000252,0.674815,0.001716,0.737985,-216.880981,84.269524,87.433510
22,0.183333,-0.000318,0.674816,0.001691,0.737984,-216.880753,84.268745,87.434074
23,0.191667,-0.000341,0.674757,0.001874,0.738038,-216.881592,84.269241,87.432770
24,0.200000,-0.000395,0.674845,0.001842,0.737957,-216.881973,84.268143,87.433983
25,0.208333,-0.000152,0.674750,0.001929,0.738044,-216.883270,84.269592,87.432320
26,0.216667,-0.000188,0.674844,0.001996,0.737958,-216.882950,84.269302,87.432510
27,0.225000,-0.000003,0.674792,0.002077,0.738005,-216.885345,84.269974,87.432701
28,0.233333,-0.000047,0.674822,0.002096,0.737977,-216.885468,84.271126,87.432076
29,0.241667,-0.000054,0.674848,0.002406,0.737953,-216.885681,84.269333,87.433830
30,0.250000,0.000051,0.674630,0.002405,0.738152,-216.886612,84.270767,87.432137
31,0.258333,-0.000101,0.674845,0.002166,0.737956,-216.884277,84.269615,87.432602
32,0.266667,-0.000217,0.674731,0.002197,0.738061,-216.884964,84.268806,87.431480
33,0.275000,-0.000235,0.674769,0.002221,0.738025,-216.885284,84.269806,87.431587
34,0.283333,-0.000475,0.674697,0.002311,0.738091,-216.887955,84.270241,87.431740
35,0.291667,-0.000535,0.674736,0.002319,0.738055,-216.889572,84.270355,87.434044
36,0.300000,-0.000731,0.674845,0.002429,0.737956,-216.891174,84.269966,87.433891
37,0.308333,-0.000658,0.674745,0.002337,0.738047,-216.890930,84.269760,87.434753
38,0.316667,-0.000577,0.674796,0.002311,0.738001,-216.890854,84.269485,87.433945
39,0.325000,-0.000370,0.674848,0.002305,0.737953,-216.889481,84.269646,87.434105
