Format Version,1.25,Take Name,G4 SS Take 2025-11-28 10.54.54 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.08.43.282 AM,Capture Start Frame,99016,Total Frames in Take,1466,Total Exported Frames,1466,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.001044,0.672360,0.000273,0.740223,-216.852478,84.207573,87.365631
1,0.008333,-0.001072,0.672372,0.000216,0.740213,-216.851730,84.207283,87.365135
2,0.016667,-0.001200,0.672314,0.000309,0.740265,-216.851044,84.207497,87.365700
3,0.025000,-0.001208,0.672282,0.000293,0.740294,-216.850616,84.208931,87.366447
4,0.033333,-0.000976,0.672354,0.000373,0.740229,-216.851120,84.208038,87.365707
5,0.041667,-0.001045,0.672358,0.000267,0.740225,-216.851288,84.208549,87.365410
6,0.050000,-0.001123,0.672330,0.000213,0.740251,-216.851135,84.208214,87.365288
7,0.058333,-0.001114,0.672298,0.000120,0.740280,-216.851562,84.208176,87.365105
8,0.066667,-0.001007,0.672343,0.000327,0.740239,-216.851044,84.207764,87.366150
9,0.075000,-0.000901,0.672379,0.000263,0.740206,-216.850754,84.207077,87.366058
10,0.083333,-0.001022,0.672338,0.000079,0.740244,-216.851334,84.207550,87.367142
11,0.091667,-0.001011,0.672404,0.000306,0.740183,-216.852707,84.206772,87.367043
12,0.100000,-0.001174,0.672312,0.000362,0.740267,-216.852264,84.209290,87.366615
13,0.108333,-0.001249,0.672289,0.000415,0.740288,-216.851227,84.209183,87.366653
14,0.116667,-0.001271,0.672321,0.000137,0.740259,-216.850418,84.207794,87.365868
15,0.125000,-0.001263,0.672280,-0.000127,0.740295,-216.849655,84.206604,87.366051
16,0.133333,-0.000994,0.672284,-0.000105,0.740292,-216.847870,84.207741,87.365074
17,0.141667,-0.000818,0.672234,-0.000088,0.740339,-216.846329,84.209328,87.362099
18,0.150000,-0.001083,0.672316,-0.000231,0.740264,-216.845322,84.211182,87.358002
19,0.158333,-0.001027,0.672362,-0.000537,0.740221,-216.842468,84.213409,87.355614
20,0.166667,-0.001018,0.672296,-0.000853,0.740281,-216.839249,84.216591,87.352219
21,0.175000,-0.000577,0.672220,-0.000875,0.740351,-216.835739,84.216202,87.345108
22,0.183333,-0.000682,0.672219,-0.001665,0.740350,-216.831680,84.220390,87.343292
23,0.191667,-0.000652,0.672274,-0.001788,0.740300,-216.828537,84.221077,87.337250
24,0.200000,-0.000404,0.672138,-0.002163,0.740423,-216.822983,84.223633,87.330711
25,0.208333,-0.000236,0.672237,-0.002370,0.740332,-216.818054,84.225029,87.322006
26,0.216667,0.000101,0.672296,-0.002735,0.740277,-216.813828,84.228287,87.314819
27,0.225000,0.000222,0.672446,-0.002802,0.740141,-216.812714,84.227074,87.317642
28,0.233333,-0.000037,0.672348,-0.002878,0.740230,-216.813995,84.226425,87.319450
29,0.241667,-0.000080,0.672375,-0.002627,0.740206,-216.815399,84.224602,87.320534
30,0.250000,-0.000075,0.672409,-0.002744,0.740174,-216.814163,84.224464,87.320534
31,0.258333,-0.000028,0.672396,-0.002715,0.740187,-216.812469,84.224312,87.319145
32,0.266667,-0.000053,0.672395,-0.002573,0.740188,-216.811371,84.226921,87.320206
33,0.275000,-0.000034,0.672463,-0.002679,0.740126,-216.811081,84.226952,87.320206
34,0.283333,-0.000041,0.672702,-0.002527,0.739909,-216.811401,84.226212,87.322090
35,0.291667,0.000007,0.672750,-0.002287,0.739866,-216.811249,84.225029,87.322289
36,0.300000,0.000060,0.673300,-0.002191,0.739366,-216.807434,84.225250,87.325958
37,0.308333,-0.000172,0.673651,-0.002360,0.739046,-216.801956,84.224915,87.327805
38,0.316667,-0.000234,0.673690,-0.002459,0.739010,-216.802246,84.223785,87.328987
