Format Version,1.25,Take Name,G4 SS Take 2025-11-28 10.54.54 AM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 11.14.47.148 AM,Capture Start Frame,142679,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.000866,0.669485,-0.000073,0.742825,-216.863510,84.231796,87.391327
1,0.008333,-0.001048,0.669463,-0.000668,0.742844,-216.859299,84.234741,87.387650
2,0.016667,-0.001421,0.669379,-0.001340,0.742919,-216.854950,84.236900,87.381241
3,0.025000,-0.001535,0.669408,-0.001521,0.742892,-216.849762,84.237305,87.376495
4,0.033333,-0.001326,0.669343,-0.001950,0.742950,-216.844208,84.241707,87.370422
5,0.041667,-0.001036,0.669473,-0.002664,0.742831,-216.840439,84.243546,87.363297
6,0.050000,-0.001092,0.669448,-0.003167,0.742851,-216.836304,84.245476,87.356873
7,0.058333,-0.001297,0.669215,-0.003923,0.743058,-216.830490,84.248611,87.350533
8,0.066667,-0.001173,0.669446,-0.003729,0.742851,-216.830231,84.250237,87.355247
9,0.075000,-0.001180,0.669626,-0.003506,0.742689,-216.831894,84.247253,87.356827
10,0.083333,-0.001346,0.669567,-0.003391,0.742743,-216.833405,84.245285,87.358406
11,0.091667,-0.001360,0.669841,-0.003117,0.742496,-216.833374,84.243103,87.361519
12,0.100000,-0.001330,0.670139,-0.002887,0.742229,-216.833115,84.241898,87.365829
13,0.108333,-0.001257,0.670422,-0.002510,0.741975,-216.831757,84.241653,87.368927
14,0.116667,-0.001264,0.670579,-0.002406,0.741834,-216.831619,84.239670,87.370422
15,0.125000,-0.001342,0.671058,-0.002343,0.741400,-216.830414,84.236961,87.373398
16,0.133333,-0.001097,0.671763,-0.002091,0.740763,-216.823395,84.233231,87.376671
17,0.141667,-0.001124,0.672460,-0.002170,0.740130,-216.816742,84.231949,87.382004
18,0.150000,-0.001248,0.673180,-0.002353,0.739474,-216.810730,84.233131,87.386093
19,0.158333,-0.001038,0.673360,-0.001970,0.739311,-216.810135,84.231148,87.386826
20,0.166667,-0.000958,0.673341,-0.002065,0.739329,-216.809494,84.232292,87.387451
21,0.175000,-0.000940,0.673384,-0.002010,0.739290,-216.811676,84.232559,87.386948
22,0.183333,-0.001071,0.673350,-0.002043,0.739320,-216.812057,84.231987,87.387779
23,0.191667,-0.001051,0.673306,-0.001984,0.739361,-216.812546,84.231979,87.386734
24,0.200000,-0.001334,0.673332,-0.002192,0.739335,-216.812775,84.234329,87.387146
25,0.208333,-0.001282,0.673321,-0.002073,0.739346,-216.814453,84.233841,87.387497
26,0.216667,-0.001108,0.673402,-0.001910,0.739273,-216.813843,84.232262,87.386261
27,0.225000,-0.001195,0.673286,-0.001938,0.739379,-216.814331,84.231110,87.386543
28,0.233333,-0.001348,0.673268,-0.002137,0.739394,-216.814590,84.232971,87.387260
29,0.241667,-0.001307,0.673314,-0.002137,0.739353,-216.816925,84.233223,87.388649
30,0.250000,-0.001301,0.673236,-0.002144,0.739424,-216.816956,84.232887,87.387550
31,0.258333,-0.001302,0.673293,-0.002132,0.739372,-216.816162,84.233612,87.387314
32,0.266667,-0.001548,0.673315,-0.002048,0.739352,-216.818481,84.232468,87.386719
33,0.275000,-0.001353,0.673304,-0.002084,0.739361,-216.816956,84.232521,87.386932
34,0.283333,-0.001458,0.673252,-0.001994,0.739409,-216.820404,84.231270,87.386024
35,0.291667,-0.001562,0.673253,-0.002139,0.739408,-216.819519,84.233063,87.385880
36,0.300000,-0.001675,0.673331,-0.001963,0.739337,-216.822891,84.232513,87.385902
37,0.308333,-0.001825,0.673275,-0.001595,0.739388,-216.824814,84.231361,87.385658
