Format Version,1.25,Take Name,Take 2025-11-27 03.44.11 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 03.44.11.911 PM,Capture Start Frame,2020786,Total Frames in Take,1221,Total Exported Frames,1221,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.004663,0.930773,0.023466,0.364813,-215.099960,92.162949,84.160912
1,0.008333,0.004372,0.930782,0.023633,0.364783,-215.105988,92.162033,84.163246
2,0.016667,0.004163,0.930779,0.023667,0.364791,-215.111755,92.161194,84.163605
3,0.025000,0.004043,0.930803,0.023580,0.364737,-215.117523,92.162994,84.164421
4,0.033333,0.003817,0.930787,0.023648,0.364776,-215.124756,92.165581,84.166565
5,0.041667,0.003411,0.930813,0.023751,0.364707,-215.133698,92.168037,84.167770
6,0.050000,0.002785,0.930864,0.024032,0.364563,-215.144531,92.169777,84.169731
7,0.058333,0.003606,0.930955,0.024106,0.364320,-215.149979,92.160446,84.168182
8,0.066667,0.003565,0.930988,0.024210,0.364228,-215.163132,92.156288,84.167801
9,0.075000,0.003544,0.930950,0.024473,0.364309,-215.180023,92.154160,84.169662
10,0.083333,0.003456,0.930926,0.024740,0.364353,-215.194962,92.152679,84.171066
11,0.091667,0.003264,0.930929,0.024842,0.364341,-215.207260,92.151680,84.172272
12,0.100000,0.003061,0.930887,0.024998,0.364439,-215.218399,92.150429,84.174118
13,0.108333,0.002887,0.930884,0.025193,0.364433,-215.228653,92.149422,84.177193
14,0.116667,0.002740,0.930932,0.025353,0.364302,-215.237091,92.150078,84.180939
15,0.125000,0.002445,0.930954,0.025306,0.364250,-215.243820,92.150467,84.182198
16,0.133333,0.002152,0.930923,0.025486,0.364319,-215.251404,92.149109,84.182739
17,0.141667,0.001995,0.930941,0.025570,0.364267,-215.258545,92.148804,84.183159
18,0.150000,0.001924,0.930935,0.025522,0.364287,-215.266083,92.149696,84.181450
19,0.158333,0.001731,0.930948,0.025532,0.364254,-215.273163,92.149902,84.182152
20,0.166667,0.001674,0.930968,0.025729,0.364190,-215.280914,92.149658,84.182701
21,0.175000,0.001513,0.930984,0.025772,0.364146,-215.290710,92.148674,84.179993
22,0.183333,0.001329,0.930977,0.025942,0.364152,-215.303421,92.146759,84.177605
23,0.191667,0.001090,0.930985,0.026090,0.364123,-215.316040,92.146141,84.175453
24,0.200000,0.000823,0.930976,0.026144,0.364143,-215.328629,92.143379,84.172691
25,0.208333,0.000668,0.930988,0.026215,0.364108,-215.342026,92.143021,84.171387
26,0.216667,0.000416,0.930981,0.026238,0.364124,-215.353561,92.141045,84.169090
27,0.225000,0.000210,0.931002,0.026161,0.364074,-215.364883,92.140381,84.167252
28,0.233333,-0.000147,0.931031,0.026033,0.364012,-215.375763,92.139038,84.166489
29,0.241667,-0.000507,0.931062,0.026015,0.363933,-215.387695,92.137360,84.163467
30,0.250000,-0.000849,0.931098,0.026112,0.363833,-215.399765,92.134033,84.162430
31,0.258333,-0.001221,0.931074,0.026168,0.363890,-215.413086,92.132744,84.161583
32,0.266667,-0.002441,0.931087,0.025573,0.363891,-215.432480,92.140976,84.154106
33,0.275000,-0.003083,0.930900,0.025377,0.364378,-215.457016,92.144104,84.152222
34,0.283333,-0.003586,0.930889,0.025290,0.364408,-215.468384,92.145889,84.149643
35,0.291667,-0.003320,0.930849,0.025878,0.364472,-215.479538,92.143044,84.164436
36,0.300000,-0.003270,0.930796,0.026927,0.364531,-215.485596,92.149284,84.158020
37,0.308333,-0.003368,0.930896,0.027420,0.364238,-215.497940,92.148659,84.165970
38,0.316667,-0.003475,0.930864,0.027486,0.364315,-215.503860,92.147385,84.170082
39,0.325000,-0.003701,0.930778,0.027192,0.364552,-215.508820,92.144699,84.171158
40,0.333333,-0.003805,0.930759,0.026610,0.364643,-215.515854,92.143890,84.172401
41,0.341667,-0.003703,0.930545,0.026379,0.365208,-215.527252,92.141045,84.182716
42,0.350000,-0.004341,0.930524,0.026217,0.365266,-215.528610,92.143181,84.189690
43,0.358333,-0.005046,0.930518,0.026343,0.365263,-215.533997,92.146713,84.196999
44,0.366667,-0.005464,0.930501,0.026437,0.365293,-215.546509,92.150513,84.201103
45,0.375000,-0.005925,0.930460,0.026902,0.365356,-215.562363,92.151421,84.199852
46,0.383333,-0.007035,0.930468,0.027265,0.365289,-215.580780,92.158943,84.194656
47,0.391667,-0.007895,0.930443,0.027838,0.365292,-215.596390,92.165932,84.192780
48,0.400000,-0.007125,0.930463,0.028631,0.365195,-215.593292,92.161697,84.193817
49,0.408333,-0.007143,0.930565,0.029057,0.364902,-215.598053,92.166939,84.187233
50,0.416667,-0.007236,0.930621,0.029428,0.364727,-215.597534,92.172119,84.187546
51,0.425000,-0.007351,0.930666,0.029527,0.364602,-215.592712,92.175903,84.191048
52,0.433333,-0.006264,0.930689,0.029503,0.364567,-215.580887,92.166565,84.196709
53,0.441667,-0.006518,0.930708,0.029207,0.364537,-215.582962,92.167320,84.194168
54,0.450000,-0.006961,0.930614,0.028865,0.364797,-215.587479,92.168617,84.194550
55,0.458333,-0.007333,0.930565,0.028584,0.364937,-215.589554,92.169693,84.194984
56,0.466667,-0.007581,0.930525,0.028465,0.365043,-215.591003,92.168839,84.195351
57,0.475000,-0.006662,0.930553,0.028357,0.364996,-215.581757,92.160728,84.196579
58,0.483333,-0.006898,0.930620,0.028191,0.364834,-215.584351,92.162735,84.192688
59,0.491667,-0.007289,0.930586,0.028151,0.364917,-215.587372,92.167152,84.193146
60,0.500000,-0.007571,0.930584,0.028265,0.364907,-215.588928,92.169380,84.193382
61,0.508333,-0.007669,0.930557,0.028302,0.364972,-215.593338,92.169678,84.192566
62,0.516667,-0.007671,0.930550,0.028381,0.364984,-215.597672,92.170471,84.191277
63,0.525000,-0.007729,0.930537,0.028513,0.365004,-215.603287,92.170219,84.189949
64,0.533333,-0.007707,0.930540,0.028645,0.364987,-215.609024,92.170036,84.189049
65,0.541667,-0.007759,0.930570,0.028721,0.364904,-215.612747,92.172409,84.190468
66,0.550000,-0.007849,0.930562,0.028870,0.364911,-215.613846,92.173683,84.191612
67,0.558333,-0.007918,0.930555,0.028976,0.364918,-215.613724,92.173935,84.192261
68,0.566667,-0.007897,0.930564,0.028969,0.364896,-215.612442,92.174217,84.193169
69,0.575000,-0.007867,0.930573,0.028865,0.364883,-215.611984,92.174416,84.192268
70,0.583333,-0.007887,0.930559,0.028940,0.364912,-215.611237,92.172928,84.193687
71,0.591667,-0.007831,0.930560,0.028854,0.364917,-215.610077,92.172935,84.195480
72,0.600000,-0.007817,0.930577,0.028734,0.364882,-215.609055,92.172424,84.195343
