Format Version,1.25,Take Name,Take 2025-11-27 04.01.00 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 04.01.01.506 PM,Capture Start Frame,2141934,Total Frames in Take,978,Total Exported Frames,978,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.005536,0.927179,0.023254,0.373855,-215.100006,92.165207,84.242523
1,0.008333,0.004806,0.927309,0.023862,0.373506,-215.109848,92.170975,84.251183
2,0.016667,0.004174,0.927570,0.023722,0.372873,-215.115433,92.175461,84.258125
3,0.025000,0.003746,0.927877,0.023624,0.372120,-215.120071,92.181122,84.261307
4,0.033333,0.003835,0.928160,0.023531,0.371418,-215.123337,92.182419,84.259811
5,0.041667,0.003837,0.928312,0.023517,0.371038,-215.125626,92.181717,84.256691
6,0.050000,0.003953,0.928396,0.023556,0.370823,-215.126633,92.179268,84.256271
7,0.058333,0.003927,0.928491,0.023772,0.370574,-215.128799,92.180450,84.255798
8,0.066667,0.005131,0.928655,0.023941,0.370136,-215.124207,92.167465,84.250175
9,0.075000,0.003932,0.928654,0.024063,0.370146,-215.138275,92.179039,84.256042
10,0.083333,0.005215,0.928869,0.024204,0.369580,-215.140533,92.165184,84.250687
11,0.091667,0.005842,0.929084,0.024374,0.369020,-215.148666,92.158333,84.244003
12,0.100000,0.005886,0.929264,0.024733,0.368539,-215.158203,92.154556,84.242126
13,0.108333,0.005856,0.929363,0.024809,0.368285,-215.165848,92.155174,84.242805
14,0.116667,0.005609,0.929420,0.024908,0.368139,-215.172714,92.156845,84.244438
15,0.125000,0.005324,0.929452,0.025159,0.368046,-215.178848,92.157562,84.249405
16,0.133333,0.005219,0.929469,0.025205,0.368001,-215.185638,92.161026,84.251106
17,0.141667,0.004845,0.929533,0.025309,0.367837,-215.193848,92.161415,84.253571
18,0.150000,0.004813,0.929571,0.025284,0.367743,-215.204269,92.161598,84.255791
19,0.158333,0.004631,0.929631,0.025325,0.367592,-215.214630,92.159668,84.258904
20,0.166667,0.004553,0.929658,0.025345,0.367523,-215.226227,92.158974,84.258926
21,0.175000,0.004464,0.929694,0.025339,0.367432,-215.237427,92.158279,84.258362
22,0.183333,0.004193,0.929713,0.025383,0.367385,-215.246124,92.156044,84.258606
23,0.191667,0.003975,0.929743,0.025292,0.367318,-215.254288,92.156342,84.257812
24,0.200000,0.003834,0.929768,0.025530,0.367240,-215.264175,92.154953,84.260216
25,0.208333,0.003646,0.929765,0.025611,0.367243,-215.275070,92.155380,84.260231
26,0.216667,0.003414,0.929765,0.025535,0.367251,-215.288330,92.155426,84.260086
27,0.225000,0.003078,0.929744,0.025791,0.367291,-215.298630,92.153755,84.259468
28,0.233333,0.002743,0.929702,0.025871,0.367393,-215.308502,92.152451,84.261444
29,0.241667,0.002520,0.929541,0.025833,0.367805,-215.319199,92.153221,84.270088
30,0.250000,0.002080,0.929469,0.025647,0.368003,-215.327423,92.154602,84.273735
31,0.258333,0.001879,0.929475,0.025764,0.367980,-215.332672,92.155655,84.273705
32,0.266667,0.001862,0.929516,0.025842,0.367870,-215.339355,92.154022,84.273239
33,0.275000,0.001518,0.929580,0.026018,0.367699,-215.348190,92.155853,84.269585
34,0.283333,0.001102,0.929627,0.026123,0.367572,-215.359146,92.155304,84.267197
35,0.291667,0.000824,0.929666,0.026210,0.367470,-215.370697,92.153206,84.266708
36,0.300000,-0.000369,0.929615,0.025286,0.367662,-215.388840,92.160629,84.268227
37,0.308333,-0.000824,0.929428,0.025052,0.368151,-215.398117,92.157654,84.272774
38,0.316667,-0.001454,0.929300,0.024787,0.368490,-215.408371,92.155495,84.275177
39,0.325000,-0.001863,0.929213,0.024742,0.368711,-215.418701,92.153595,84.276428
40,0.333333,-0.002584,0.929169,0.024850,0.368810,-215.431763,92.156830,84.279411
41,0.341667,-0.002572,0.929128,0.025061,0.368898,-215.440079,92.156120,84.277802
42,0.350000,-0.003291,0.929075,0.025072,0.369027,-215.451691,92.160065,84.278008
43,0.358333,-0.003590,0.929052,0.025481,0.369054,-215.457367,92.160385,84.280991
44,0.366667,-0.003634,0.929012,0.025445,0.369157,-215.462357,92.161812,84.282890
45,0.375000,-0.003828,0.929024,0.025488,0.369121,-215.467377,92.164459,84.283516
46,0.383333,-0.004106,0.929014,0.025642,0.369132,-215.473419,92.165581,84.286705
47,0.391667,-0.004371,0.928966,0.025584,0.369254,-215.480255,92.168243,84.288185
48,0.400000,-0.004785,0.928963,0.025569,0.369256,-215.490433,92.170425,84.288635
49,0.408333,-0.005042,0.928971,0.025822,0.369217,-215.501648,92.172066,84.288933
50,0.416667,-0.005382,0.929070,0.025994,0.368950,-215.511627,92.171272,84.290833
51,0.425000,-0.005378,0.929209,0.025949,0.368602,-215.519424,92.171005,84.289062
52,0.433333,-0.005323,0.929432,0.025958,0.368041,-215.525864,92.169983,84.282921
53,0.441667,-0.004897,0.929503,0.026118,0.367856,-215.528412,92.167358,84.278732
54,0.450000,-0.004956,0.929646,0.026341,0.367478,-215.530228,92.165657,84.276764
55,0.458333,-0.004728,0.929673,0.026243,0.367421,-215.530396,92.166832,84.275505
56,0.466667,-0.004747,0.929672,0.026204,0.367423,-215.530975,92.167336,84.276909
57,0.475000,-0.004833,0.929645,0.026209,0.367492,-215.530945,92.167297,84.278320
58,0.483333,-0.005064,0.929637,0.026041,0.367519,-215.532333,92.168053,84.279564
59,0.491667,-0.005061,0.929603,0.026172,0.367598,-215.533783,92.169197,84.279373
60,0.500000,-0.004963,0.929571,0.026183,0.367678,-215.533371,92.169571,84.278694
61,0.508333,-0.005161,0.929603,0.026091,0.367601,-215.531967,92.168289,84.278885
62,0.516667,-0.005014,0.929595,0.026088,0.367623,-215.530563,92.168556,84.278877
63,0.525000,-0.005034,0.929607,0.026333,0.367576,-215.529205,92.169258,84.279480
64,0.533333,-0.005028,0.929610,0.026308,0.367571,-215.528610,92.169487,84.279541
65,0.541667,-0.005073,0.929617,0.026356,0.367548,-215.528564,92.170013,84.280792
66,0.550000,-0.005096,0.929604,0.026185,0.367593,-215.531494,92.169998,84.281326
67,0.558333,-0.005238,0.929599,0.026166,0.367606,-215.532349,92.168716,84.283287
68,0.566667,-0.005374,0.929600,0.026285,0.367593,-215.537003,92.168701,84.282990
69,0.575000,-0.005305,0.929609,0.026331,0.367567,-215.542435,92.170975,84.281181
70,0.583333,-0.005413,0.929671,0.026508,0.367395,-215.546341,92.170006,84.282341
71,0.591667,-0.005636,0.929695,0.026557,0.367328,-215.552048,92.172089,84.279701
72,0.600000,-0.005676,0.929712,0.026614,0.367280,-215.556458,92.173935,84.278114
