Format Version,1.25,Take Name,Take 2025-11-27 03.26.09 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 03.26.09.649 PM,Capture Start Frame,1890917,Total Frames in Take,1579,Total Exported Frames,1579,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.004185,0.931658,0.025978,0.362384,-215.200760,92.149094,84.200569
1,0.008333,0.003934,0.931649,0.026095,0.362399,-215.212555,92.149696,84.198364
2,0.016667,0.003568,0.931588,0.026272,0.362547,-215.222260,92.148521,84.197113
3,0.025000,0.003338,0.931596,0.026428,0.362518,-215.230774,92.146736,84.198914
4,0.033333,0.003256,0.931593,0.026607,0.362514,-215.240570,92.147507,84.200912
5,0.041667,0.002869,0.931605,0.026768,0.362473,-215.250473,92.146927,84.202385
6,0.050000,0.002614,0.931611,0.026777,0.362461,-215.258789,92.146736,84.204300
7,0.058333,0.002443,0.931592,0.026749,0.362513,-215.267426,92.148125,84.204407
8,0.066667,0.002273,0.931596,0.026846,0.362494,-215.275436,92.149178,84.206390
9,0.075000,0.002018,0.931548,0.026964,0.362611,-215.283371,92.148239,84.206001
10,0.083333,0.001706,0.931552,0.027200,0.362587,-215.290207,92.147148,84.206825
11,0.091667,0.001603,0.931534,0.027338,0.362621,-215.299957,92.147408,84.205070
12,0.100000,0.001446,0.931539,0.027398,0.362604,-215.309662,92.147491,84.204285
13,0.108333,0.001236,0.931565,0.027402,0.362537,-215.322540,92.146973,84.203148
14,0.116667,0.001015,0.931541,0.027446,0.362597,-215.333969,92.145607,84.202347
15,0.125000,0.000586,0.931620,0.027695,0.362378,-215.345428,92.144409,84.202950
16,0.133333,0.000374,0.931635,0.027927,0.362319,-215.359024,92.144562,84.201309
17,0.141667,0.000031,0.931616,0.027999,0.362363,-215.374573,92.143288,84.198090
18,0.150000,-0.000474,0.931615,0.028185,0.362352,-215.388153,92.141624,84.195061
19,0.158333,-0.000600,0.931655,0.028687,0.362208,-215.404800,92.143303,84.199745
20,0.166667,-0.000901,0.931618,0.029267,0.362257,-215.415146,92.143822,84.200394
21,0.175000,-0.000980,0.931603,0.029437,0.362281,-215.424896,92.144180,84.204636
22,0.183333,-0.001316,0.931538,0.029318,0.362458,-215.433044,92.145538,84.207130
23,0.191667,-0.001434,0.931545,0.029432,0.362430,-215.440506,92.146614,84.207642
24,0.200000,-0.001589,0.931562,0.029692,0.362364,-215.448761,92.147293,84.208672
25,0.208333,-0.001936,0.931543,0.029750,0.362407,-215.458817,92.148766,84.207451
26,0.216667,-0.001919,0.931558,0.029876,0.362358,-215.470306,92.151299,84.209343
27,0.225000,-0.003266,0.931523,0.029518,0.362468,-215.488052,92.161491,84.200439
28,0.233333,-0.003714,0.931424,0.029795,0.362696,-215.508575,92.164589,84.195183
29,0.241667,-0.003564,0.931374,0.030313,0.362781,-215.525024,92.163414,84.194061
30,0.250000,-0.003456,0.931224,0.030649,0.363141,-215.539688,92.159325,84.195900
31,0.258333,-0.003432,0.931276,0.030857,0.362988,-215.541260,92.158646,84.198936
32,0.266667,-0.003564,0.931386,0.030843,0.362706,-215.535019,92.161499,84.204834
33,0.275000,-0.003657,0.931498,0.030565,0.362441,-215.526230,92.164589,84.209564
34,0.283333,-0.004335,0.931614,0.029788,0.362201,-215.524704,92.172112,84.199974
35,0.291667,-0.003932,0.931448,0.030176,0.362601,-215.532059,92.167297,84.199074
36,0.300000,-0.003784,0.931519,0.030215,0.362415,-215.530991,92.166023,84.191246
37,0.308333,-0.003257,0.931320,0.030616,0.362898,-215.540314,92.160347,84.193977
38,0.316667,-0.003116,0.931312,0.030899,0.362896,-215.541077,92.157272,84.196442
39,0.325000,-0.003291,0.931411,0.030876,0.362642,-215.534424,92.159996,84.202553
40,0.333333,-0.003477,0.931500,0.030641,0.362432,-215.527374,92.165062,84.209541
41,0.341667,-0.003524,0.931529,0.030425,0.362375,-215.521530,92.166748,84.210876
42,0.350000,-0.003659,0.931566,0.030331,0.362288,-215.519577,92.167107,84.211197
43,0.358333,-0.003593,0.931544,0.030319,0.362345,-215.520508,92.166313,84.210571
44,0.366667,-0.003535,0.931554,0.030366,0.362314,-215.520508,92.166504,84.210480
45,0.375000,-0.003900,0.931643,0.030122,0.362104,-215.527527,92.170731,84.199402
46,0.383333,-0.003445,0.931409,0.030692,0.362661,-215.543152,92.163155,84.197754
47,0.391667,-0.003134,0.931371,0.031136,0.362724,-215.548676,92.158371,84.198311
48,0.400000,-0.003489,0.931400,0.031220,0.362639,-215.549118,92.161087,84.201035
49,0.408333,-0.003797,0.931521,0.031017,0.362343,-215.543396,92.164940,84.205696
50,0.416667,-0.003974,0.931552,0.031036,0.362259,-215.540604,92.167442,84.212135
51,0.425000,-0.004052,0.931545,0.030957,0.362284,-215.538620,92.168480,84.212944
52,0.433333,-0.003923,0.931559,0.030864,0.362256,-215.538910,92.168167,84.212128
53,0.441667,-0.003926,0.931573,0.030739,0.362232,-215.539337,92.167450,84.210434
54,0.450000,-0.003818,0.931547,0.030788,0.362295,-215.539795,92.167946,84.210548
55,0.458333,-0.003845,0.931555,0.030816,0.362272,-215.539673,92.166458,84.211296
56,0.466667,-0.003881,0.931555,0.030879,0.362266,-215.540024,92.167389,84.211494
57,0.475000,-0.003882,0.931547,0.030998,0.362275,-215.539841,92.166702,84.213081
58,0.483333,-0.003870,0.931542,0.030956,0.362293,-215.539810,92.167404,84.212921
59,0.491667,-0.003925,0.931573,0.030934,0.362215,-215.538910,92.166519,84.213318
60,0.500000,-0.003991,0.931562,0.030803,0.362254,-215.539001,92.166725,84.212944
61,0.508333,-0.003893,0.931599,0.030856,0.362156,-215.538834,92.167137,84.213852
62,0.516667,-0.003923,0.931572,0.030950,0.362216,-215.539719,92.167389,84.212891
63,0.525000,-0.003848,0.931578,0.031033,0.362193,-215.542511,92.167656,84.213791
64,0.533333,-0.003914,0.931563,0.031169,0.362220,-215.546280,92.167862,84.212883
65,0.541667,-0.003956,0.931574,0.031046,0.362204,-215.548355,92.167679,84.211540
66,0.550000,-0.004157,0.931558,0.031248,0.362223,-215.550690,92.167511,84.210495
67,0.558333,-0.004318,0.931543,0.031417,0.362245,-215.552765,92.167938,84.209946
68,0.566667,-0.004257,0.931541,0.031346,0.362257,-215.553253,92.167381,84.210602
69,0.575000,-0.004116,0.931554,0.031329,0.362227,-215.551727,92.166855,84.210869
70,0.583333,-0.004077,0.931595,0.031304,0.362125,-215.550827,92.168594,84.211571
71,0.591667,-0.004033,0.931583,0.031163,0.362169,-215.549591,92.168900,84.211502
72,0.600000,-0.004150,0.931584,0.031203,0.362160,-215.549042,92.168953,84.213020
