x(cm),y(cm),orientation(degree)
34.20,-16.14,-62.10
34.50,-16.36,-62.59
35.10,-15.76,-64.29
32.26,-18.26,-55.98
32.34,-18.15,-56.65
33.15,-18.25,-56.98
33.04,-18.25,-58.63
33.16,-18.11,-57.15
32.67,-18.42,-55.98
33.29,-18.03,-57.30
33.40,-18.53,-56.98
34.34,-17.26,-60.18
33.33,-18.56,-56.48
35.11,-16.44,-62.57
33.81,-18.41,-58.63
33.75,-18.14,-58.74
33.42,-18.16,-58.31
33.32,-18.25,-58.12
33.64,-18.45,-56.80
33.16,-18.62,-56.48
33.89,-18.72,-58.63
34.34,-17.26,-60.18
33.97,-18.85,-56.14
33.35,-18.42,-57.80
32.71,-18.59,-55.30
