x(cm),y(cm),orientation(degree)
35.39,17.07,62.61
32.99,18.40,56.48
32.59,17.98,55.98
32.39,18.42,56.98
32.89,18.25,56.98
32.78,18.14,55.65
33.13,18.05,57.48
32.48,18.42,56.31
33.58,17.44,59.04
34.37,19.08,60.00
35.66,15.20,66.10
34.07,18.81,56.31
33.93,18.67,57.62
30.69,18.26,57.80
32.73,18.20,56.31
33.24,18.56,56.48
33.33,17.63,58.31
33.66,18.51,56.48
33.66,18.51,56.48
34.09,17.93,59.44
33.55,18.39,56.80
33.61,19.11,57.53
33.38,18.36,58.63
34.43,17.32,61.66
33.76,18.25,57.62
