Format Version,1.25,Take Name,Take 2025-11-27 02.49.04 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 02.49.05.158 PM,Capture Start Frame,1623985,Total Frames in Take,1124,Total Exported Frames,1124,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.002428,0.024603,-0.005236,0.999681,-215.530182,90.135201,84.411613
1,0.008333,0.002397,0.024584,-0.005248,0.999681,-215.535614,90.135666,84.409576
2,0.016667,0.002425,0.024526,-0.005129,0.999683,-215.540070,90.135155,84.408096
3,0.025000,0.002376,0.024480,-0.005009,0.999685,-215.544647,90.135658,84.407578
4,0.033333,0.002235,0.024458,-0.004570,0.999688,-215.551758,90.135803,84.404175
5,0.041667,0.002333,0.023994,-0.004155,0.999701,-215.565781,90.134674,84.389778
6,0.050000,0.002984,0.023841,-0.003708,0.999705,-215.582138,90.129265,84.383591
7,0.058333,0.003344,0.023714,-0.003445,0.999707,-215.593903,90.125351,84.379555
8,0.066667,0.003488,0.023692,-0.002930,0.999709,-215.606934,90.126427,84.377121
9,0.075000,0.003502,0.023754,-0.002418,0.999709,-215.619492,90.127388,84.375923
10,0.083333,0.002659,0.024253,-0.000787,0.999702,-215.627197,90.119186,84.382584
11,0.091667,0.002866,0.024151,-0.001059,0.999704,-215.636871,90.124100,84.379158
12,0.100000,0.002499,0.024246,-0.000024,0.999703,-215.642960,90.120193,84.381393
13,0.108333,0.002235,0.024297,0.000416,0.999702,-215.647629,90.118423,84.384972
14,0.116667,0.002226,0.024225,0.000607,0.999704,-215.653366,90.120094,84.386810
15,0.125000,0.002154,0.024153,0.000749,0.999706,-215.658905,90.120705,84.388237
16,0.133333,0.002059,0.024130,0.000897,0.999706,-215.667816,90.121994,84.389397
17,0.141667,0.002192,0.024086,0.001182,0.999707,-215.677094,90.122803,84.390434
18,0.150000,0.002125,0.024105,0.001657,0.999706,-215.688278,90.122612,84.392456
19,0.158333,0.002171,0.024110,0.001820,0.999705,-215.697388,90.121399,84.392769
