Format Version,1.25,Take Name,Take 2025-11-27 03.04.28 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 03.04.29.060 PM,Capture Start Frame,1734850,Total Frames in Take,917,Total Exported Frames,917,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.002079,0.024161,-0.010990,0.999646,-215.310913,90.115265,84.341469
1,0.008333,0.002189,0.024146,-0.010957,0.999646,-215.311356,90.113861,84.340904
2,0.016667,0.002289,0.024168,-0.010930,0.999646,-215.311172,90.114250,84.341446
3,0.025000,0.002122,0.024139,-0.010971,0.999646,-215.311691,90.115585,84.340317
4,0.033333,0.002036,0.024150,-0.011005,0.999646,-215.312363,90.116219,84.339203
5,0.041667,0.002134,0.024161,-0.010963,0.999646,-215.309952,90.115044,84.338562
6,0.050000,0.002219,0.024164,-0.011084,0.999644,-215.307068,90.116219,84.338272
7,0.058333,0.002134,0.024237,-0.011093,0.999642,-215.303162,90.116280,84.338226
8,0.066667,0.002045,0.024272,-0.011224,0.999640,-215.299683,90.116928,84.337563
9,0.075000,0.001927,0.024325,-0.011287,0.999639,-215.297409,90.117073,84.338074
10,0.083333,0.001894,0.024308,-0.011100,0.999641,-215.297348,90.117142,84.340248
11,0.091667,0.001751,0.024393,-0.010719,0.999643,-215.303589,90.118675,84.343269
12,0.100000,0.001819,0.024503,-0.010435,0.999644,-215.310165,90.118858,84.346474
13,0.108333,0.001848,0.024450,-0.010221,0.999647,-215.320999,90.121269,84.349075
14,0.116667,0.002135,0.024437,-0.010001,0.999649,-215.331100,90.119781,84.351196
15,0.125000,0.002151,0.024385,-0.009646,0.999654,-215.345901,90.121773,84.354912
16,0.133333,0.002122,0.024230,-0.009484,0.999659,-215.357849,90.121590,84.356972
17,0.141667,0.002180,0.024048,-0.009144,0.999667,-215.369919,90.121712,84.358505
18,0.150000,0.002160,0.023978,-0.008766,0.999672,-215.383392,90.124031,84.359253
19,0.158333,0.001169,0.023596,-0.008003,0.999689,-215.401642,90.135887,84.363327
