Format Version,1.25,Take Name,Take 2025-11-27 02.37.44 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 02.37.44.486 PM,Capture Start Frame,1542306,Total Frames in Take,1186,Total Exported Frames,1186,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001065,0.022755,-0.006889,0.999717,-215.451767,90.129623,84.307129
1,0.008333,0.000940,0.022881,-0.006369,0.999718,-215.463669,90.133591,84.306641
2,0.016667,0.000904,0.022977,-0.005710,0.999719,-215.477676,90.135231,84.308151
3,0.025000,0.001178,0.023010,-0.005395,0.999720,-215.488464,90.136154,84.310600
4,0.033333,0.001390,0.023086,-0.005188,0.999719,-215.497421,90.136414,84.312096
5,0.041667,0.001462,0.023155,-0.005103,0.999718,-215.504074,90.134644,84.313324
6,0.050000,0.001384,0.023031,-0.004928,0.999722,-215.508148,90.133896,84.313957
7,0.058333,0.001500,0.023166,-0.004823,0.999719,-215.509705,90.133873,84.314873
8,0.066667,0.001427,0.023343,-0.004828,0.999715,-215.512039,90.133553,84.314713
9,0.075000,0.001361,0.023472,-0.004749,0.999712,-215.514633,90.134171,84.315987
10,0.083333,0.001250,0.023612,-0.004846,0.999709,-215.518784,90.134186,84.316269
11,0.091667,0.001342,0.023777,-0.004802,0.999705,-215.524643,90.135208,84.317688
12,0.100000,0.001374,0.023920,-0.004505,0.999703,-215.530365,90.135101,84.318832
13,0.108333,0.001408,0.023965,-0.004310,0.999703,-215.535782,90.134087,84.318832
14,0.116667,0.001460,0.024023,-0.004295,0.999701,-215.543182,90.134171,84.318367
15,0.125000,0.001605,0.024018,-0.003878,0.999703,-215.548492,90.134056,84.318344
16,0.133333,0.001566,0.023962,-0.003571,0.999705,-215.555237,90.134354,84.317398
17,0.141667,0.001563,0.023930,-0.003414,0.999707,-215.562943,90.135536,84.315552
18,0.150000,0.002196,0.024021,-0.003222,0.999704,-215.570480,90.129295,84.313492
19,0.158333,0.002484,0.023902,-0.002939,0.999707,-215.581635,90.126129,84.311310
