Format Version,1.25,Take Name,Take 2025-11-27 01.15.49 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 01.15.49.215 PM,Capture Start Frame,952487,Total Frames in Take,1023,Total Exported Frames,1023,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.008460,0.671957,0.001167,0.740541,-216.917374,84.321388,87.350800
1,0.008333,-0.008857,0.672006,0.001326,0.740492,-216.923691,84.321426,87.351555
2,0.016667,-0.009286,0.672034,0.001378,0.740461,-216.928513,84.322037,87.350174
3,0.025000,-0.009803,0.672103,0.001261,0.740392,-216.932983,84.322182,87.351166
4,0.033333,-0.009996,0.672162,0.001330,0.740336,-216.937836,84.322693,87.351326
5,0.041667,-0.010050,0.672066,0.001400,0.740421,-216.942139,84.323250,87.352127
6,0.050000,-0.010062,0.672052,0.001657,0.740434,-216.948105,84.324280,87.353226
7,0.058333,-0.010512,0.671924,0.001588,0.740543,-216.951996,84.323006,87.352310
8,0.066667,-0.010864,0.672150,0.001443,0.740334,-216.957275,84.321327,87.354591
9,0.075000,-0.011151,0.672182,0.001428,0.740301,-216.962082,84.322182,87.355164
10,0.083333,-0.013175,0.671863,-0.000310,0.740559,-216.970612,84.332718,87.352043
11,0.091667,-0.013329,0.671828,-0.000447,0.740587,-216.975647,84.335976,87.351143
12,0.100000,-0.013708,0.671770,-0.000194,0.740633,-216.982742,84.333778,87.352280
13,0.108333,-0.014802,0.671735,-0.001097,0.740643,-216.991348,84.339523,87.350632
14,0.116667,-0.015403,0.671637,-0.001201,0.740719,-216.997528,84.338264,87.348961
15,0.125000,-0.015331,0.671517,-0.001077,0.740830,-217.004608,84.337891,87.349724
16,0.133333,-0.015449,0.671261,-0.001320,0.741059,-217.010742,84.334824,87.351074
17,0.141667,-0.015700,0.671222,-0.001556,0.741088,-217.016342,84.332321,87.352165
18,0.150000,-0.015650,0.671272,-0.000978,0.741045,-217.024414,84.333275,87.353119
19,0.158333,-0.015870,0.671396,-0.000230,0.740929,-217.030197,84.334816,87.350281
20,0.166667,-0.016012,0.671249,-0.000409,0.741058,-217.035080,84.331825,87.353447
21,0.175000,-0.015835,0.671220,-0.000134,0.741089,-217.040802,84.331985,87.354553
22,0.183333,-0.015599,0.670953,0.000519,0.741335,-217.051575,84.327164,87.365181
23,0.191667,-0.014041,0.671913,0.001383,0.740496,-217.067459,84.330284,87.378426
24,0.200000,-0.014404,0.671868,0.001895,0.740528,-217.077255,84.327980,87.375954
25,0.208333,-0.014396,0.671885,0.002193,0.740512,-217.083145,84.327003,87.378746
26,0.216667,-0.015485,0.670954,0.002217,0.741334,-217.083405,84.323708,87.367226
27,0.225000,-0.015106,0.671715,0.002259,0.740652,-217.091660,84.328117,87.375221
28,0.233333,-0.015662,0.671952,0.002135,0.740426,-217.096588,84.327003,87.377998
29,0.241667,-0.015708,0.672035,0.002306,0.740349,-217.098755,84.325676,87.376999
30,0.250000,-0.015979,0.672086,0.002367,0.740297,-217.102783,84.325760,87.378738
31,0.258333,-0.017082,0.672068,0.002510,0.740288,-217.104980,84.319595,87.379524
32,0.266667,-0.017170,0.672055,0.003000,0.740296,-217.109039,84.320320,87.379257
33,0.275000,-0.016472,0.671965,0.003206,0.740393,-217.117554,84.327698,87.377426
34,0.283333,-0.016469,0.671794,0.003095,0.740548,-217.122055,84.325256,87.375221
35,0.291667,-0.017508,0.671802,0.003518,0.740516,-217.124512,84.317909,87.377563
36,0.300000,-0.016545,0.671753,0.003651,0.740582,-217.130066,84.323654,87.375954
37,0.308333,-0.017918,0.671877,0.003677,0.740437,-217.130325,84.317139,87.379341
38,0.316667,-0.017958,0.671844,0.003613,0.740466,-217.129944,84.316673,87.378220
