Format Version,1.25,Take Name,Take 2025-11-27 01.31.13 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 01.31.13.715 PM,Capture Start Frame,1063424,Total Frames in Take,921,Total Exported Frames,921,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.004480,0.670441,0.008178,0.741904,-217.032547,84.293953,87.335030
1,0.008333,-0.004862,0.670358,0.008198,0.741976,-217.038147,84.290657,87.335716
2,0.016667,-0.005095,0.670319,0.008184,0.742010,-217.043427,84.289841,87.334732
3,0.025000,-0.005251,0.670329,0.008710,0.741995,-217.049652,84.287880,87.336571
4,0.033333,-0.005213,0.670309,0.008944,0.742010,-217.054230,84.289436,87.334885
5,0.041667,-0.005424,0.670204,0.008930,0.742104,-217.059784,84.288399,87.336746
6,0.050000,-0.005701,0.670307,0.009104,0.742006,-217.062592,84.288864,87.333527
7,0.058333,-0.005819,0.670194,0.009166,0.742106,-217.068298,84.290436,87.334602
8,0.066667,-0.005910,0.670237,0.009135,0.742068,-217.072540,84.290909,87.334023
9,0.075000,-0.005847,0.670186,0.009553,0.742109,-217.078583,84.289543,87.331985
10,0.083333,-0.005988,0.670222,0.009891,0.742071,-217.084534,84.288544,87.333641
11,0.091667,-0.006119,0.670152,0.010295,0.742127,-217.090897,84.286583,87.331146
12,0.100000,-0.006317,0.670083,0.010632,0.742184,-217.097504,84.286278,87.332466
13,0.108333,-0.006818,0.670129,0.011004,0.742131,-217.106323,84.284012,87.334457
14,0.116667,-0.007042,0.670052,0.011137,0.742197,-217.113205,84.283257,87.333130
15,0.125000,-0.006605,0.671114,0.011310,0.741239,-217.125565,84.286758,87.349098
16,0.133333,-0.007623,0.670201,0.011431,0.742053,-217.129044,84.280441,87.334137
17,0.141667,-0.008036,0.669840,0.012067,0.742364,-217.139008,84.278702,87.331879
18,0.150000,-0.008382,0.669907,0.012187,0.742298,-217.143539,84.277603,87.329689
19,0.158333,-0.007636,0.671039,0.012213,0.741283,-217.153244,84.284805,87.346031
20,0.166667,-0.007780,0.671137,0.012452,0.741188,-217.159897,84.283981,87.347717
21,0.175000,-0.008067,0.671166,0.012435,0.741159,-217.165298,84.282806,87.346909
22,0.183333,-0.008111,0.671189,0.012473,0.741137,-217.170212,84.282906,87.348557
23,0.191667,-0.008640,0.671089,0.012659,0.741218,-217.176132,84.283424,87.346825
24,0.200000,-0.008808,0.671173,0.012743,0.741139,-217.180557,84.283592,87.349693
25,0.208333,-0.009081,0.671147,0.013069,0.741154,-217.188217,84.284866,87.348244
26,0.216667,-0.009475,0.671156,0.012878,0.741144,-217.194275,84.287109,87.347572
27,0.225000,-0.010096,0.671181,0.013136,0.741109,-217.202164,84.287819,87.350014
28,0.233333,-0.010484,0.671206,0.013068,0.741082,-217.206543,84.286812,87.348450
29,0.241667,-0.010682,0.671246,0.013218,0.741040,-217.213959,84.286346,87.349220
30,0.250000,-0.010978,0.671303,0.013536,0.740978,-217.218750,84.286140,87.347687
31,0.258333,-0.011112,0.671238,0.013494,0.741036,-217.223358,84.287170,87.347153
32,0.266667,-0.012393,0.671191,0.013916,0.741050,-217.224854,84.280655,87.345840
33,0.275000,-0.011220,0.671371,0.013933,0.740905,-217.230820,84.287796,87.345573
34,0.283333,-0.012191,0.671256,0.014300,0.740987,-217.232773,84.283096,87.346840
35,0.291667,-0.012745,0.671212,0.014267,0.741018,-217.232697,84.281326,87.346123
36,0.300000,-0.012582,0.671382,0.014513,0.740863,-217.234726,84.282936,87.349854
37,0.308333,-0.012487,0.671416,0.014810,0.740828,-217.234879,84.283798,87.350288
38,0.316667,-0.012354,0.671447,0.014822,0.740802,-217.234375,84.284653,87.349777
