Format Version,1.25,Take Name,Take 2025-11-27 11.54.43 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 11.54.43.744 AM,Capture Start Frame,368644,Total Frames in Take,1048,Total Exported Frames,1048,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001208,0.673902,-0.007246,0.738784,-216.664627,84.320984,87.255165
1,0.008333,0.000906,0.673930,-0.007127,0.738760,-216.668121,84.322250,87.256035
2,0.016667,0.000706,0.673898,-0.007586,0.738785,-216.669922,84.323952,87.256340
3,0.025000,0.000793,0.673849,-0.007607,0.738830,-216.672546,84.324478,87.257202
4,0.033333,0.000677,0.673809,-0.007551,0.738867,-216.674393,84.322922,87.258766
5,0.041667,0.000773,0.673825,-0.007158,0.738856,-216.677521,84.323730,87.259445
6,0.050000,0.000753,0.673831,-0.006967,0.738852,-216.679718,84.321556,87.259117
7,0.058333,0.000821,0.673949,-0.006725,0.738747,-216.680618,84.321770,87.259735
8,0.066667,0.000962,0.673870,-0.006469,0.738822,-216.682678,84.322067,87.261009
9,0.075000,0.000675,0.673880,-0.006458,0.738812,-216.681091,84.321327,87.261009
10,0.083333,0.000623,0.673922,-0.006477,0.738774,-216.682938,84.320595,87.261787
11,0.091667,0.000561,0.673907,-0.006564,0.738786,-216.681290,84.320152,87.261101
12,0.100000,0.000383,0.673793,-0.006485,0.738892,-216.681488,84.319359,87.260582
13,0.108333,0.000377,0.673848,-0.006262,0.738843,-216.680817,84.317375,87.260269
14,0.116667,0.000276,0.673855,-0.006479,0.738836,-216.680389,84.316574,87.261162
15,0.125000,0.000237,0.673946,-0.006269,0.738754,-216.681320,84.317337,87.261566
16,0.133333,0.000084,0.673871,-0.006230,0.738823,-216.682739,84.317024,87.261841
17,0.141667,0.000181,0.673812,-0.006010,0.738879,-216.685989,84.317848,87.261528
18,0.150000,0.000219,0.673861,-0.005914,0.738835,-216.687012,84.318405,87.261383
19,0.158333,0.000240,0.673796,-0.006218,0.738891,-216.689880,84.317848,87.262360
20,0.166667,0.000238,0.673915,-0.006280,0.738782,-216.691422,84.319618,87.262329
21,0.175000,0.000161,0.673861,-0.005995,0.738833,-216.692978,84.319359,87.261124
22,0.183333,0.000100,0.673720,-0.006058,0.738962,-216.694473,84.319809,87.260994
23,0.191667,-0.000164,0.673824,-0.006248,0.738865,-216.695450,84.321144,87.261978
24,0.200000,0.000045,0.673817,-0.006214,0.738873,-216.696884,84.321442,87.261772
25,0.208333,0.000076,0.673801,-0.005841,0.738890,-216.698975,84.319008,87.260506
26,0.216667,0.000041,0.673841,-0.005681,0.738855,-216.698914,84.317329,87.261490
27,0.225000,0.000032,0.673835,-0.005667,0.738860,-216.698868,84.318108,87.261749
28,0.233333,0.000048,0.673815,-0.005818,0.738877,-216.697357,84.320206,87.261406
29,0.241667,0.000035,0.673809,-0.005821,0.738883,-216.696747,84.320312,87.260841
30,0.250000,0.000026,0.673747,-0.005811,0.738939,-216.696457,84.319038,87.261368
31,0.258333,-0.000018,0.673777,-0.005854,0.738912,-216.695190,84.318481,87.261673
32,0.266667,0.000043,0.673870,-0.005820,0.738827,-216.693970,84.318802,87.260979
33,0.275000,-0.000038,0.673937,-0.005854,0.738766,-216.693924,84.319092,87.260696
34,0.283333,0.000045,0.673873,-0.005782,0.738824,-216.694168,84.320625,87.261421
35,0.291667,0.000049,0.673784,-0.005658,0.738907,-216.695953,84.318756,87.261887
36,0.300000,-0.000306,0.673869,-0.005823,0.738828,-216.697311,84.317917,87.261894
37,0.308333,-0.000431,0.673831,-0.005873,0.738862,-216.699570,84.319046,87.262482
38,0.316667,-0.000314,0.673698,-0.005820,0.738984,-216.700439,84.319374,87.261925
