Format Version,1.25,Take Name,Take 2025-11-27 12.01.43 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 12.01.44.648 PM,Capture Start Frame,419151,Total Frames in Take,1101,Total Exported Frames,1101,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001354,0.671449,-0.005976,0.741026,-216.723679,84.391220,87.263611
1,0.008333,0.001202,0.671438,-0.006253,0.741033,-216.717117,84.392426,87.262703
2,0.016667,0.001430,0.671523,-0.006453,0.740955,-216.710754,84.394951,87.263039
3,0.025000,0.001791,0.671640,-0.006783,0.740844,-216.705460,84.397835,87.262642
4,0.033333,0.002104,0.671673,-0.007004,0.740812,-216.697113,84.399918,87.261131
5,0.041667,0.002345,0.671615,-0.006846,0.740865,-216.692017,84.399353,87.258461
6,0.050000,0.002504,0.671756,-0.007036,0.740735,-216.687012,84.400955,87.257774
7,0.058333,0.002507,0.671838,-0.007035,0.740660,-216.685272,84.403580,87.258270
8,0.066667,0.002602,0.672108,-0.007239,0.740413,-216.684250,84.403244,87.257782
9,0.075000,0.002715,0.672339,-0.007246,0.740203,-216.684372,84.403297,87.258690
10,0.083333,0.002998,0.672891,-0.007224,0.739700,-216.681320,84.403099,87.260002
11,0.091667,0.002849,0.673403,-0.007226,0.739234,-216.677383,84.402939,87.262589
12,0.100000,0.003026,0.674325,-0.007378,0.738391,-216.672485,84.405136,87.266556
13,0.108333,0.002601,0.674786,-0.007264,0.737973,-216.670944,84.406647,87.270111
14,0.116667,0.002601,0.675125,-0.006799,0.737668,-216.673325,84.407875,87.272034
15,0.125000,0.003587,0.675554,-0.006733,0.737271,-216.677551,84.413689,87.275352
16,0.133333,0.002437,0.675163,-0.006797,0.737633,-216.676956,84.410347,87.273476
17,0.141667,0.002455,0.675018,-0.006629,0.737767,-216.678101,84.406830,87.272469
18,0.150000,0.002345,0.674845,-0.006591,0.737927,-216.680527,84.405479,87.272118
19,0.158333,0.002650,0.674856,-0.006441,0.737917,-216.679169,84.404213,87.271996
20,0.166667,0.002360,0.674778,-0.006799,0.737986,-216.681747,84.405663,87.273598
21,0.175000,0.003442,0.675150,-0.007059,0.737639,-216.683273,84.410629,87.277168
22,0.183333,0.002135,0.674683,-0.007006,0.738071,-216.683060,84.403969,87.275345
23,0.191667,0.001982,0.674730,-0.006951,0.738029,-216.682266,84.399979,87.275200
24,0.200000,0.001953,0.674745,-0.006926,0.738016,-216.685532,84.400696,87.275085
25,0.208333,0.001785,0.674673,-0.006767,0.738084,-216.685608,84.398224,87.273094
26,0.216667,0.001781,0.674735,-0.006697,0.738027,-216.688965,84.400719,87.273392
27,0.225000,0.001752,0.674740,-0.006530,0.738024,-216.690308,84.400246,87.272041
28,0.233333,0.001681,0.674694,-0.006448,0.738067,-216.693161,84.400208,87.271416
29,0.241667,0.001730,0.674662,-0.006410,0.738097,-216.694717,84.400925,87.271568
30,0.250000,0.001751,0.674610,-0.006305,0.738145,-216.697601,84.401428,87.272034
31,0.258333,0.001895,0.674589,-0.006036,0.738166,-216.700317,84.399506,87.271919
32,0.266667,0.001798,0.674637,-0.006065,0.738122,-216.702957,84.399445,87.271843
33,0.275000,0.001671,0.674621,-0.005930,0.738138,-216.704849,84.399048,87.272797
34,0.283333,0.001647,0.674607,-0.005600,0.738154,-216.705063,84.398064,87.273254
35,0.291667,0.001518,0.674579,-0.005740,0.738179,-216.707397,84.397934,87.274536
36,0.300000,0.001522,0.674601,-0.005550,0.738160,-216.707092,84.396637,87.274773
37,0.308333,0.001491,0.674635,-0.005710,0.738128,-216.706894,84.399475,87.276192
38,0.316667,0.001620,0.674646,-0.005856,0.738116,-216.705063,84.397430,87.276199
