Format Version,1.25,Take Name,Take Group3_WS25 2025-11-27 11.24.12,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-27 11.28.29.880 AM,Capture Start Frame,179784,Total Frames in Take,1249,Total Exported Frames,1249,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001506,0.673887,0.002661,0.738828,-216.828781,84.308853,87.299820
1,0.008333,0.001531,0.673850,0.002461,0.738863,-216.828247,84.308952,87.299553
2,0.016667,0.001610,0.673847,0.002178,0.738866,-216.827606,84.310234,87.299767
3,0.025000,0.001441,0.673821,0.002327,0.738889,-216.827682,84.309158,87.299751
4,0.033333,0.001326,0.673834,0.002390,0.738878,-216.828018,84.309746,87.298981
5,0.041667,0.001292,0.673838,0.002403,0.738874,-216.827682,84.308441,87.298431
6,0.050000,0.001286,0.673838,0.002290,0.738874,-216.827057,84.309196,87.298492
7,0.058333,0.001493,0.673891,0.002387,0.738826,-216.828247,84.309227,87.298660
8,0.066667,0.001694,0.673924,0.002540,0.738794,-216.828110,84.309914,87.299500
9,0.075000,0.001503,0.673854,0.002699,0.738858,-216.827606,84.309280,87.299225
10,0.083333,0.001564,0.673920,0.002617,0.738798,-216.827774,84.309456,87.300537
11,0.091667,0.001421,0.673893,0.002539,0.738823,-216.828964,84.309265,87.301735
12,0.100000,0.001464,0.673835,0.002652,0.738876,-216.828796,84.309273,87.302582
13,0.108333,0.001381,0.673811,0.002653,0.738898,-216.828705,84.309746,87.302559
14,0.116667,0.001359,0.673818,0.002647,0.738892,-216.827805,84.308540,87.302544
15,0.125000,0.001393,0.673810,0.002649,0.738899,-216.827637,84.309563,87.301552
16,0.133333,0.001520,0.673876,0.002678,0.738838,-216.827301,84.309837,87.301376
17,0.141667,0.001397,0.673836,0.002510,0.738876,-216.827057,84.311119,87.301369
18,0.150000,0.001460,0.673820,0.002495,0.738890,-216.826157,84.310059,87.301514
19,0.158333,0.001390,0.673800,0.002292,0.738909,-216.825012,84.309174,87.300529
20,0.166667,0.001371,0.673817,0.002155,0.738894,-216.824631,84.311066,87.301132
21,0.175000,0.001347,0.673797,0.002249,0.738912,-216.825150,84.311203,87.300606
22,0.183333,0.001526,0.673860,0.002322,0.738854,-216.824036,84.309654,87.299698
23,0.191667,0.001563,0.673851,0.002061,0.738863,-216.824860,84.310425,87.300667
24,0.200000,0.001566,0.673830,0.002272,0.738881,-216.825317,84.309998,87.301086
25,0.208333,0.001422,0.673812,0.002505,0.738897,-216.826797,84.309616,87.301537
26,0.216667,0.001514,0.673911,0.002581,0.738806,-216.827148,84.309456,87.301674
27,0.225000,0.001521,0.673930,0.002765,0.738788,-216.826538,84.309448,87.301315
28,0.233333,0.001541,0.673915,0.002746,0.738802,-216.824692,84.310371,87.300491
29,0.241667,0.001562,0.673891,0.002598,0.738825,-216.823700,84.312210,87.301109
30,0.250000,0.001679,0.673897,0.002573,0.738819,-216.823166,84.312347,87.300209
31,0.258333,0.001362,0.673825,0.002454,0.738885,-216.821579,84.311760,87.298958
32,0.266667,0.001483,0.673842,0.002543,0.738869,-216.821075,84.312347,87.299416
33,0.275000,0.001230,0.673765,0.002414,0.738941,-216.820404,84.311180,87.298050
34,0.283333,0.001445,0.673849,0.002405,0.738863,-216.819290,84.310074,87.296303
35,0.291667,0.001510,0.673863,0.002105,0.738852,-216.818054,84.311501,87.293999
36,0.300000,0.001425,0.673818,0.001823,0.738894,-216.816254,84.312180,87.290901
37,0.308333,0.001395,0.673895,0.001562,0.738824,-216.814301,84.314499,87.288376
38,0.316667,0.001355,0.673841,0.001197,0.738874,-216.811844,84.316406,87.286224
39,0.325000,0.001094,0.673734,0.000857,0.738972,-216.808746,84.318596,87.282127
