x,y,orientation,direction
47.03,0.2999999999999999,0.0,forward
45.87,0.25,-0.5899999999999999,forward
45.54,0.25,-2.36,forward
47.01,0.25,-1.18,forward
45.67,0.4,-1.19,forward
45.94,-0.25,-1.18,forward
47.61,-0.3499999999999999,-0.5899999999999999,forward
47.5,-0.5,0.0,forward
47.25,-0.4,0.5999999999999999,forward
46.52,-0.2,-0.5999999999999999,forward
46.71,0.25,-1.18,forward
48.88,-0.55,1.21,forward
48.61,-0.55,1.77,forward
46.73,0.1,0.0,forward
46.5,-0.4,-0.6099999999999999,forward
46.63,0.8499999999999999,0.0,forward
45.93,-0.5,0.5999999999999999,forward
46.84,-0.5,1.19,forward
45.5,-0.65,1.21,forward
47.81,0.2999999999999999,0.0,forward
46.32,0.6999999999999998,0.5799999999999998,forward
48.14,-0.55,1.77,forward
48.01,-0.3499999999999999,-0.5899999999999999,forward
46.67,0.25,-2.36,forward
47.06,0.2999999999999999,0.0,forward
31.45,-22.75,-62.1,left
31.65,-23.6,-62.59,left
31.85,-23.65,-64.29,left
31.2,-22.8,-55.98,left
31.05,-23.0,-56.65,left
31.9,-23.4,-56.98,left
31.2,-24.5,-58.63,left
31.85,-23.25,-57.15,left
31.7,-23.1,-55.98,left
31.95,-23.2,-57.3,left
32.2,-23.9,-56.98,left
32.2,-23.65,-60.18,left
32.3,-23.65,-56.48,left
32.35,-23.75,-62.57,left
32.1,-24.8,-58.63,left
32.0,-24.35,-58.74,left
31.75,-24.1,-58.31,left
31.7,-24.15,-58.12,left
32.55,-23.65,-56.8,left
32.1,-23.75,-56.48,left
32.2,-25.4,-58.63,left
32.2,-23.65,-60.18,left
33.2,-23.95,-56.14,left
31.85,-24.25,-57.8,left
32.0,-23.0,-55.3,left
32.65,25.15,62.61,right
31.9,23.35,56.48,right
31.6,22.3,55.98,right
31.0,23.7,56.98,right
31.6,23.4,56.98,right
31.95,22.4,55.65,right
31.7,23.35,57.48,right
31.35,23.3,56.31,right
31.7,23.2,59.04,right
32.3,27.15,60.0,right
32.0,23.95,66.1,right
33.25,24.0,56.31,right
32.6,24.6,57.62,right
28.7,23.95,57.8,right
31.65,22.9,56.31,right
32.2,23.65,56.48,right
31.65,23.1,58.31,right
32.7,23.55,56.48,right
32.7,23.55,56.48,right
32.15,24.45,59.44,right
32.45,23.55,56.8,right
32.25,25.35,57.53,right
31.6,24.7,58.63,right
31.85,24.9,61.66,right
32.4,23.8,57.62,right
46.0,0.8,0.0,forward
48.2,-0.09,1.19,forward
47.69,1.24,-6.54,forward
47.5,-0.36,-1.18,forward
47.05,1.02,-0.62,forward
45.65,0.33,0.6,forward
46.95,0.22,-0.6,forward
46.15,0.28,1.81,forward
46.85,0.02,-0.6,forward
47.85,0.02,-0.6,forward
47.95,-0.07,0.59,forward
47.5,-0.11,-1.17,forward
47.85,0.13,0.58,forward
46.71,-0.97,-2.34,forward
45.4,-0.66,-1.18,forward
46.75,0.48,0.6,forward
46.6,-0.1,0.0,forward
45.6,-1.31,-1.17,forward
45.5,-1.1,0.0,forward
47.65,-0.79,-1.77,forward
45.0,-1.21,-1.19,forward
47.85,0.28,1.81,forward
47.75,-0.17,0.58,forward
46.31,-0.37,-2.34,forward
47.65,-0.11,-1.55,forward
35.72,-16.36,-54.81,left
34.26,-16.23,-44.27,left
35.42,-16.76,-54.81,left
35.11,-18.96,-58.63,left
34.57,-17.63,-56.8,left
35.59,-17.1,-54.96,left
34.72,-16.66,-54.81,left
35.14,-16.35,-53.49,left
34.76,-16.32,-54.67,left
32.55,-17.49,-45.36,left
33.79,-17.0,-46.41,left
34.44,-16.8,-55.01,left
34.53,-16.23,-53.84,left
34.51,-16.3,-54.19,left
34.04,-17.49,-52.36,left
35.24,-18.23,-55.98,left
34.15,-17.74,-55.11,left
35.19,-17.95,-56.48,left
35.37,-17.58,-55.3,left
35.42,-17.31,-52.67,left
36.69,17.6,54.96,right
35.69,17.2,54.96,right
34.84,15.66,51.34,right
35.2,16.24,53.01,right
35.44,16.95,53.49,right
36.16,16.42,54.67,right
35.62,15.33,51.71,right
35.25,15.42,52.54,right
36.24,17.05,53.49,right
34.48,17.71,45.73,right
33.57,20.2,35.39,right
34.44,16.06,51.34,right
35.24,17.8,55.01,right
35.94,15.92,51.91,right
34.43,16.19,52.28,right
35.68,16.28,51.81,right
36.34,17.06,56.98,right
35.37,15.83,56.8,right
35.7,16.04,53.01,right
35.34,16.4,55.01,right
30.1,-26.1,-40.93,left
30.05,-26.1,-40.98,left
31.85,-22.55,-35.3,left
31.6,-24.85,-38.18,left
31.65,-24.95,-38.25,left
31.15,-23.95,-37.56,left
31.05,-25.9,-39.83,left
31.0,-23.6,-37.28,left
31.3,-23.2,-36.55,left
32.2,-24.4,-37.15,left
31.45,-25.55,-39.09,left
30.65,-25.65,-39.92,left
30.85,-24.35,-38.28,left
30.8,-24.4,-38.39,left
30.6,-25.6,-39.92,left
31.1,-24.9,-38.68,left
31.15,-25.1,-38.86,left
30.65,-22.55,-36.34,left
31.45,-25.35,-38.87,left
30.5,-24.9,-39.23,left
31.25,-22.25,-35.45,left
30.55,-22.45,-36.31,left
30.5,-24.1,-38.31,left
30.5,-23.2,-37.26,left
31.8,-25.0,-38.17,left
48.2,-0.65,-0.77,forward
46.2,-0.2,-0.25,forward
47.95,-0.8,-0.96,forward
47.4,0.8499999999999999,1.03,forward
48.8,0.9,1.06,forward
47.95,-0.5999999999999999,-0.7199999999999999,forward
48.05,0.65,0.78,forward
48.15,0.2,0.2399999999999999,forward
