group,mass,position,trial,type,x,y,theta
Group1,7,left,1,external,-195.821304,84.328346,-3.1401528841577906
Group1,7,left,1,external,-195.90979,84.312592,-3.124686402643963
Group1,7,left,1,external,-195.839935,84.384521,-3.127397923244367
Group1,7,left,1,external,-195.84668,84.41082,-3.1055291064024746
Group1,7,left,1,external,-195.848572,84.295364,3.131051267721621
Group1,7,left,1,external,-195.845276,84.357658,-3.096806081446393
Group1,7,left,1,external,-195.777161,84.339966,-3.1278964278613866
Group1,7,left,1,external,-195.805984,84.329964,-3.0581071371376414
Group1,7,left,1,external,-195.846924,84.346931,-3.1015465213810214
Group1,7,left,1,external,-195.901779,84.371208,-3.1298611426698906
Group1,7,left,1,external,-195.794037,84.2948,3.140793006709772
Group1,7,left,1,external,-195.820969,84.30497,-3.132007941370263
Group1,7,left,1,external,-195.885223,84.364281,-3.1261471899693842
Group1,7,left,1,external,-195.809921,84.307251,-3.13189593222779
Group1,7,left,1,external,-195.863403,84.365303,-3.129077734456962
Group1,7,left,1,external,-195.806,84.320862,3.139993669587905
Group1,7,left,1,external,-195.85791,84.308609,-3.1367952565251147
Group1,7,left,1,external,-195.62207,84.325859,-3.126932325836735
Group1,7,left,1,external,-195.885986,84.330658,-3.1324439910535173
Group1,7,left,1,external,-195.794571,84.293831,-3.1164541311187812
Group1,7,left,1,external,-195.821991,84.315292,3.1404606639726436
Group1,7,left,1,external,-195.846771,84.342667,-3.096720678268497
Group1,7,left,1,external,-195.837982,84.42041,-3.0630680491628617
Group1,7,left,1,external,-195.853729,84.304733,-3.1288554702538693
Group1,7,left,1,external,-195.821655,84.323425,3.1377619008476327
Group1,7,right,1,external,-238.631729,84.680969,-0.006943823632573918
Group1,7,right,1,external,-238.596771,84.694458,0.0020327692928246302
Group1,7,right,1,external,-238.560059,84.6772,-0.0008453846401505572
Group1,7,right,1,external,-238.524277,84.662094,0.02858605109857982
Group1,7,right,1,external,-238.572723,84.676155,0.002063056974389592
Group1,7,right,1,external,-238.581985,84.654907,0.027756838815891947
Group1,7,right,1,external,-238.589828,84.674576,-0.004016774367460462
