Group,Size,Direction,x_youbot_transformed,y_youbot_transformed,theta,x_optitrack,y_optitrack,accuracy_error
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.501068,93.367668,54.85297721162313
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.577362,93.320236,54.82976703338013
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-198.4776,93.431023,54.90682398906831
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.92,-198.474701,93.416122,54.89172131640876
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-198.458771,93.410782,54.882004252778195
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.482742,93.457672,54.93382145653211
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.87,-198.433136,93.49781,54.95793464997201
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-198.516129,93.393517,54.8820826900176
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.434174,93.452873,54.9152037162424
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-198.502426,93.419746,54.90321445370928
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.46553,93.446182,54.91784733470552
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-198.437988,93.465599,54.92848894751196
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.441483,93.453476,54.917888996954936
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.449127,93.458191,54.92460886810765
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-198.492538,93.403473,54.88477520700228
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.446304,93.467308,54.93252369323003
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.451019,93.443123,54.9107281440657
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.440857,93.411598,54.877611745483705
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.474304,93.379524,54.85657333621005
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-198.430862,93.457764,54.91893220177117
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.417038,93.439552,54.89750894689254
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-198.407776,93.458229,54.912727226232505
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.439392,93.473206,54.93617770111149
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.41246,93.493492,54.94784619551219
Group2,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-198.370239,93.527733,54.96851173914397
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.946091,85.214722,54.84588595544395
Group4,Medium,Right,-215.4,33.970000000000006,-0.96,-234.968704,85.222603,54.861311418113445
Group4,Medium,Right,-215.4,33.970000000000006,-0.96,-234.988449,85.322617,54.961792246744366
Group4,Medium,Right,-215.4,33.970000000000006,-0.95,-234.982986,85.309975,54.94803339225909
Group4,Medium,Right,-215.4,33.970000000000006,-0.95,-234.987564,85.304832,54.94485999547473
Group4,Medium,Right,-215.4,33.970000000000006,-0.95,-234.96991,85.282578,54.917775250042524
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.990875,85.312065,54.952798124661946
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.99675,85.313004,54.95577012749904
Group4,Medium,Right,-215.4,33.970000000000006,-0.95,-234.986633,85.304565,54.94427864678827
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-235.001633,85.312462,54.9570051994114
Group4,Medium,Right,-215.4,33.970000000000006,-0.95,-234.960098,85.238556,54.873147058417736
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.985062,85.302261,54.9415659852899
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.977539,85.296883,54.93385979332063
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.988358,85.2967,54.9375454677961
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.974045,85.332092,54.965514027237916
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.972092,85.30603,54.9404656097613
Group4,Medium,Right,-215.4,33.970000000000006,-0.98,-234.969498,85.315033,54.94795415430034
Group4,Medium,Right,-215.4,33.970000000000006,-0.96,-234.976501,85.308975,54.94478815550776
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.992096,85.331039,54.97096099608171
Group4,Medium,Right,-215.4,33.970000000000006,-0.94,-234.998062,85.265221,54.91159924455564
